,UKF243,UKF269,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,-0.015533294372597256,,,-0.02075358642693634,
BMP1,0.048095766418550956,0.07318607057942254,-0.02999352576866428,0.11883571884424238,0.021861600668149406,-0.023664697705544097
NDP,0.01719715493185712,0.023870710924938303,-0.02332793890415685,0.04209637256548377,0.09665265414472567,0.039762122876961785
TNFSF18,-0.019285630214209273,-0.023066475821031218,0.021810702652617704,,-0.0350075899418484,-0.023953089948428947
RTN4,0.017654045353767377,-0.1279481898285714,-0.01909848398557106,-0.04949738930314643,-0.03562397085790621,0.004741751600739695
HEBP1,-0.07063395188284202,0.030811535096885896,0.005350477537166179,-0.03305528868350333,0.0037678481694357396,-0.041336038074825866
WNT7B,0.11193863718141835,-0.02055356774753641,,0.009426054228957518,-0.044296780821829904,0.025437658528330676
PTMA,0.006042479170305741,-0.02211141555711495,0.027028726654233858,-0.11617911024561504,-0.11671085527453032,-0.06162597860606894
FASLG,,,,,-0.01799957842789357,
CEACAM1,,0.009650613328582967,-0.033766071053940784,-0.04408049904755263,0.04094215554348345,
PDAP1,-0.06134207505491034,0.10207662400405139,-0.03751681996413287,0.08518622399066769,0.0069479016105624385,0.012125634256141247
QDPR,0.07035219667055734,-0.12427412213317644,0.00980140718662231,-0.16302737100647388,0.06571607907783393,0.06500753323915318
POMC,0.08075627355708621,0.06312507293853802,-0.03605661796824296,-0.029033798987503898,-0.005002820343966675,-0.006982400278303681
CCL18,-0.02586361586328286,,,-0.03125379857764194,,
CCL17,,,,,0.08562097961073395,
VEGFD,-0.008569899082481154,-0.010724089334590143,0.011134503928105803,,,
TNFSF13,,,,,-0.010547654677063194,0.14534644420971443
WNT5A,-0.05203082340846416,0.07596327024004576,-0.12832712510355235,0.030878130193002052,-0.023455933789996476,-0.04554834981351577
CXCL8,-0.033490018656688714,0.09211575379399589,0.08251955289085654,0.002728538653626805,0.03430530633310278,-0.02929433722039442
GRN,-0.009393735058021838,0.11119109632865765,0.010514641243715376,0.017076283793421722,0.012858050063066345,-0.005809461147764618
MIA,0.06207934273928649,0.07920064705627597,0.005027609398312559,0.05159461592701268,0.015844077376735995,-0.047733478086459544
COL4A4,0.05069326000430615,-0.015306908642823691,0.014702134766440035,-0.039514566753751194,-0.020934447948812426,-0.01203083703898786
TAC1,0.043292465846428936,-0.032860948881769624,,,-0.021447195562801617,-0.04910170062086414
RARRES2,0.056044781382130135,0.11270064496491192,-0.0006729737157943895,-0.022626698162835496,0.017970332932076342,-0.024985307781058574
FGF7,-0.04566311039539851,-0.013632398393413386,0.09831070945871742,0.06175896658680321,0.054905264620688045,0.02014942419751014
HBEGF,0.03066119695638105,0.08661919530175144,0.015021332479482548,0.00046440458334399444,-0.06505887370257021,-0.03851489069760886
CSF3,0.05031657508868089,-0.016194414722701354,,,-0.017176752910955724,0.051770529897105406
PI3,0.05269395163999974,0.06528399801329474,,,-0.037319377658775896,-0.005202055162664628
PCSK1N,0.0007372238022487514,-0.0033058815905140106,-0.050806298873462837,0.01496189940990124,0.08617960543364152,0.04515839553860281
NTS,,0.05798480963528434,,,0.10926994846346236,
SFRP1,0.020711077632201928,-0.00888724507660738,-0.04644017239207819,0.031484024795649525,0.04141383916162828,0.13026213398610437
CXCL13,,,,,,-0.004658141228380919
MICA,-0.041484423923155545,0.09207976257048262,-0.07911317883349073,0.024268244716113344,3.8386972985538244e-05,-0.012038836646527851
TG,-0.023384846817508964,-0.01954520968880299,0.1322988006659578,-0.036725804710388735,-0.03349794451108592,-0.027383288431412967
ADA,-0.034582368151780306,0.0922307543600681,0.07735146582771903,-0.04756789965240891,-0.01827892893584059,0.016009241500080065
LAMC3,0.04626420863193864,0.03315100913896958,0.003957777881934873,0.012096969220698155,-0.020958876645999172,-0.048148652297451904
CCL7,,,,,-0.01799957202745833,0.030389994237113218
NGF,0.1558238731343888,,0.072982148635118,-0.02919246061092481,-0.0387188731466257,-0.018490704009593247
TNFSF15,0.08703686214494338,,0.13244128146352266,-0.014814310728771464,0.08533948202641425,-0.003935183700457483
HMGB1,0.10886337175755709,0.13510466673679233,-0.07684287678024139,0.01844215212615314,-0.02631458266212676,-0.02814017266123897
ITGB3BP,0.015554827803509311,0.09134445429088069,0.04690612887512307,0.08845735818183006,0.01931583925715548,-0.009559798578276985
AANAT,0.12275718325427261,-0.014607800331841444,,0.08465389279090461,0.024457340943221613,-0.018705283740101806
