,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,,,,,,,,0.04864837508934431
BMP1,0.04191206088014549,0.032523211130349595,-0.01507234431165152,0.027758144071487915,-0.05178386423677344,0.0823826877253422,0.1052719924321843,0.030168353785397707,0.012004724697449903,-0.05742151414832264,0.021575326758720693,0.02330576011036346,0.11363127764415029,-0.0038504830080874092,-0.05201590173659831,-0.017361395737780994,-0.01535935462370121
NDP,0.0033128830191882707,0.026413835102652675,0.04539243905532031,-0.007000450373377591,0.04387782256142751,0.04447438762054487,0.026492024844805527,-0.07662723508070451,0.035209114463657716,0.009886940566791198,0.08009766273209104,-0.01556579945465838,-0.016891154517502793,0.07424680834594329,0.02972179719991452,0.00966377296794258,0.08366102193429922
TNFSF18,0.004466305821677665,0.020279313727225055,-0.020654875787910098,,,,0.11262932286046164,-0.019068248359777537,,,,-0.0539995449986705,,,,,0.010374306090921454
IL36G,,,,,,,,,,,-0.019561999453341847,,,,,,
RTN4,-0.016913976291934675,0.03957229881773294,0.016755062173067062,0.050512226149794906,0.007875592812071069,0.0065754750986316245,-0.1287294439695587,0.04743602514565907,-0.02276161599128304,-0.023682780430556008,-0.05301623525696201,0.038574404449588394,-0.09176915801931415,0.02680671220756813,-0.09946759087237282,0.021973920146812514,0.02228058479260704
HEBP1,0.003990726780477202,0.03189900447675238,0.003288881209194287,-0.018451113313393074,-0.003693205664264459,0.028567949848884618,0.03563069162587929,0.07827183629506326,0.021199489770916888,-0.00037662826847215954,0.041754233852631474,0.02893111095028095,-0.019864641859599397,0.07466416656296902,0.0755661845895977,0.052751591842963484,-0.011923870094412151
WNT7B,-0.016255510105460506,-0.014784656476699682,-0.014707311349047271,-0.018964028587185155,-8.183964802192474e-05,0.008458031764127821,0.029571468004347116,-0.003171471519330721,-0.014154258762263816,-0.03515751771053918,-0.021500891751416423,,-0.00687663638508447,0.01983020626124142,0.030627681183040874,0.03367933608809331,-0.018081759175858435
PTMA,-0.012903949305540842,0.06854794191371301,0.07224929823376923,0.05768409515671611,-0.010583647382367186,-0.005087125238617992,0.20227549594636826,-0.01378834640289456,0.0051655869173652,-0.0017889625953369471,0.005966583352707027,-0.009293295643498664,-0.1229077820646146,-0.09771013909205851,-0.04013703029654445,-0.012854809478015245,0.002817304536776315
FASLG,,,,,,,,,,,,,,,,,-0.01613385826257797
