,MGH258,UKF243,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.020174435134217083,,,,,,,-0.022245082252506848,0.1301023073058743,
BMP1,0.06207525848986482,-0.019407336273259544,-0.005663907123168317,-0.003964882131962811,0.026439846583812817,0.09678523644296715,0.01580735492813163,0.004515766596845406,0.013380055819807566,0.04085034008326517,0.02872340937699026,0.0815513157574033,0.02965528800495501,0.03329176718118386,0.009946576645953577
NDP,-0.039377187034006896,-0.01800618146498333,0.016933728336965617,0.08271520128882888,-0.05341082790402753,0.01680299552174697,-0.04102124842149942,0.026412152323896702,-0.02932003854996751,0.058571494743448756,-0.040199024055502,-0.05615138782792229,0.03251277189198885,0.06422671399276236,0.014398091635180589
TNFSF18,-0.02191121152685922,-0.019581153767771302,0.0406639289215746,,,-0.029958430521172905,0.026681099452900103,,,,-0.01253907486795871,,0.02139512383196076,0.02017710021505959,0.18630483263190742
IL36G,,,,,,,,,,0.006106323619181519,,,,,
RTN4,-0.053559124141151125,-0.0017941384716847607,0.009766474515270435,-0.04357854295041844,-0.058308531301528445,-0.10959126959192715,-0.06261248433684728,0.018002999010320254,-0.020207164889490738,-0.005206025069159173,0.045154705129450814,-0.08540044268433583,-0.01140926251257575,0.0019587740170665343,0.0023863736250808914
HEBP1,-0.0025551057986533537,0.010721471108162026,-0.03179040359767206,-0.010068969173447156,0.01190317710351557,0.023090880440351246,-0.023367384628294116,0.05022633857737979,0.032758313889726366,0.05568662468481896,0.015015998402654837,0.0436749630043084,0.021091387622615723,0.06444623937105888,0.011561694908322697
WNT7B,0.08044968430705293,-0.04570263056137032,-0.0067059489490892766,-0.03506048692959874,0.008876000012625835,-0.06044082168130704,-0.018924284180349468,-0.011878753470682546,,0.06195283541669242,,-0.03887551234721396,0.00487589908901102,-0.0018048672443523625,-0.0028280195936174206
PTMA,-0.03848866562723456,-0.02257756666531812,-0.019905964846781112,0.013195009895097767,-0.033464055250850645,0.005622352150249978,0.01499130456939408,0.027534948961253726,-0.026720562975340766,0.024290306417541,-0.00809771520973291,-0.08038584837446247,0.009937656803923747,-0.08744700485934698,0.08131509769076735
FASLG,-0.019303096533868372,,,,,,,,,,,,,-0.00591781277951722,
CEACAM1,0.043802903182529745,,-0.02233070234102582,0.020751798128726188,-0.018417548445957433,0.04221415956552263,-0.0051956473091821125,,,,0.08956759635289571,0.12517338690530783,0.06008775889417396,0.14938958824647347,
PDAP1,0.005566577695180419,0.0074475596288772015,0.001021260680422457,0.013878463130076502,-0.06270287734022299,0.021093189215579317,0.06216640207127053,0.05531695411155522,0.055150606786619004,0.02245341227017658,-0.03356451723861177,0.02850034163288582,-0.0296067067299367,0.0033791903204698067,-0.0011725875190061776
