,UKF259,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.018219038584259176,-0.019995965523980887,
BMP1,-0.01597523987112875,-0.04563324197612114,0.0019429724642353945,-0.0009160394774310123,-0.01793365472692418,0.09598243398669098,-0.029178113468175493,0.1069612595633362
NDP,-0.04365532961863129,0.009915114696851409,0.04707970024954945,-0.004656747761615453,-0.016235039497291798,0.027347188679961554,0.054464148504791296,0.05578249754845154
TNFSF18,,0.03320365863133157,,,,-0.01878897290703039,0.004905323191641648,-0.03763927158588816
RTN4,0.021092599292302866,0.03500288990225571,-0.027365042434855012,0.03253550209019136,-0.006128438333616425,-0.03761373017748088,-0.03617074091159216,-0.03214142119912007
HEBP1,0.031934945410967995,-0.0007728615215657938,-0.005586252446058397,-0.010581982550775543,-0.012746413453259888,0.05699256637506181,-0.0038330314303149254,0.056652568538037504
WNT7B,0.03848205855640737,,-0.030936027544056333,-0.009281519415925268,-0.030376919613856117,-0.0012840218655391495,0.01919817042497816,0.027446009538599648
PTMA,-0.03754096740735777,-0.03438083737735449,-0.09017725876930598,0.015293113266502715,0.05061672820593752,-0.056493932402776594,-0.058990175240012585,0.008561066644950302
FASLG,,,,,,,-0.01734249407722641,
CEACAM1,-0.027022228423415628,0.00046178697529157466,0.02441095613271925,0.01411115744655909,0.18150684464738281,0.009611401840586318,-0.024129533359717945,
PDAP1,0.021369665997181788,0.03231744783576246,0.0033936570858117375,0.04092013201153935,0.044819962682535505,0.023148730669311862,0.038707538035269266,0.003572966796276754
QDPR,0.021231977225814685,0.017355541263350517,-0.0753197124008187,-0.02040705499291961,0.006721405212170642,-0.01613299246583453,0.066921255126535,-0.058196155437749704
POMC,0.06160996234116284,-0.08627898478891441,-0.05525420489519534,-0.007366862872080465,0.052258594769928605,-0.02106559644847681,0.07097061413754682,0.015031857222326939
CCL18,,,-0.019670898989261096,0.032025677569595346,0.00951747396061671,,,
CCL17,-0.015662417816520984,,,-0.016601529609598303,-0.021243763363782014,0.016883569796043753,-0.01571902297867983,
VEGFD,-0.017449663044025763,-0.05933347753528498,,,0.0946071961023916,-0.025334477209387512,,
TNFSF13,-0.010803585274574689,,,0.14972593676416954,-0.023091244475268995,-0.006286098809269204,-0.02561283593022053,0.03588481710423833
WNT5A,0.02770992094645379,0.13238980068135067,0.06468831175884603,0.015004921990733002,0.04663515218503178,-0.009317478187340812,0.04487138805593251,0.07923529221723659
CXCL8,0.04579358067187043,-0.04795214152388061,0.008728374590637524,-0.040618545666476845,-0.01633000863584635,-0.03410422877534365,0.05106294565944163,-0.0005088368529849454
GRN,0.021132578081028596,-0.030508380732164726,-0.06054763108077897,0.06894639945547952,0.004059048135820906,0.03707276453755805,-0.034687762326931486,0.04852923899600561
MIA,-0.02375009917461696,0.014272576162924499,0.06009030743349492,0.029123794011261955,0.01852679917260903,0.05556091444357763,0.06140295681879958,0.03299613763871997
COL4A4,-0.007535898549122056,-0.04645928143736593,-0.024870162559168185,-0.043865936815869096,-0.023562942520930625,-0.0370020235803909,-0.015570712917466489,0.07922967470773308
TAC1,-0.01536843684951254,,,,,,0.05836340009519602,-0.014152423300808866
RARRES2,0.03574569628893002,-0.0480497987960017,0.04639907646690775,-0.03432409668916947,0.029959539507482338,0.03216382331250374,0.04824007830845261,0.04863193650895406
FGF7,0.013788632702365492,0.0490428276111291,0.0645634111132352,0.006175679994269935,-0.01429527530211399,0.0028636450556832702,0.01909206925547351,-0.007664103842156193
