,UKF251,UKF266,UKF275,UKF296,UKF304,UKF313,ZH1019T1,ZH1019inf,ZH916bulk
BMP1,0.01577281688429458,0.09373807482082756,0.01994588739236093,0.007409328781854024,-0.0033848323428095264,-0.015261310742236264,0.0010339355643938265,0.08409819729130422,0.051793451887790005
NDP,-0.0032817899615321003,0.004369139559344368,0.10299599597393476,0.07724194361699924,-0.0035601145204742636,-0.028017173102392566,0.029426026269674034,0.0313108464011164,0.035253867783591214
TNFSF18,0.0018500774554770498,0.028695841702039704,0.10812298917376177,,,,-0.0050621308239231135,,-0.028861140417667484
RTN4,-0.02833787050958039,-0.18894961063284585,-0.015927501632073897,-0.06699767009859157,-0.06307810056227652,-0.05471743092745818,0.04701083701245019,-0.0273433355249225,0.11892037848787938
HEBP1,-0.017353290799613535,0.03569222394775185,0.05943944332854506,0.01610866932090775,-0.027449732455841314,-0.00243715581683882,0.005860900347254122,-0.05722181327144937,0.04280479116913425
WNT7B,-0.0033457472113730324,0.009643236964138775,-0.014966151881923134,-0.011083477654360132,,0.045258110474515084,,0.07044879956897039,-0.024321508894868418
PTMA,0.04211517864508688,0.22581262590405435,-0.0820504202631256,0.030200752146596403,0.01563746043462496,-0.018447458343165326,-0.10487150017426453,-0.1075181594035068,-0.05020135486626431
CEACAM1,-0.0211142253680672,,-0.012147579777604813,,,,0.09888513306371152,-0.043231919587562034,
PDAP1,0.052343602441690486,0.1115113811035716,-0.02253692817341726,0.01317473769153336,0.049516711867900146,0.005956264942361073,-0.06794536188463207,0.0028278308260399885,-0.04759637060938838
QDPR,-0.06399180857318644,-0.09952537209610397,-0.032449711398931075,0.006343715153986862,-0.025796692052071073,0.043609355461669545,-0.03019040754231912,-0.17133810942092684,0.0981416040603176
POMC,-0.028922574456500722,0.004379272457276106,0.028145527566218114,0.04803153607332909,0.04714707295376793,0.018522217695146722,-0.03810379641151917,0.1042249458869255,-0.02978811644925015
CCL18,,,,,0.03129695189900529,0.06697327060158824,,-0.030652141788523917,
CCL17,,,0.05654469538933577,-0.01371823832743937,,,,,
VEGFD,-0.030241891706104636,,-0.003870493792590798,-0.010062493713670571,-0.02760484246309314,0.017522945749821457,-0.049828785708000985,,
TNFSF13,,0.06399908925164725,,,,,,,0.0014847336349935248
WNT5A,0.051583448311812004,0.1597707898663381,0.035064009013282174,-0.0013390239258851914,-0.02088634294998569,0.03680954819244231,-0.005989637276085143,0.023968025154910054,-0.04294280453786059
CXCL8,0.07636764996162042,0.023766391220314768,-0.0528422143316279,-0.00937063167794257,0.031916132860154205,0.03676726261658158,-0.03773820158225047,-0.026832582172313577,-0.11099198797594212
GRN,-0.07575551315403116,0.10857369734542816,0.0072300940565528755,-0.02313438953261582,0.04268184842328428,0.011048362416643665,-0.01058343104932389,0.06109262364144853,0.04627215948582273
