,UKF243,UKF248,UKF259,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916bulk
IGFL3,,,,0.040075504582753156,,,,,,0.039596294457973955,
BMP1,0.07418674998895654,-0.029581961968986253,-0.03827491296843212,0.15136858706065992,0.021387209016490376,0.003826684637774507,0.07461691342019147,0.07837146963256757,0.08489229771597115,0.042264596526249115,-0.0011232538143072731
NDP,0.03853000701426524,-0.0378210481217121,0.013211156907999354,0.01033263712816706,-0.038131840672304414,0.03191932190001376,-0.008052696109257318,0.10122370146013154,-0.0020834920897709573,0.007689009759818163,0.027019491612898575
TNFSF18,0.09406221599076912,0.004311264775457752,,0.06365176102645576,-0.015882541747844526,,,0.04199960714335255,,-0.025312753516940848,-0.02430873417830757
RTN4,-0.06953935056882463,0.050769268189775014,-0.026634329055345497,-0.1648260508861754,0.00028773219082291754,-0.038102598100326825,0.0310857363325399,0.07608859584058084,-0.08271997913319343,-0.0190279631280286,0.014509663242030978
HEBP1,0.026889194155962904,0.03075329503291035,-0.02675685898859874,0.04839109228702334,0.0050060088089851715,-0.010649007200641639,0.03511599754772124,-0.0020060141239536928,-0.0035933992863267095,-0.0027003253135714136,-0.020047705811322432
WNT7B,-0.03791572204317895,-0.018123815208595392,0.009672747544728865,-0.051800195171136786,-0.031753724738502236,-0.02394726370448169,,,-0.03139837175171816,0.04139474389466762,-7.134048043689824e-07
PTMA,-0.038544922698733705,-0.013196770247879875,-0.05239381087958955,-0.0910594907095173,-0.006102921110023156,0.04102529245675373,0.03752452871831906,-0.025440966717199826,-0.08606674381000505,0.06896162975089251,0.06343559229468573
CEACAM1,,0.005504687579954875,0.03286305300545062,0.014940947868118596,0.007825648651911507,,,-0.04123832661880087,-0.028158562705595063,-0.008049123341068557,
PDAP1,0.046413652894111354,7.822498928215553e-05,0.028290186288165774,0.10328661074617085,0.020637986494078928,0.05184134001933893,0.0025839961017948216,-0.02856112791057288,-0.037088458497062174,-0.07789268375448352,0.03978225750631946
QDPR,0.16837294888088475,-0.059575189418226836,-0.0001294649588956216,-0.11164466989248609,0.006899849668092352,0.043210780148491564,0.0077948678059014155,-0.05862843801028085,-0.11084929321034681,0.043014356504294776,0.004586527568713262
POMC,0.05039302811299844,-0.03799473312099059,-0.01840161515805086,-0.00959278129791737,0.04194803447552671,0.04696259003935771,0.06742321315062202,-0.03892721491056323,-0.03309124321640062,-0.029444758881327898,-0.05819561120603751
CCL18,-0.0064289943623216566,0.0464916577066428,,,,,-0.003680832646350855,,-0.019964883929448833,,
