,UKF248,UKF255,UKF259,ZH916bulk
BMP1,0.042879871539994646,-0.08939805251388314,-0.07663576357820676,-0.0250729952528125
NDP,-0.016816298720993886,0.009608126780625358,-0.0946251075581839,-0.06760605744498754
TNFSF18,-0.024469138319294564,,,-0.022094826563723666
RTN4,-0.005324318727724774,-0.06786979660273901,-0.051484977464371875,-0.04394666685986246
HEBP1,0.03816100121760769,0.06319945631807536,0.04750716815614978,0.03321958541297909
WNT7B,0.09125364916051266,0.08134258284220862,0.08995250434400437,0.07478619291688891
PTMA,0.01844092304245373,-0.04099363965812521,0.1124577831216523,0.0387591544910492
CEACAM1,-0.015573935946439112,,-0.012501811191983354,
PDAP1,0.021421798136860726,0.11167727225080248,0.023742039583128687,0.09759055549562204
QDPR,0.01850996941031263,-0.1037200282382938,-0.01565983749667181,-0.06357905619024837
POMC,0.03412690853440279,,0.010462543328118074,-0.05289547069525009
CCL18,-0.019434800572968928,,,
CCL17,,,-0.018054782359879236,
VEGFD,0.01539491080409843,,-0.020115021333474647,
TNFSF13,0.008442499539171916,,-0.012453784793883699,-0.024036019702203804
WNT5A,0.042708246752925554,-0.05105752067889553,-0.05041274912743215,0.02475707483203281
CXCL8,-0.009110734151513844,0.15489445865925142,0.21591124170050208,0.1466631007473174
GRN,0.02646965790090664,-0.030616108875702118,-0.08633453086481785,-0.14210330507253185
MIA,-0.03872084032666906,0.04063193071659092,0.02259786580818472,0.06638449746655378
COL4A4,-0.023341037584928667,0.035952645417435584,-0.003935732249284242,-0.02686389149957349
TAC1,-0.024901788975708914,-0.06021999135230239,-0.0701214562057781,-0.021393439477488115
RARRES2,-0.03176192750132747,0.018942173926669092,-0.10253800597134281,0.1710550253872784
FGF7,,-0.019341017744718483,0.022007600064254604,-0.043980952062749344
HBEGF,-0.007512876861383183,0.04011255421359324,0.08398551107471446,0.02120408711091129
CSF3,,0.07698972611718966,0.2641071050303412,0.15453631423697126
PI3,-0.02044622960804804,0.20078881367877469,0.1990078851799277,0.20439450559626404
PCSK1N,-0.025673469115100177,-0.08960035373477834,-0.13640207671349636,-0.11949451669549382
SFRP1,-0.05696551455520621,,-0.01575349549115834,0.020304376265318884
CXCL13,,-0.018855284056845674,,-0.02292086580449636
MICA,0.020354119574786625,0.05883375158443261,0.12038619274386674,0.025556253782756423
TG,-0.019436518096405363,,0.051051632778462426,0.01689128854084317
ADA,-0.03576315815693315,0.03415611215641654,0.0017200677245306627,-0.021164635437346736
LAMC3,0.033379604691405884,-0.048471628424601294,-0.03296387854405513,-0.09436861961030554
CCL7,-0.01236217497292822,,-0.012291347010592188,0.2926825025798704
NGF,-0.004749955096442655,,0.03516577804326833,-0.03202469262985751
TNFSF15,,,0.027916729363142642,0.15788219103088857
HMGB1,0.03564871494926217,-0.0744405778998074,-0.15057048583491142,-0.003074203080710959
ITGB3BP,-0.04537744936326646,0.005096043035525438,0.03892765186861657,0.02939400236589961
AANAT,-0.01793563511210824,,0.07935807734908962,-0.017254141363498576
RELN,-0.018895335031461524,-0.02924307255299295,-0.02161698374596713,-0.03715189070422669
IL15,0.035727037679641464,,-0.030060788071050143,0.03350641369108606
BSG,0.01601367557351871,-0.033927445501744515,0.012399665893612674,-0.03751688962494159
ADAMTS3,0.0734243330685731,,-0.01391208569912946,-0.024209545519466025
CD34,0.006751500712358926,-0.043056530655691774,-0.033839198237614394,-0.022462473242687547
