,UKF251,UKF269,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,-0.012843353276661085,,0.1153110987460865,
BMP1,0.03336923790984277,0.02171543531408777,0.0922842926538115,-0.03318385526862995,0.02562062700137893
NDP,0.07329549591082937,0.021964660922078574,0.03683081143049437,0.013993179460261995,-0.0032152902029270124
TNFSF18,0.0006482365520445058,0.06069377562587601,,-0.016989993091865403,0.027149350876052164
RTN4,-0.006459175702151154,-0.04348881604001547,-0.027669614933373374,-0.02794729385385315,-0.09515352842308197
HEBP1,-0.04759302276675649,0.07023497719258447,0.10216490482557639,0.015079680897776672,0.008238635655601805
WNT7B,-0.015709239525174813,-0.04438629463509306,-0.02259321612363936,0.02776042006311252,0.07165831007805894
PTMA,0.02667070012361786,-0.10101639776385622,-0.06676639091748779,-0.09031005788004595,-0.0007517493846074455
FASLG,,,,-0.015954307499519416,
CEACAM1,-0.012055896488437145,-0.008847417400639228,0.046540238041286174,0.0920526175780549,
PDAP1,-0.04330490742785249,0.02874747669521269,-0.029590744185634562,0.0312503368401426,-0.09315536407860467
QDPR,-0.026680116008965263,-0.05552379941174484,0.0673961431091652,0.025800016892892828,-0.06761957803533729
POMC,-0.00643327071530225,-0.019782495715770346,-0.005493926635509971,-0.05771920431752697,0.05192445744998784
CCL18,,,0.038301126339478755,,
CCL17,,,,0.013556220261788727,
VEGFD,-0.01726765295281577,-0.021516061887841074,0.022085127349139873,,
TNFSF13,,,,-0.023562646672723037,-0.03715913925453094
WNT5A,-0.00204375558198733,0.02187455464542337,0.06756020207105708,-0.049909787641882995,0.06765989480214048
CXCL8,-0.016168406738585335,-0.001917541453405957,-0.143505001087257,-0.03021420012114979,0.06064252539742979
GRN,-0.004048660054268006,0.02944577602677245,0.05620410862215058,-0.09190846105645366,-0.003164896254070616
MIA,0.00566802239728383,0.007617023569938823,0.05599061151476936,0.034583814545232384,0.02022536359103439
COL4A4,-0.001074004520414636,-0.012656171354106014,,-0.042466787730117354,0.023274129038345533
TAC1,-0.013532213315236288,-0.043510340048850175,,-0.019010175953954773,-0.04131453835774747
RARRES2,-0.014016256855566686,0.05014459413774961,0.028316831486328714,-0.00394979153778764,0.045627185601557464
FGF7,-0.002994420454098606,0.02923702522954937,0.02149095592457265,0.13603017842688864,0.016367943745340403
HBEGF,0.007544917224178935,0.06383447508111884,0.017184577482952757,-0.025538203972359015,0.06318613683567928
CSF3,,0.0426322781956273,,-0.015224978678388042,0.05442584707428092
PI3,,0.08833658280898861,0.07406328348315357,-0.03307882066482843,0.015826002434976817
PCSK1N,0.0053318670238358115,-0.023707352419605986,0.0284634041275197,0.0067352447630042766,-0.041627510441172695
NTS,,-0.016457903114624056,,0.14553762173676482,
SFRP1,0.03184274771269081,-0.021638442022307698,0.05713294721706672,-0.022022202678683996,-0.014467911615898617
CXCL13,-0.02915219202316253,,,,0.13948363942554465
MICA,-0.01721395855263224,0.03948481596937995,0.03296110233983708,-0.012117045082933117,0.057828904101491496
TG,0.0031672396531548597,-0.016160514754845454,-0.05457332904017147,-0.029691612471517578,0.015560443968241815
ADA,-0.01300262526781262,0.053362204248949455,0.16427937402749834,-0.05081603930868879,0.016111161985042432
LAMC3,-0.007022106627931707,0.06963906427042439,0.062158574730646156,-0.02981216887868383,0.010522850679148708
CCL7,,,,-0.015954301826358108,0.006622646032437912
NGF,,,,-0.04776669881309106,-0.02670805730957264
TNFSF15,,,,-0.04215402764384059,-0.007741870661645585
HMGB1,-0.009922688574698748,-0.010785256757820742,-0.055459871045181346,0.03206501810342787,-0.09648529661099284
ITGB3BP,0.023926836486428904,0.005195114128111767,0.02125755361077068,-0.021393766896505496,0.014405671182857533
AANAT,,-0.012078129452548108,0.011593629793269673,0.031414648911037686,-0.02667450973943163
RELN,0.04812558570074042,-0.03544102144823115,,,-0.02397804409700897
IL15,-0.020885183044233493,-0.005901898082726208,-0.012205784034078331,-0.026008973307426176,0.012205696728485933
UTS2,,0.05292854573875897,0.04628377121078315,,
BSG,0.024352094071721588,0.016625943241250576,-0.04664326739705429,0.004920987424428757,0.02849494302669849
ADAMTS3,0.049676730105856805,0.058217793572137196,0.018254806936986622,0.04485324100821134,0.02157607037990271
CD34,-0.02137620454574917,0.0654445934423684,0.08880786543854392,-0.05594602318639618,-0.003598123853307188
CCL23,,-0.013742994040142677,,,
PLAT,-0.04912391524086833,0.06779660208129915,0.03756069930222789,0.03565790094873366,-0.0012069961252957316
LTA,-0.012055897725588065,,,0.03260360950148016,
CKLF,0.04425891605868125,0.018099351339592416,0.02986493446579725,0.007358543016069711,-0.02726769998323571
CD24,0.08898258250405688,0.02365235721263858,0.08313005150129155,0.05138225818053506,0.0032658516234150025
HSP90AA1,0.017669002550078874,-0.03734271484319024,-0.1290102406880239,0.03373920487120808,-0.03200002197160124
BMP4,0.012708727224581913,0.12837279069119426,0.010335786647759712,-0.02637072793277629,-0.007306403084543475
SCGB3A1,,,0.097602145896247,-0.03345190542680175,-0.04300549899704412
IGFBP4,0.030909270277132996,0.09071059792540762,0.021559587848935014,-0.04924057321925683,0.0023044443137575595
RSPO4,0.04933093644411832,,,0.07138464329508513,0.07448759152237375
LEFTY2,-0.012203962492385409,-0.0018937197334847763,0.20370880463139926,-0.025019733790828176,0.050315985851977434
PF4,0.018587637526691386,,,-0.0036650587418473215,0.011814953803579423
ANGPTL2,0.030442652073998926,0.058700416066566265,0.13719820294313403,-0.01387506324350587,0.011323656708122276
LRIG2,0.03213818964272487,-0.014111510126736775,0.0004702028060115478,0.06482647409601956,0.0185519945044688
ICOSLG,0.01926331388968112,0.044376682696211034,0.05543883343430914,0.06367208868131306,-0.0023849619327950245
WIF1,,-0.05510884429460378,,,0.056769924490009484
