,UKF259,ZH881T1,ZH916bulk
BMP1,0.025971751754971694,-0.09649182846782645,0.013399272678577724
NDP,0.01553156150069183,0.02889621456704822,0.06506716233341858
TNFSF18,,,0.01633297359885314
RTN4,0.06746529672279775,0.047879668567429076,-0.02098810779245936
HEBP1,-0.04176284861744844,0.07188427696778427,-0.0417273220745537
WNT7B,-0.026976179549281325,0.05198384925098708,-0.020236726042652302
PTMA,-0.0016884756326623108,0.04492701197109861,-0.06353038830475163
CEACAM1,-0.031149753427538326,-0.013517656594014087,
PDAP1,0.03570197827005612,-0.0022411985623412766,0.033152028276223905
QDPR,-0.06289210016108662,0.04093460874221728,-0.028444052994648247
POMC,0.012845808211718445,-0.022113110432311782,-0.04918262705034615
CCL18,,-0.006286187072410834,
CCL17,-0.018054782359879236,,
VEGFD,-0.020115021333474647,,
TNFSF13,-0.012453784793883699,0.08334963290635092,0.10662221597293593
WNT5A,0.008649459663429292,-0.021420530173418023,-0.030745109994061468
CXCL8,-0.020358624812486854,-0.06882355831500192,-0.012033741942546125
GRN,-0.020766840120765597,-0.05000989126062683,0.03344227166507326
MIA,-0.002686069304517376,-0.04705975434503447,0.06146807599769623
COL4A4,0.05548965053768227,0.0896611717269483,-0.029555660714268704
TAC1,-0.03522954545505773,0.044090306615865056,0.005621385073017756
RARRES2,0.022098202844626116,0.014176960285353025,-0.00520304872056642
FGF7,-0.022099890179075037,0.03368296800562506,0.09755820537506253
HBEGF,-0.0120361669503779,-0.08180809175639048,0.02568586482234498
CSF3,-0.021519726321663338,-0.019379407221375853,0.033538920804725814
PI3,-0.021057910126244358,-0.04877782259379902,-0.05757672308138697
PCSK1N,0.03105280214531197,-0.006186096261309267,0.01588727920573623
NTS,,-0.027441390080306473,
SFRP1,0.11657510675859335,-0.02537577346761647,0.09087589008486643
CXCL13,,-0.03161184595265797,0.014308975673965205
MICA,0.019856475033696468,-0.035021463849121276,0.011289124641473856
TG,-0.017000517528101326,-0.015949549938419617,0.04774803671328029
ADA,-0.01699013892007579,-0.00013118162312289358,-0.007800050258118362
LAMC3,-0.021210228883469386,-0.0462378316634338,0.029985852681645882
CCL7,-0.012291347010592188,,-0.0030571050397247257
NGF,-0.02816261535869059,-0.03327020723919293,-0.00531473632474875
TNFSF15,-0.013687016058375905,-0.012034279181103192,0.11503469604645458
HMGB1,-0.03257646050352222,0.03296526037762657,0.023441788283769742
ITGB3BP,-0.02513374343591816,-0.01176203948500732,0.062363617229566126
AANAT,-0.012453786123052446,,-0.018983011008054804
RELN,-0.007930693584685405,-0.014536105067922418,-0.01671421026447626
IL15,-0.035260470562323204,-0.002632744656908106,-0.0067509955159289455
BSG,0.0260236732460659,-0.052867828002154636,0.08628855120193298
ADAMTS3,-0.01262761116934058,-0.0148999896750598,0.049350396269589335
CD34,-0.05323766255196371,-0.0282795319989174,0.03684666639606783
PLAT,0.006360591874886868,-0.011096603575827153,0.060407938847602385
NTF3,,-0.03128842064105479,
LTA,0.021174649328882734,,
CKLF,0.009811962869060586,0.04585241531808457,0.0571138447971219
CD24,0.016013920129994967,0.08785226942375773,0.03595996901546818
HSP90AA1,0.013064269469484139,-0.040674356610805686,-0.020048323405815763
BMP4,-0.03675479439042206,-0.041701629216358976,-0.042699489603265625
SCGB3A1,,-0.024991400514248384,0.018111788576377588
IGFBP4,0.02625043705065993,-0.08123578658933034,-0.020544060797305842
RSPO4,-0.024113483739897627,0.005714404595372752,-0.0031783242430373374
LEFTY2,0.010117634757679801,0.011000464030031179,0.07511442656907313
PF4,-0.010723958112766484,,-0.018751069438741823
ANGPTL2,-0.02113420648351169,-0.012040754743868612,0.004018775467987674
LRIG2,-0.020768260932405063,-0.04770780738798609,0.02127426921490059
ICOSLG,0.035216606248091954,0.03209584731104202,0.0009317465059960714
WIF1,,0.00777987450285752,-0.03440781179083796
NPPC,-0.016635503629878107,0.012444683116020282,0.0907774680287194
LYZ,-0.008711666413936222,0.010803981245662153,-0.021665967925393655
EREG,,-0.02096285170334093,-0.021588035605607195
SPTAN1,0.03140956445880587,0.03775102100279747,0.024320103946717086
PTH2,,-0.026766332020221068,
LIPC,-0.019271751420652107,,0.005480159710429451
COL8A1,-0.04103125095950731,0.019533980083453126,0.06667053618214144
GSTM2,-0.017219064018714883,-0.013923595051857146,0.012674851962194271
SPX,-0.011687249225333513,0.0339092855634374,0.04856376291783805
MFGE8,-0.0372621496404269,-0.037295821766629045,-0.00570251291565833
TGFA,-0.0004865233652250675,-0.019846539986838,0.04266843081948824
SLIT2,-0.018194394539599333,-0.05384715977508284,0.02449038564902415
PLTP,0.00432988293411728,-0.06896908502035994,0.029429304633975466
APOD,0.04417483508258292,-0.03422427384606876,0.008205061839285118
B2M,-0.0560015987329309,-0.014905499940338426,-0.03988624957076922
OMG,0.06636586134612185,0.010660864975430851,0.019313565330862995
CXCL3,-0.010498760773845206,-0.04721328541875229,0.015771884843835293
CXCL10,-0.058186911404617285,0.010876026463195423,0.01818483545433022
RSPO3,-0.012453785202858652,-0.02849449894140858,0.06217233454709264
CORT,-0.027928569583032147,-0.027991619359112922,
NCAN,0.05276815063386222,0.03596374385700424,0.06547747865446021
PRG4,-0.012291348926016164,-0.040134689806873444,-0.0260989340643349
ZG16B,-0.014265613657432855,,-0.015996585337397357
TGM2,0.013079027681974656,-0.06578029801877401,0.03539059674083382
VEGFC,-0.021906474914502268,-0.02872514261786996,0.04068129671312523
WNT6,0.00015622808455988802,-0.022337012222754877,-0.016529271975445615
NRG4,-0.014959133921449975,0.04736671365383355,-0.02485748980903882
PMCH,0.138327267093995,-0.012796411820130771,0.04766230225476948
COL9A1,-0.015623723577696653,-0.01941647669146459,0.09012090036666975
GDF11,-0.02028464678764143,-0.01451641201314157,0.06130616806401459
IL24,,,-0.027789846679644056
SORBS1,-0.02817212629097987,-0.016180228335359217,0.027943086571635137
DLL1,-0.013531601906784292,0.018267968415645198,-0.027699201106862137
TLN1,-0.0632822932621624,0.022051886473843946,0.018788641391890824
COL2A1,,-0.02695770304364219,-0.022395264105000628
SHH,-0.012772729602356106,-0.028852210135989747,-0.008324125690909904
PON2,0.06882002262446212,0.0196286141652944,0.05876242033298502
ICAM5,0.053822630223420466,-0.017008415957387547,-0.05298049382511665
HPX,-0.031077788756742775,-0.03542105101435229,0.07850860326938151
SFRP2,-0.01454675483816081,-0.02045415189452011,0.026307273508600116
CFC1,,,-0.021994967340601614
CD70,-0.024725344267002607,0.028455243023845826,0.0030258549484746583
HP,-0.005739153722805724,-0.04055396380869972,0.009837918530058783
CXCL2,0.025613757729199795,-0.07219028268468448,-0.0019785508317691157
NPPB,-0.024536113932405148,0.0006447220996952448,
CCK,-0.01725542223596373,-0.006585683251889095,-0.03131216245035298
SEMA6A,0.02895997714169773,-0.002831396415185249,0.09919487783667427
IRAK4,-0.015169411371313073,-0.01893631408699402,0.06657104647358499
GSTP1,0.03117950376271193,0.066128491414759,0.07334188436145585
VCAM1,-0.030701517119108398,0.060904569369244405,0.03067964573849462
NXPH3,-0.003078586876871573,-0.01517655431625151,0.033498097824332655
MTMR4,-0.040621128549462066,0.054590115068510976,0.044856159499806085
LAMC2,-0.007839802879577614,-0.012420913627786407,-0.0239368381241101
IL10,0.017373407551886134,-0.0063828217759560974,0.032449319663973096
SEMA4D,-0.014632403771201747,0.05134755146984518,0.0017551270425792552
TRH,0.031351163097421406,-0.0019882159514323376,0.06820776162473792
SEMA6D,-0.0010145168018263916,0.06832601840992691,0.0906192631650315
CEL,,0.01940725912719459,0.1135452115564427
PDCD1LG2,0.011002122312041705,0.03257652640035337,0.020298580337083854
SPINT1,-0.02752008977172341,-0.007233775910009154,0.04422062845463555
CTHRC1,-0.03621200833465902,-0.045629638239650855,0.055752566768918335
PODXL,0.01257019484233595,0.008634930189101924,0.05432821802786806
JAM3,-0.010393151962828192,-0.0033459417558444732,-0.01954370128012325
TGFB2,-0.013926344394481753,0.059324917333605225,0.023254005359173935
COL18A1,-0.03516593868394049,-0.12041119961090528,0.024367745147061408
NODAL,0.03446457479045563,-0.01420424631911339,-0.049864301555194494
INHBB,-0.031030309952699762,-0.0629376211750676,0.08828504876252066
LCN1,,,-0.016789649701855185
ARF4,-0.031136488030421544,-0.006980437761507224,-0.032079987805709344
CXCL14,-0.033217433348871055,0.029936833966938466,0.07037834886039608
LIF,-0.023715216979561724,-0.04623908101896513,-0.010295343287607657
IL17B,,-0.017671402308294677,-0.018983007195746738
MMP1,,-0.012796410806733256,-0.042482514723727424
MATN1,,-0.01821227719303239,-0.017299405076269907
ADAM28,0.014387039603073928,0.036172427342767884,0.005338524160810149
TCN2,0.005781784955945362,-0.03177264589706669,0.05965948974310996
THPO,0.019895636155377316,0.07924815193452908,-0.025924731375631324
CUBN,-0.00013596149523822536,-0.025445817097811005,-0.048162432767142896
TIMP3,-0.001245550846418997,-0.0971117199056483,0.026845134453679406
PIGF,-0.009768376701354626,-0.024122236955607952,0.02029153978509052
CRH,-0.014406830600314132,0.036102332745903944,0.017363210557075192
BDNF,-0.030113376579097198,-0.009625565010011435,0.06572281792988714
CCL5,-0.01266708986889142,0.05294266066788025,-0.03382249251656468
GAD1,-0.033686081644619885,-0.05549629435172746,-0.02250100505162834
COL14A1,-0.026770770100651813,-0.0423960546531104,0.06798775460494381
HLA-A,-0.019600083917004324,-0.07526261417660117,-0.007745926994992568
FGF18,0.08855385013817615,-0.005711250453263921,-0.023748960279089775
ADM,-0.04096765868866957,-0.05617114685728782,0.010513210243945099
GNAI2,-0.013187686297056751,-0.05896045249935863,0.05413525649243155
HDC,,,-0.017299397241533076
COL11A1,-0.032181195055217986,-0.048217370234250295,0.039643588571581664
NUCB2,-0.023625159376417414,-0.07366124231760796,-0.006509957798947875
FGF16,,,-0.01704630707394561
CXCL1,0.01427493328662099,-0.03650204550240106,0.043306712215180815
VCAN,-0.0036342344842869084,-0.015522603038810541,0.035676263219196876
MMP7,0.02836798463481096,0.00882764373691689,0.014230840218058385
PTPN6,-0.029387267200566645,0.0016634360898528963,0.02377119091719974
PTGS2,-0.019395658686946454,-0.011664271125955477,0.031110364154057515
XCL1,-0.01245378729885592,,0.0009677777439658259
CD58,-0.015675838979047126,0.023456106026020516,-0.01200252224270196
TNFSF14,0.012223662789665433,-0.01847734563466103,0.009464925736945616
CNTN4,-0.008812305527308299,0.01678607502648082,-1.9126687169545955e-06
NTF4,0.0027397497756625473,,
INSL3,-0.011446116929267239,-0.01847734384945193,
BTLA,-0.01816846609271079,,
