,UKF243,UKF248,UKF260,UKF269,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916bulk
IGFL3,,,,0.08410169406571637,,,,,,0.004530662639394447,
BMP1,-0.025857020699328,0.0011170683926426696,0.027419866766586774,0.03971159228446941,0.05381530761182977,0.0856597252791205,0.012021696574653129,0.009666603368677846,0.04799252247059671,-0.05115167046237708,0.0323746464228011
NDP,-0.0649341481136695,0.053225945183752094,-0.018393709220528087,-0.008935980969088538,0.0021548472782422653,-0.002041355922416651,0.14115199377403437,-0.016016029295626944,0.017173027894908984,-0.06083544644641367,0.018557863559231638
TNFSF18,-0.006683931868021495,0.058711371447870475,,-0.023066475889150923,,,-0.0252577245950281,-0.04175838463265666,,-0.02095790462265094,-0.033371508309472366
IL36G,,,,,,-0.014899820217285217,,,,,
RTN4,0.09360034277058174,0.02216165252949659,0.07250833159758754,-0.03723561914904128,-0.06112776458270834,-0.024289341993410034,0.040157884187330586,0.09818334562944585,-0.021129429630153473,0.050049790268835624,-0.043454228779901315
HEBP1,0.08448048183537647,0.04188191662111595,-0.017049959285435814,0.01432959495887966,0.011098896348063552,-0.007688628158171525,0.03552328750913282,0.1095548623574171,0.010410087236153897,0.005969093623346123,0.04043406201800639
WNT7B,0.01935887508719291,-0.02961789050136744,0.03221505066489859,-0.04242271678343628,,-0.01637661949493037,-0.027806289488564614,,-0.030936027544056333,-0.006990842830205039,0.11058804471670926
PTMA,0.11059830182290425,-0.05236946683679364,0.012686879501328163,0.00043679819603831277,0.06934494255876981,0.021908251519439856,0.10161181272373201,-0.001481495092785011,-0.06007232322169772,0.07605096672941349,0.015530801564508109
CEACAM1,,-0.006921675703793155,-0.014562081122944543,-0.0038968578855420335,,,,-0.041936669178133254,-0.027743925014635757,0.040823062116432725,
PDAP1,-0.0731745820679208,-0.01495412475885734,0.034625935551242513,-0.025181644112044148,0.04242186445048725,0.0037221049737375437,0.06288609885755986,-0.07801734696396759,-0.016101427098204613,0.026215366471826908,0.06082247164196453
QDPR,0.008382073862946595,-0.007618932318056044,-0.035156433892647,0.036019980911788395,0.045740236987657064,0.030042794469916968,-0.09718996950991442,-0.003561517685882302,-0.05510939272008722,0.03676814064154636,-0.06895968288561298
POMC,-0.0419190393252419,-0.013055851981027357,-0.016710797323904483,-0.01942346321011275,0.03438815608516693,-0.009280022622346706,0.030932923025986374,0.0137725996822622,-0.007153972960244724,0.08174825946730721,0.0039013088947821577
CCL18,0.03007483954908876,-0.0018880966018881772,,,0.05371321184552447,,,,-0.019670898989261096,,
CCL17,,,,,,0.08436265912405311,,,,-0.007042621443142988,
VEGFD,0.014461171876104472,0.04967256959999823,0.012301763185549309,-0.02602243486030966,0.06259753865905124,0.07688980991809069,,0.02943326574705923,,-0.028258998490566546,
TNFSF13,,-0.020858783286286695,,,,,,,,0.04544977199428391,0.01977902485574094
WNT5A,-0.014039835456364716,-0.02328817197091919,-0.050545723625221806,-0.0022607744410668177,0.006360037353705368,-0.017425019532652596,0.0556276429846481,0.04422053480319022,0.06927731969125299,0.06317920214138885,-0.022389698025074685
CXCL8,0.028187021526902056,0.005220957457395306,0.04975023948419204,0.014169202270096501,0.03751856557933629,-0.001904011088618134,,-0.08276722152271776,-0.03463371472053144,0.003935344443797229,0.03304734360329434
GRN,-0.07480111523122296,-0.02760773584427947,0.01732551446813281,0.037544661938965815,0.05752352473779057,-0.01212104771863822,-0.012312077134890851,0.007400588990391935,-0.005739329495765898,-0.02583712138814046,-0.1220744979823414
MIA,0.15373919097197644,-0.022435911843462743,0.0643260091088493,0.04000824543184095,,0.13467547074133582,0.05300338476467245,0.02959928126866679,0.044340619470326144,-0.024408342954237217,0.16235788545216573
COL4A4,-0.042526379031379145,-0.03319660220838153,-0.08138052148891653,-0.015306908688027915,,0.016360618977757216,,-0.04464150530413177,-0.024870162559168185,-0.0013818993560416302,-0.027701735182512746
TAC1,0.025532904735143063,-0.008040530123392285,0.040471914504533725,-0.04416696693185259,-0.009710252122124651,-0.03434541585385703,,,,,0.0345402951366935
RARRES2,0.02394554119762642,0.015313446397455797,0.05381159665620039,0.04045849150314851,0.08467694661115555,0.0016701201493886997,-0.0451495010492758,0.02781971533194546,0.05901673939266692,0.022232466084434417,0.14103839024532833
FGF7,0.0914903259918672,,-0.013004143863650827,-0.0068707522648303095,-0.010619697619953614,-0.052137593221825214,-0.05072788485423935,0.0478523330818101,-0.01778457127258378,0.014977987132223435,-0.012430919930381572
HBEGF,-0.13275298037401478,0.047264692599995994,0.004053874367493907,-0.004035603339174534,0.09944815873178497,0.027101998942212508,0.09835290078968881,0.033173559390358175,0.0067428305140286885,0.0023643848003800727,-0.0037259813382757912
CSF3,-0.04252634536311783,,-0.004965788149470998,0.031305650482936744,,,,,,,0.18106008582451216
PI3,0.012566925124715371,-0.029079484941058067,0.02007966553922146,0.045848992109435514,,,,,,-0.02276554950484548,0.09168263967980184
PCSK1N,-0.031836845061210095,0.019279631546298203,-0.013693015537537039,0.008574779189941116,-0.10642180724520149,0.0035871242336802415,0.02483438947015662,0.0380076279647898,-0.010999466820603725,0.01266878250410154,-0.09050266217078629
NTS,,,0.04984252471719416,-0.019904883801231954,0.0785644473547008,,,,,,
