,UKF275,UKF296,UKF313,ZH1019inf,ZH881T1,ZH916T1
DCN,-0.008063550433143562,-0.011929069762325282,0.24585724666989653,-0.015580796536616277,-0.07859491482490177,-0.003057189259974388
RARRES2,-0.01002800754296952,-0.03204916006651637,-0.1250195941399899,-0.03746801911206775,0.06019814954129309,0.028208101003774924
SEMA4A,-0.053965013956055255,0.07170202287817043,-0.025588518450068404,-0.04636306956662096,-0.005412532435402941,-0.028139519019423815
GDF11,-0.02734088064463682,-0.029600212347881263,-0.012369637605907148,-0.0350046847537208,-0.009933821252187267,0.04723921372615211
GPC3,0.06802326937009819,-0.020710940165255126,0.043072199540534345,-0.024493327090562924,0.003943674807433471,0.033480497929492245
OSTN,-0.02082652460430218,0.048107183073339874,,,,
GRN,-0.022506451718363317,0.00047131626169893607,-0.07420915501799943,0.0589442712540528,-0.07718940309465408,-0.02743224807446757
CALM1,-0.06824304180519228,-0.011240013513628905,0.0808318654658513,0.07206235261171791,0.07947191960715233,-0.06205809345398675
ANGPTL4,0.02256592699756288,-0.035905031730313015,-0.08142476372284249,-0.008902490716706665,-0.018577518303052033,-0.020843737765605892
BMP8B,0.08038520306283412,-0.009508761753744356,0.11712347166398054,0.0867239161846977,-0.005865271378792146,-0.049552116105669175
TNFSF4,-0.024207741263400268,-0.012869881096603083,0.10550709698116516,-0.0112275233187808,0.003955286693162621,-0.01888356094344714
RBP4,0.008264041218394367,0.0121196096117483,0.045339359871108216,0.003733722098794998,0.08606974569097732,0.003085492133440468
DKK3,-0.09093577672723666,-0.016373100055847724,-0.09103263969820902,0.039999340953062505,-0.010065727000986858,-0.09119119594044178
COL11A1,0.1220890444602851,-0.04200292349768549,-0.037340524974501466,-0.04478227222861626,-0.047934937130414364,0.03705230089668688
COL5A1,0.05482029836691927,-0.020535262216439053,0.10703361480645279,-0.006071058332858809,-0.028506441187163233,-0.013186589656290156
KISS1,,,,,-0.022510825921372945,
MEGF10,-0.04109306858825783,-0.019184372170885842,0.1919794142116418,-0.06015572593217904,-0.05023361442935099,-0.03986053597644954
CEACAM1,-0.016745996129576765,,,-0.029370487766021712,0.06723586266738915,-0.020640259051550803
EFEMP2,-0.0027618729598084418,-0.009777218510346958,-0.13089236454923311,0.009193727241249422,0.01093461472323561,0.04880187580808013
IGF1,-0.02397047086679856,-0.018048656616245207,-0.026492133902216875,-0.03152099563061636,0.018293612325449574,-0.07385625734418821
COL6A3,0.08412174148681006,-0.030673623252416665,0.1760299577859488,-0.055955141730855806,-0.06425336161685238,-0.03769129559777331
RLN2,0.032881409153621186,-0.03299003609719349,,,0.08280722039256147,0.07123250420630006
WIF1,-0.01039990465138052,-0.018432896173911136,,,-0.020925994807743167,
PLAU,-0.01917677085154927,0.0266864269601204,-0.048822008352941204,0.0026382542028768503,-0.013363002537616383,-0.052527381651561095
CXCL12,-0.01742382272709114,-0.03554383523147769,0.1274461362177822,0.058727031931364686,0.026994260518790024,-0.07352264652636122
MMP9,0.11031002985987315,,-0.005392708656625343,0.012295722372782696,-0.03936106673360506,-0.06755924165444119
TNFSF14,-0.026873552149433776,0.01598062038773617,,-0.03390660684726526,-0.024713274651488003,-0.03558062520732069
HBEGF,0.03077141822306541,-0.01438524177224434,0.03768315948724039,0.024845162175658842,0.06561761143825531,-0.001273996168894681
NUCB2,0.033113629963842796,0.03617963460603578,0.052240659005767055,-0.08306576759036019,-0.038938725965178965,-0.02783058956860308
VCAN,-0.012532071846124194,0.006465565108906895,0.1202820621227493,-0.009080830063105179,0.01118565881738291,0.015908153894996793
VEGFC,-0.024793156636533472,-0.01369432619771772,0.04753979062500744,0.0841016672064678,-0.038419605984255666,-0.019676378280244374
LMAN1,0.045636260057683536,-0.058363672677743644,0.15214511001361497,0.038002317171824215,-0.029325209846436193,0.05067876813802135
IRAK4,0.02155185177273617,-0.017922949682055236,0.07420239895997709,0.01044462020079992,-0.012666407638209509,0.03952004612931198
MICB,-0.03613616532268596,-0.019053852806972763,0.08488267621323156,0.023371321050849193,0.10455273408883108,-0.04259369302238789
COL1A2,0.016217982293602298,-0.00043913029172550734,0.16177528387195975,0.0805791192192731,-0.047040361254416914,0.010572439210129073
ICOSLG,0.0004172310199180055,0.028357818242980535,-0.003643777699789997,0.001785779280726837,0.02033433556836253,-0.008958798353166264
GNAS,-0.01748294742616339,0.026505264032199913,0.12536169063494376,-0.012040130204408063,0.10579671972792293,0.01919775642669104
C4B,-0.01246046872443467,,-0.029081284444643352,,-0.004017147999502073,-0.016909898079765832
COL2A1,,,,,0.02776215724995514,-0.021909065537929602
GSTM2,0.011327538167888267,-0.028951996105834456,0.017904325825820036,-0.05454955838810384,0.08577473379285067,-0.046537557258227565
NLGN1,-0.017552688189058436,-0.03847185704483238,0.034446165246580826,0.0019052147510836865,0.010473055361765363,0.09174196436497113
SCGB3A2,,,,,0.0332224044521202,0.009274090558909081
LEFTY2,-0.023426542719447663,-0.01074076510015853,-0.03366830217042772,-0.02771700317453276,0.018193473909203825,-0.04860649938776978
ACE,-0.03200963584486762,0.005907633448697758,-0.009063146253617387,0.053724897235091953,-0.014634707440381096,-0.03005476660375173
RPH3A,-0.013057504564181912,-0.0065588516997982845,,0.10300004530220047,0.0017992515473693562,0.0030921325150511025
NCAM1,-0.038593319148193424,-0.04768648014007491,0.2645010955906281,-0.01453667218000797,0.0979350506105887,0.05412077560099019
GIP,,,-0.03661958469750817,,,
EFNB2,-0.02730829432934565,-0.03516697155180944,-0.025011621025006533,0.00875336653878823,0.05138860694547088,0.04249511035283286
ICAM5,-0.010981780284844804,0.048479742931322525,0.09597419451629322,,-0.006824432498219094,0.009954667796330946
CCL5,0.03862653422953161,-0.010801623274369504,-0.05247510917976337,-0.0199272094833025,0.07191462495363955,-0.04526801966746951
PSPN,-0.03527658128668429,-0.04793528373467148,-0.009820919977400424,-0.03908125651335563,0.025325063209440075,0.03374987108988168
