,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk
DCN,-0.04623407991375862,-0.0241026980361296,0.059820159921065666,0.01619601816471758,0.029880620374243123,-0.05130899391267967,-0.0234096775848714,-0.012757645034814863,-0.03988236035047639,0.021069209118474097,0.06620904254203933,-0.03762025220306414,0.04594072464643202,0.0569674537985039,-0.05945525511564282,0.0005803903971169194,0.2018993122798786,0.054224240585910966,-0.1476722091590392,-0.08275019416976673
RARRES2,0.021390390715647935,-0.013333393208662909,0.002123826242726751,0.03563228267716016,0.037499689970730256,0.1075042029671386,0.0044162868052219926,0.10193582783945819,-0.0009429109949679929,0.04093255692107592,0.06311214599380621,-0.023405766342935293,-0.010268829009448066,-0.04602826116293645,0.020488650045452902,-0.046718339704650655,0.015935773290805106,0.011808417774486279,0.07052623219652136,0.12068714629779594
SEMA4A,0.02678751476636867,0.002707839582346271,0.03313626858414322,0.09954663704970382,-0.016365308388720377,0.001764011209458983,0.04462018832919793,-0.056314168509286736,0.04853090420250672,-0.0008250004958666836,0.048851918132394596,0.07553320051496631,-0.055645302386860315,-0.02013101978655687,0.01844138030903984,0.08562541619920337,0.06869379457227008,-0.042226884765018805,0.0482416581451496,-0.04667957753279068
GDF11,0.03531670293684629,-0.05792292925555156,-0.007981808214910872,0.0933660719667075,-0.010848580189800575,-0.008723523557298546,-0.019694437355576376,0.03991036047029722,0.008296314610089157,0.006614526076435867,-0.04074256005897345,-0.006759882054677944,0.006376614814320157,-0.009172253606612342,0.011457479489204031,0.011217335869635777,0.014059533192273346,0.02791120600840097,0.09307974112687689,0.03088947988153671
GPC3,-0.006048065931521113,-0.010939045912896296,-0.027449359955592313,-0.011836604311473433,0.017071702192134025,-0.036329044975265234,-0.04812151036649712,-0.03818049123781346,0.013047522213954638,0.04422267532536009,-0.01796781662518343,-0.0208072092900712,,,0.014169899274108742,0.026686162503018633,0.11780037657171796,,0.05956239834885953,0.09949629256563298
OSTN,,,,-0.024599341154297676,0.011120372571727289,0.04362308554673306,,-0.0292754218121098,0.025488487853913246,-0.001534488875709644,,,,,,,-0.03916497433489755,,,0.10149059252361667
GRN,-0.01915321048183442,0.030099157382632507,-0.015391694453370276,0.014630710396743398,-0.008303975860218457,0.009041897904030032,-0.025247911092458514,0.052612615111580954,-0.0016064807719743405,-0.00032914419387599525,-0.016713970312489793,-0.0035888003500737977,0.0748907683243956,-0.06220061007269396,-0.04486421172775973,-0.033578769616899845,0.14397154568122922,-0.014618920986418819,-0.13270362622567333,-0.044287789269651094
CALM1,0.05305499701731461,-0.024769254759673887,0.026082884876987438,0.02430236919461231,0.034442941474858095,-0.11291538373536854,0.10422020280640831,-0.07001932751822483,0.04250694501074085,0.021669024125496168,0.06457560598646168,-0.001592332518516309,-0.0180030633272577,0.028006212192041403,0.0562976202878364,0.01619317235814232,-0.07248142711245802,0.0048184120449416045,0.12858961303127156,-0.046353264426853676
ANGPTL4,0.0007650993978589152,0.04416511299974261,0.004290058221722901,-0.12606438325260105,-0.05741570360973036,0.06870595201643656,0.04635442116814392,-0.03731962748120615,-0.030438564046444537,-0.0009019005764441283,0.009869306301525098,-0.02773037817476642,0.0780684695308265,-0.01834201758240455,-0.0014107413183713868,-0.12566707733589677,0.0020715025152675645,-0.007558611502023801,-0.10632975241424962,0.03654222683865777
BMP8B,0.06393519515017594,0.025800565908888323,-0.019044256813681593,-0.01220166723177264,0.03346618600428131,0.05232492686132187,-0.06192493410425177,-0.04356581361130014,-0.034115436552045415,0.025229944157102537,0.06558948335292343,-0.02096640498746984,-0.023080749725753948,-0.033259161832780694,0.0062778887194745135,-0.006087774185857817,0.027949302238743118,0.03072044074517828,-0.08617826775062652,0.04799100058157599
