,UKF248,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,0.11355229992826209,0.011397959003041703,
BMP1,0.059450589377374095,-0.02009743014075133,0.03327022183755025,0.0175776464258605,0.03966535589320617,0.014874404839771153,0.01224011828755915
NDP,-0.050913127085743595,-0.022787844224483152,0.05494123628730286,0.06545536966919788,-0.034643656499451815,0.039142873381127964,-0.018171850410348883
TNFSF18,-0.03733446043099185,,,,0.016221221931597304,-0.020288540008212886,0.020310347845686708
RTN4,-0.01189118292773419,0.07578715022629032,-0.09732376039610596,0.005385761462524592,-0.04738223925219958,0.05432726989559621,-0.11579111870119077
HEBP1,0.04574852681444408,0.06859460251823535,0.09667642116628566,0.025678803463636414,-0.017523510708095165,-0.008619321063091968,0.03438017808152964
WNT7B,0.014803459297680122,-0.028337142907708043,-0.024369214833633416,0.0472889597665678,-0.0020583955234375734,0.0617640351771066,-0.0033829306588265963
PTMA,-0.028255752896039894,0.1142478852825839,-0.01861892673200506,-0.03060097206886671,0.041744892184852486,-0.022809620332856405,0.004816223349590044
FASLG,,,,,,0.019164089173922975,
CEACAM1,-0.023762360887414173,,0.02254339381863618,-0.020435812003819227,-0.022750175526997048,0.029355627126286473,
PDAP1,0.037778407608595785,0.011919926668941027,0.012229656103592886,-0.01008925074536041,-0.04951515185167674,0.016519819413132887,0.002284207676626708
QDPR,0.006324280156119089,0.11758669347490798,0.039324040496094684,-0.05230779590790583,0.016808856262123754,0.023074628079598918,-0.0421932832311917
POMC,-0.017808764640868502,-0.0521896444860541,0.03625533889057618,0.016148499231402512,0.09778668145469208,0.013939930037969044,0.01708725413165328
CCL18,-0.02965318122394122,0.10368809526192742,0.04733762302133184,0.0020605386959528173,,,
CCL17,,,-0.01442616164399801,0.013720625368680836,-0.020241517087852597,-0.01878245780723391,
VEGFD,-0.029653190640215127,-0.04331390960988087,,0.0002991064071029061,-0.021348552997223783,,
TNFSF13,-0.02237724922241227,,0.004450458630000512,0.020117735013625522,0.07094629045415618,-0.030604447288833655,0.05266495052508742
WNT5A,0.03884591942064674,0.02974901462028712,0.023401687863818705,0.0414210322982019,-0.01751400380566203,0.017232392481247295,0.01890327881497321
CXCL8,-0.016214152591101174,-0.0033125688902076226,-0.042026854954005086,-0.036055946482037575,0.006728581319067372,0.013765447033622275,0.01904092281686346
GRN,0.04132754580541292,-0.07100447675025223,0.016557029532650282,0.06293541247732128,-0.010833737428453161,-0.0030006477870148955,-0.09417588294081161
MIA,-0.04093479111965171,0.02734927265185324,0.08205516112600328,0.038022007435617906,0.044444128665288817,0.10965139602336761,0.010537598860398322
COL4A4,-0.016269436346122355,,0.011236918603957348,0.005711515845064023,-0.031180420850278792,-0.01977884048508418,0.008420006817578662
TAC1,-0.0014344394999297359,,,,,0.043848391251540546,-0.1180906959834482
RARRES2,-0.01157708139445045,-0.129923714627974,-0.017973158954303185,0.03594826297243466,-0.11054435217612403,0.0126132218342024,0.00856600507708744
FGF7,,0.07232743075375091,-0.024137870997927555,-0.0023420481097246424,-0.029681591653556057,0.06823274678371122,0.04061161237911763
EFNA2,,,,0.022654346893719996,,,
