,MGH258,ZH8811Abulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.02900362473727898,,
BMP1,0.006981406490261444,0.010581560309743589,-0.047005081802005105,0.054617342146423616,0.02659171099324876,-0.05459620542465555,-0.06069546501742467
NDP,0.018874079818105696,0.048942552805113684,0.010100741491759014,-0.02174214886522217,0.0008025035973350669,0.03781828221350284,-0.03789602298534493
TNFSF18,-0.022403035978319566,,,-0.042746911423240434,-0.03969678340627858,-0.024308728173287022,
RTN4,0.08832482525508847,-0.08642432054399839,0.06656584866246236,0.03346919596233212,0.006428954014524687,0.09943740959174172,0.044078432601824535
HEBP1,-0.04155900041964792,0.008092394897008104,-0.011603695280002328,0.015895694210248848,0.04104483087758424,-0.003624848994130849,-0.04663482670272378
WNT7B,0.029460895562539686,-0.00303155575940037,0.06277744342780495,-0.04274686709790443,-0.03277690675699179,0.02341313476732998,0.014474875972627352
PTMA,-0.049196464655709725,-0.05490184100287097,-0.059581664815161896,0.10507472171523428,0.01071497058322041,-0.014263826892487471,-0.09493894994009895
FASLG,-0.019736378593722445,,,,0.1764344866928144,,
CEACAM1,-0.027404134403995677,-0.01821210510840745,-0.021258112020094137,,-0.03499925671564099,,
PDAP1,-0.01451560664326727,-0.05527789221067472,0.03448241047759856,-0.05329137498402101,0.06175136561688556,-0.001140262505539732,-0.02598585677867879
QDPR,0.007026545821168967,0.02082098446596331,-0.004998184440274474,0.0691114967782497,-0.029818280648016903,0.13789025745437652,0.014895248240083177
POMC,-0.04635302763558149,-0.004542797617889778,0.05238987642805396,,-0.0160407346549234,0.08283782085312622,0.013274313433531783
CCL18,,-0.03332792894788361,-0.022576613269244063,,,,
CCL17,,-0.012920607083749761,,,0.03251865208851678,,
TNFSF13,,-0.024792704288757694,-0.023871435026003467,,-0.013984012357009737,-0.026444428863177882,
WNT5A,0.002296692718894671,0.03430920523859659,0.009958246527857418,-0.031195541300379097,0.04539151410259773,-0.09134226531854218,-0.08385304541238577
CXCL8,,0.013677093319149009,0.03963409789609496,0.0797720286719855,0.05652596114959635,-0.037210554966004075,0.017076274964515196
GRN,-0.013635422558583922,-0.03872878780170706,-0.05671974031970548,-0.1211187268571017,0.0813384946394484,0.06857007608565328,-0.016349988143929267
MIA,-0.02583321727402917,0.07009562224147593,-0.0782111030386536,,0.033187029945359096,-0.0007751497593754399,
COL4A4,0.019856161623879362,0.018480341683400073,-0.00569510342175011,,0.0059587131725126995,-0.029555653413092572,
TAC1,-0.019736367855970924,,0.03694783722863344,-0.028135260342934686,0.08017768679485444,0.04817287003642665,0.126599138858923
RARRES2,-0.0036678204831382473,0.03372489892699691,-0.024324173106106073,-0.0398032136828115,0.07290532634758302,-0.05520575366125183,-0.044603377796022824
FGF7,0.018598856254642263,-0.04203463680751932,0.03877438597353829,-0.13493641394999215,-0.003843517922486157,0.006575933336530573,0.022288798743511234
HBEGF,0.0875477998957959,-0.01750027459484863,-0.03386623063140281,0.05530798958993284,-0.019263533553617408,-0.02241015965268558,0.04618175383097934
CSF3,,0.018490868011443493,0.019553186397011854,0.0968843600656134,-0.024004915843736752,-0.014335314919165183,
PI3,,0.028937664954699148,-0.05683249690756436,,0.0409259808665555,-0.026161067383510737,
PCSK1N,0.01831418237265851,-0.029301246968152193,0.14839678365111778,-0.06392746129623071,0.023357799748373154,0.13712025375002693,0.0068443975741841545
NTS,,-0.030142431340759106,0.003392768219403123,,0.011917326906819228,,
SFRP1,-0.011516155291917986,-0.0011879016993081423,0.0939608237219771,0.02024714472541332,-0.022047699866640073,0.004611583916645689,-0.009822110280134293
CXCL13,,-0.029022332605726533,-0.04151471586742266,,,-0.025217536545531955,
MICA,-0.02857216615911637,-0.023009401673091612,-0.004273920832206759,-0.06391184659728587,0.04982861165317961,0.00427165292958803,-0.026303937876968355
TG,-0.02285712612550989,-0.017168256477395994,0.03539191967038413,,0.016169895993689367,-0.027789855772390328,
ADA,0.04767142945206257,0.019370480325615395,-0.004730844245450898,0.03812261319246558,0.09965523804649737,0.04205882510952066,-0.05596464844499949
LAMC3,-0.012407877209824232,-0.007960393648425719,0.024864517141219646,-0.07551975791389469,0.10921765450256335,-0.01118858875470406,-0.07173540795157897
CCL7,,-0.019365011810573263,,,0.07914201568225628,-0.03113727794776764,
NGF,,-0.022365038354800457,-0.02848164888858301,,0.037453356748268156,-0.035233566813799716,
TNFSF15,,-0.018878712012027392,0.02213659104859276,,0.04567585604155691,-0.034407806114705446,
HMGB1,0.0013081588723773052,-0.023709141668021357,0.010865038852170472,0.053369846399835455,-0.09137777555467891,-0.047252025141664745,-0.11590913943330387
ITGB3BP,0.01997382330687906,0.04611608914844489,-0.0315874973755938,0.07906076602967528,0.08471157042962003,-0.0572109340962036,0.18281186653339979
AANAT,,-0.016988579485021155,,,-0.026614853750063037,-0.01898300631865509,
RELN,-0.01894916354965711,,-0.022859742568589095,-0.0696557567872584,,0.0068421007843409935,0.0669747573547655
IL15,-0.05281584739636752,0.06594787291065415,-0.013180431817762394,0.011633338658182401,0.02494356460888572,-0.03201703693657265,
UTS2,,-0.014467018784656673,,,,,
BSG,0.015316663669956,0.09518778721034765,-0.04938532484170682,-0.01019132138509254,0.0743649695473727,-0.09778131501545642,0.04561942758295634
ADAMTS3,-0.0012239204265923392,-0.005499585807281001,0.08512681016676146,-0.046718006090803614,0.0023702222721465873,-0.046721444445647804,
CD34,0.0413361836730491,-0.038156224460454594,-0.04651205082916645,-0.08922990152997418,0.015895413195606754,-0.07959405218017367,-0.018918857895758156
PLAT,0.036055466403858094,0.030166630614267578,0.0008808733884333927,-0.05506700057294457,0.03595179889927736,-0.004840455716088317,0.07159575180021797
NTF3,,-0.0290440348032866,0.06207818432473339,,,,
LTA,,,,,-0.03581958219286147,,
CKLF,0.057462048932226915,-0.005273879941598541,0.03737204692527455,-0.023070457409919056,0.023822667503357917,0.03658697158901864,0.011054477648431859
CD24,-0.005027419672244292,-0.0434723537001806,0.09021824501503531,0.03334234003315555,-0.004794752379615413,0.05397346964759992,-0.011853903673515357
HSP90AA1,0.06135570310597859,-0.014069351991168703,0.03472566603980581,-0.07326980610375997,-0.06023851898939714,0.07599493531137956,-0.0006966926421794771
BMP4,-0.023523301075239682,0.0787591053718381,-0.019933998123571578,,0.04680830149969257,0.02563156524428232,
