,UKF243,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.023564787456155093,,,,,,,-0.022429286941823688,0.03840141002105982,
BMP1,-0.037218770636633175,-0.023939706403812395,0.017780509189346653,0.11799169313529662,-0.021829754659370548,0.05089184618771221,-0.06654921296700686,0.07535552889773518,0.061122649954418226,0.02638695929167805,0.027902737524279343,-0.06881528478972176,0.0061994242884076175
NDP,0.09836039561636008,-0.020488193221910967,-0.016886394959642354,0.028089186365706263,-0.02663023699897465,0.03025339213276755,0.10277395008271,0.049112117216366005,0.025021635917688842,0.059557461489358476,-0.06570150276484216,0.1644214059758708,0.03917451678073008
TNFSF18,0.01979186235917005,,,0.011430801683943727,0.001116903004181306,,,0.02348562757971072,,,-0.023130927722938996,-0.01502720268491843,-0.03834991297023442
RTN4,-0.07268580131520022,-0.037880306443391486,-0.011836712546200823,-0.17130854576139232,-0.01741341176456202,-0.07792291985155544,-0.14437087375692742,0.039531130284508414,-0.018667405426985213,-0.05429878829422024,0.015567499049889548,0.02404088999351376,-0.14036426842408095
HEBP1,-0.006764424985222783,0.06832284281051342,0.029854040877578543,0.09350383265418923,-0.012247663106904415,0.020092775166489843,-0.013794119689584196,0.08494440471355452,-0.013245089901752957,0.03397468380260227,0.03769594142668999,0.01610105850727901,0.00842787472857479
WNT7B,-0.06062844002696783,0.006665524780230754,-0.011484800257871415,-0.03978343217352595,-0.038377534124158466,-0.04203736379898295,-0.016995145312170067,,-0.03925396989872603,0.012134291585995226,0.060406221045290684,-0.06131531255753461,0.0062304114602314345
PTMA,-0.06111636042181214,-0.0027157046654261805,0.04139527738860217,-0.03581921028343578,-0.007262708255994978,0.005142525814639493,0.0026204851467731736,-0.08609843696490155,-0.03247623347533949,-0.07426971122929578,0.009468866526362146,-0.11332028049942681,-0.03805297020200691
FASLG,,,,,,,,,,,,-0.03471520013587744,
CEACAM1,,-0.027958567107661952,0.06584244938566479,0.032047034011764605,0.041907201820171665,,-0.044493083946899416,0.018524945223610555,0.08792169341135733,0.02884339539615304,-0.03323672823632348,0.016145462666369507,
PDAP1,0.034081176726109545,0.0033479523411999203,0.023149574789847627,0.1468248849538522,0.04112888499953518,0.02984869833684792,-0.0008329956854734638,-0.04410010484945448,0.020900600757568333,-0.017922833675495402,0.0456788937334744,-0.012028843977454191,0.05575182609101578
QDPR,0.08188700486024514,-0.050304372830468944,-0.022531166772108983,-0.12671111367868035,-0.0015636720115375304,-0.0022839283819874063,0.0678166253989269,-0.025661320352998746,-0.03255365925027636,0.004552603936763154,-0.009275928161166928,0.048614053536376226,-0.053256594255892416
