,MGH258,UKF243,UKF248,UKF260,UKF269,UKF296,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,,0.021621871353768567,,,,,0.1952516379812051
BMP1,0.022169818113028563,0.06224591845029468,0.023310601983446495,0.09101997173722026,0.039091518087182656,0.0473289519735864,0.050758519021327636,0.012369441469631178,-0.029536925404942398,-0.021693208272264026
NDP,0.05228400573058573,0.05323743267909093,-0.029157990003655977,-0.006085179554496769,0.04714289198550667,0.03648580421422028,0.03207533817030097,0.0392195539829512,0.07873745796573602,0.08355043485036336
TNFSF18,0.06566496162948234,0.008323204021084867,-0.017249992397839937,,-0.02797082325938459,,,,,-0.00926257943803362
IL36G,,,,,,,-0.021346941985848928,,,
RTN4,0.023627074679684317,-0.021244868013744058,0.04049850884819108,-0.001685636667953798,-0.015309991010244104,-0.02429476872396746,-0.014093017214991859,-0.033083687868156006,-0.0321202605100019,-0.030325882565430312
HEBP1,0.030633643198306287,0.0032906939005838743,-0.025523127730794085,-0.013464827748398469,0.014751949696430811,-0.016086587634504032,0.026379595640650663,0.03362208751995249,-0.00044782459966055357,0.07452399901544576
WNT7B,-0.019083064532110252,-0.06095356417211729,0.007349771598273274,0.05476098343770927,0.04887329693307193,-0.010917752265459726,-0.023462749293917153,0.05135075020690224,0.09093757501403395,-0.029800796154005455
PTMA,0.03824946346803135,-0.0947437703998971,0.020671615914901117,0.012423509171482904,-0.04457039438725081,0.053238049889360324,0.08124499719718009,-0.05816371869685986,-0.013518252126190308,-0.0771467953245179
FASLG,-0.019083069926843707,,,,,,,,,-0.024668863593622133
CEACAM1,-0.026497009602481452,,-0.018549992315657005,0.0058008997221056504,-0.03680801031037758,,,-0.022267307316371485,-0.02240930302842929,0.16570213540459924
PDAP1,0.025971431792241068,-0.000949368321802825,-0.004738704162860942,0.003354383408845699,0.04429975200987845,0.04456385989637626,-0.0009610555326448227,-0.060982391711914455,-0.0023796388003290646,0.06384700082938254
