,MGH258,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.02542375410571427,,,,,,,,,0.07325046711637924,,0.06830463016991327,
BMP1,0.030698352198520053,-0.014487358258528957,0.059801392862499726,-0.01703079611596308,-0.0205848509819095,0.05873813547605296,-0.026800255070492558,0.03433708051292158,0.02034966935111618,0.04481033428121506,0.0888047781475081,0.042365922666532704,0.0025562339785264094,-0.02023668128670371,-0.053357691152222116,0.005784568192401917,0.09679764568325025,0.07383258493346974
NDP,-0.05165417672912256,-0.005369345702086883,0.011807425986290216,-0.005208759625562006,0.03017375921492922,-0.02761997738681618,-0.010934100248262833,0.013267872413099333,0.01831908910531628,0.024696515027176513,0.15472751130406592,0.002263032187562879,0.0300401296825191,0.13021078786081333,0.10415647153474639,0.04565055141736233,0.0857555964790318,0.008554925697857287
TNFSF18,0.04953729126378403,-0.022510195805830083,,,,-0.003001174026737564,-0.021196036382981273,,,-0.03189161304360497,,,,,-0.021969396260965144,,0.0067516979663689615,0.04090032984712963
IL36G,,,,,,,,,-0.015082912256850173,,,,,,,,,
RTN4,-0.012069476930404804,0.056461510306800175,-0.004091963452378729,0.006543553917096066,0.027390460441964477,-0.12829226225021897,-0.038420021466793915,-0.044982774563545776,-0.03542906043388719,0.12164477152397069,-0.022651163526415947,0.002802765526660247,0.0014139123087317834,-0.032072897726596855,0.012627486227602758,-0.010914044063419512,0.0066724314347829826,-0.062354190798318644
HEBP1,-0.021680226771984303,0.04183187866141076,0.007437535565225545,0.05683298285524203,0.0785351079666437,-0.012378923683492306,-0.03895581735453461,0.0588136702708352,0.0042309700911868095,-0.05596480075463465,-0.029869718655801968,0.020203825219861388,-0.004094305925659575,0.08775017999865839,0.04733454233836102,-0.012525410179398306,0.03172264027361984,0.0002419716158519004
WNT7B,-0.017471544059636582,-0.014873408679424613,0.018366231019498237,0.026553335652504225,0.020652848245690823,-0.04204940440063878,-0.02122111289603162,,0.023851809975687425,0.007801282659366472,0.04023436369986695,-0.02950957449211772,-0.041128618888100106,-0.018376494615229555,0.043630807422764574,-0.03163839803831603,0.02295350112996813,0.15257656408769876
PTMA,-0.019099671981041302,0.1007688305385485,-0.02086894446832186,-0.042398174608185554,0.022913943961131646,-0.0024192498180089653,-0.052496329350843515,0.07901886536833708,0.012998430532375174,0.028176389394876503,0.002529441979822195,-0.02806434777752465,0.03831598062770611,-0.039492390130639994,0.027887968434760536,-0.011664216368466596,-0.029309360301657764,0.04756662288100319
FASLG,0.08794568465814412,,,,,,,,,,,,,,,,-0.02046895956007485,
CEACAM1,-0.024259398690361967,-0.011157540736836979,,-0.026028236797052635,-0.029317182473562117,0.05711036641922883,-0.03333631561310473,,,,0.09270506346677682,0.08098846710146912,-0.0021768336040218364,0.017037312326321004,0.0308407954959462,-0.02099886491741404,0.0227892210073645,
PDAP1,0.011653281422366497,0.05624449686754888,0.0065048798806022394,-0.03177270966427121,-0.050171309180910104,0.03477556171651645,0.03641445376769101,0.0735638069317857,-0.007371259905673421,-0.06575138254592001,0.06654227975545439,0.0917801603071119,-0.04910620998784865,-0.05510958236120997,-0.0022285304898077493,0.012707293132710646,-0.019446611832366907,-0.0030388074396651725
QDPR,-0.036478553234205346,-0.0129465278874754,0.029102318233575803,0.05151790642878725,0.08349095328849676,-0.07289965707510716,0.022186499305305637,0.1071725786631783,0.008510064765112485,0.07412180042912123,0.04285944417075016,-0.028222481238966687,-0.006203109519715864,0.09178189148222095,-0.012547832866424217,0.013047190222957054,0.03581323354716491,-0.05165512816549578
POMC,-0.03845167736396076,0.09498515792179278,,0.006249912460766993,-0.006620641108254916,-0.04791268545205681,-0.0016416851414495723,0.058095457000213235,0.00997785965350027,-0.08594685895716347,-0.04050370488677857,-0.02019097898855448,0.007414334405034752,0.058840558812845105,0.027835632988230954,-0.0343513844757381,0.08493071909448717,0.0008256590795465312
CCL18,,-0.03999171198181405,,,,,,0.0808571391106308,,,0.011704373253416844,-0.01876387840112489,0.07352557372104049,0.03986604405317115,,-0.01904587053263951,,
CCL17,,,,-0.03607116863235579,,,-0.005653351958914118,,-0.01377866855036642,,,,-0.02245416029140675,-0.04775562203708944,0.04187198572106932,,-0.029816703212720966,
