,MGH258,UKF248,UKF251,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,0.05398430433699516,,,,,,,,0.036359188078938086,,0.0416462921965441,,
BMP1,-0.018043453959572908,0.05922077540210375,-0.04537011026900323,-0.03811447332440986,-0.09415029170515034,-0.012962038755609076,0.005111429410211774,0.05841217356622871,-0.02332860682569982,-0.06969249232776048,0.030708678376337267,0.04426995458194651,-0.05578854932743767,0.15064566910239163,0.10656329645435378,-0.009847938566758599,0.130270418611939
NDP,0.03207340386056121,0.023724093827403182,0.03727134247403303,-0.0011613500905876405,0.02730484936311452,-0.006097550758293813,-0.020479882487380814,-0.0509825694923802,0.03177100762001603,0.05466877148286089,0.049340954559671954,0.09856914141203356,-0.023161444066969464,0.06043301954755443,0.004474339459592338,0.005734670237490811,-0.06250929171642147
TNFSF18,-0.026728409372583577,-0.02914144780031502,0.01401437543302661,0.02763216196511644,0.007784500976573458,0.018695270403556404,,,,0.11266631130183336,,,-0.043923549443936595,-0.03819607284664187,0.06969160232667858,-0.032568319030838344,
IL36G,,,,,,,,,-0.02263373057187003,,,,,,,,
RTN4,0.025701262035908962,2.906105373225936e-07,-0.011982271853313844,0.09626210859440978,0.08727385448164804,0.02451593998775944,0.03509785735626159,-0.05754655424591716,0.11383251120922291,0.005115622766147336,0.034669884343973015,-0.0018369067058445065,-0.0068089549785507195,0.08800113912525498,-0.03923120435417733,0.05499801612929713,0.046746786846906786
HEBP1,0.025418143856195896,0.011587556211074388,0.014388578631903603,-0.022711484186531693,-0.026511528050286677,-0.01839252181893422,0.013365907168801002,0.06261946624207401,0.040804560567317086,0.005918232865957769,0.1213435689494465,0.0008228792360750175,-0.03497556806306424,-0.0755471203493802,-0.00725454594180732,-0.06304426565049932,0.08874051316975524
WNT7B,0.0912737642941094,0.00799171635865973,-0.01862856289940668,0.040492637058845364,0.0799298407054741,-0.045525827190468,-0.014776919391180513,,0.04691241125934088,0.03869465196732614,-0.02843237090537057,-0.031324246823092546,-0.06032784134546703,0.17715596747543458,0.09248906456893354,0.05547636198173463,-0.022817123503229068
PTMA,0.013040675678197762,-0.015123846992626304,0.004990848754706441,-0.09328206631489414,0.1858490685434607,0.08832545548782406,0.001541213211027796,0.1389549435504293,-0.012848576720807574,0.0741082847453712,-0.07962227931994063,-0.02545704943157411,0.10500925717756164,0.018487379856819263,0.05436589661305681,-0.050505688147657254,-0.017333656714798203
FASLG,-0.00690575845800523,,,,,,,,,,,,,,-0.021698585110087786,,
CEACAM1,-0.0174802478111488,-0.018547732883210464,0.05500025290760533,,-0.04779611039656281,0.12837187006529485,,,,,-0.04892846237620605,0.038850521186707246,-0.04460493665678813,,-0.03019039423862834,,
PDAP1,-0.012655018114040946,0.03670941139797105,-0.009710724508730307,-0.0436610645896813,-0.07794399713016507,-0.002152302904386764,-0.016655273849104348,0.010667269071410605,-0.06104665978698484,0.0027869787105450593,0.040822165382794026,0.012160626401911918,0.046160546338217055,-0.06886512787696605,-0.029088509188586652,-0.04645064371454261,-0.013232991499514134
QDPR,0.11522728089933383,-0.026042929933345192,0.019115209779300184,0.04955754639821901,0.10194537474417112,0.012678333384126519,0.041981773518519463,0.13740927854447044,0.0452976763234204,-0.05544632229248578,0.003485997139437401,-0.031619145567149426,0.07791285285538065,0.04478827691647637,-0.041869742033328786,0.071542720139005,0.006218835855654129
POMC,0.07065144959036121,0.0034846919513378104,-0.02540224706110497,0.04932213798961279,0.053982911456500714,-0.01842884537672138,-0.008668075705164398,-0.005250649649768941,0.049858690697201655,-0.011128098069513037,0.009611850890000611,0.0852550484816938,-0.0076227613494986,,-0.004265819594130426,0.0702211055834687,0.03947798612406393
CCL18,,-0.02314581817374901,,,,,,0.10839149357498568,,,-0.034691084285820434,0.09200413692645447,,,,,
CCL17,,,,,,-0.01980862168188727,-0.018289683822642896,,0.04356329362211065,,,-0.021906266188851577,0.0011776936797507145,,-0.019667330225483864,,
VEGFD,,-0.023145825523630363,-0.020476583773591323,,0.007630637257448225,-0.021104410965777826,-0.013415704268838079,-0.040024164298842764,0.008371287757277489,,,-0.01517513924641527,-0.030530176656476535,,,,
TNFSF13,,0.06123706739889938,,-0.027129423822103264,,,,,,,,-0.023811362395868643,0.01790125811125441,,0.15143713494821182,-0.03542968557074572,
WNT5A,-0.06570470331732214,0.01753713696649101,-0.01930090825140955,-0.02038350997057795,-0.08355619838170222,0.005713794029514502,-0.015082822659081521,-0.0053435356407752444,-0.032329178063509746,-0.013273361642050209,0.04990221078943958,0.05522045571995236,-0.0015154481651485012,-0.06022490538756992,0.004021782161098987,-0.024574703938666554,0.053609269897759534
CXCL8,,-0.011414132538570878,-0.01917305935976401,0.03096296136045607,-0.07550298241303802,0.0025814212385059103,-0.012493287149356736,0.016312523861033348,-0.017131531113322895,,-0.06107911576166087,-0.03921187686634518,0.03844486692763039,0.02288756616957816,-0.0008739528829372297,-0.023340735973456133,0.04974121874091026
GRN,0.010463602578416277,0.10196459480813984,0.022606384036354756,-0.008380804269989831,-0.05296718623923494,0.013256938175778051,0.03479400603285161,0.05957201864200315,-0.0006530733523504255,-0.01654578312219668,-0.005746545241142958,0.0315286065579841,-0.04052295084006129,0.03705688772998182,0.09635385948355989,0.038346481328405534,0.0683699761200434
MIA,-0.04537271740374924,-0.004204421038351963,-0.0008684069421197499,-0.0404758381575038,-0.0409834319732011,-0.031559544701509276,-0.015257538284791629,,0.04706438370977886,0.012732371854603786,0.11778197490794332,0.035962724450292846,-0.07564988932372503,,-0.000627533462461221,0.008782648592906403,
COL4A4,0.020588819289868103,0.04662424133258539,0.0574037849670992,-0.009792794135259832,0.008526078055370676,-0.007403429418235036,-0.02563145092668188,,-0.02943939534996492,,0.023696759786460794,-0.024297770701783093,0.07195045350754921,,0.09343657571156608,-0.03959803831202764,
TAC1,0.00782140025640596,-0.046575333443940055,0.0440757674458735,0.0693202192980601,0.03819607699144909,0.08930781953523712,0.13731216567769844,-0.054181892614698336,0.04656961440899423,,,,,-0.07133040209088423,-0.02585470543971008,-0.04951379335285295,0.01150319806617619
RARRES2,-0.05623281314283861,-0.06221579339500789,-0.07266067206379215,-0.027811252086380845,-0.1113536036934378,0.1053820848302945,-0.0151016069076637,-0.01782513770080463,-0.09855276260647242,0.010903001599891294,-0.0224871291483331,-0.006147459152833688,0.04494519340052053,0.07281587565298835,-0.010935051443496773,-0.04798610809112684,0.02403218069320913
