,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.01379494597863015,,,,,,,,,-0.019995965523980887,,
BMP1,0.04223286348951595,-0.0383516803920971,0.001250883802755556,-0.08237498529937089,-0.016978386260933905,0.011435584707480769,-0.008102879994320803,0.19544211256297825,-0.11082296860126513,0.016588520752667577,-0.007320168757441312,-0.10155688197711626,0.07304032290949462,0.010446817608686416,-0.05303478785345379
NDP,-0.0173589423231368,0.07242657571226227,0.02364497596472946,-0.09476298181119303,0.03843785551055285,0.013972312635145033,0.019842924198333063,0.05932201517311617,-0.037071520304072,0.048807269565471295,0.006514754217686782,0.07391802337207576,-0.030991577511064582,0.0801991109340156,0.0555595651046805
TNFSF18,-0.010575867488946799,,-0.029037873048482498,-0.020485080642638924,-0.015018610338904632,,,,,,,,-0.020454344210828018,-0.03303650594681907,
IL36G,,,,,,,,,-0.024215984398528435,,,,,,
RTN4,0.0375028110449109,0.10740865228841132,0.024193716436426413,0.06610097354090719,0.06000816235953936,0.03194730845394829,0.13032094216648243,-0.01597107930242707,0.19486777901940494,0.014490488037001429,0.00574922403984679,0.053220513095002274,0.011770692356367006,0.10941002123127619,0.02235294871104745
HEBP1,0.04294853116948156,-0.011416742322023117,-0.034364359459247,0.0017799300742418426,-0.009353203960520343,-0.0310776825122912,-0.09361022709174323,0.03638436853593907,-0.069544996049643,-0.021299761446565663,0.023059650006341772,0.05509242727994906,0.009713371634875513,-0.010014723867481519,0.05738946128374424
WNT7B,-0.026660037369260186,0.027333114986182357,0.04012978609464365,0.05879452469203528,-0.00689562337813413,0.012769032299862848,,0.04273109413216225,0.025076954776449896,0.043181366189264304,0.01878976968654213,-0.016330569064842614,-0.03182184354979756,0.06593534908057833,-0.04128118238266222
PTMA,-0.0072203426310988375,-0.10763716514709687,0.015316309168599577,-0.0018709477638665945,0.08565595707441885,0.02541980133680707,-0.2034766946196549,0.216857086089022,-0.21934585198114268,-0.008077150224353312,0.03782229847734271,-0.04670990757969075,0.09266500730988854,-0.11613894669943506,-0.07226889793214268
FASLG,,,,,,,,,,,,,0.1263219460877105,,
CEACAM1,0.005243030019198583,-0.016010993797317557,,-0.026957199382759943,-0.023620696118919513,,,,,0.10054036839416937,0.026465318427306643,-0.044497260303297155,-0.024129533359717945,,
PDAP1,-0.02093818927341046,-0.0954987781393142,-0.03495620752778514,-0.04126791269685103,0.02237324167599698,0.03168456689157379,0.03609146915166612,0.13232812250919873,-0.09496220626297278,-0.06141065965123988,-0.03969902098506359,-0.0005813332723728401,0.05223214755554549,-0.0021800979066722128,0.08756480990547114
QDPR,-0.023045899735276314,0.11561998267297757,-0.014035382803538162,0.0010908172928818926,-0.02343464899419909,0.0007468720245317805,-0.16135427247026335,0.17826078306986093,0.06050725649600088,0.03805548901247376,0.09494676539524556,0.07674834081681782,-0.020713408260753827,0.07965109777885976,-0.04171770861370855
POMC,0.05468907003072875,0.11916526673660034,-0.0011004437488073828,-0.034749324504621294,-0.0014211201813417948,0.012704233928978256,0.008711201185981772,0.10450945904716458,0.04081631442609649,0.08019298599122973,0.042836094858665776,0.03878692120184667,-0.023215260835619332,0.043458556910943726,-0.00503308651076754
CCL18,-0.019721816330907405,,,,,,-0.03347820407438906,0.1442567983279429,,-0.00498603924664744,-0.046583723092489995,-0.08731054625495023,,,
CCL17,,,,,0.010973438605617909,-0.022875583252728152,,,0.025656482212956272,-0.028340352373287202,-0.02433173012760191,,-0.01571902297867983,,
VEGFD,-0.019721822593507802,-0.015318412352288237,,-0.023110234922448052,-0.01995643591413256,0.051866660569751005,-0.04215189199064677,0.04599214337660405,-0.023708821059922967,,0.05130177499002558,,,,
TNFSF13,-0.014882720198635716,,0.010574305256988414,,,,,,,0.0980117084239238,0.021014491194343676,-0.00010220350575411992,-0.02561283593022053,-0.02459117883451369,
WNT5A,0.03439364254900467,-0.06331236825625272,0.008674403053407382,-0.0708407720764969,0.023847039117689674,0.0034369027151479195,0.022034675879368217,0.02978226102192313,0.01837519182729728,0.016530963689955883,0.010544866041179527,-0.04306433550293689,0.1224243511474845,-0.06932852741845347,-0.06371731036481894
CXCL8,0.019532427536915833,-0.05219445940346317,0.015211182584772678,-0.017307866327670368,-0.04268572691316226,-0.01562581579084134,-0.007371101861557349,-0.07853057151196999,-0.06111541628465059,-0.06411355949334949,-0.1838018853322086,-0.0823852693832554,-0.02487630198436863,-0.08823401888655458,0.016021309377419232
GRN,0.04189675908197353,-0.05785762017269331,-0.06423469516897076,-0.06079200345393836,-0.010969184058025288,-0.04134710980002095,-0.14326601200074002,0.03898597965453535,0.024093791322238874,0.008510532255590734,0.014122115000974673,-0.029023229578270443,0.08247207089965505,-0.005441806616356047,-0.07070099296880931
MIA,0.010745013989479702,-0.022768508904313745,0.06514652370560813,-0.039406536369694795,-0.028382979438361388,-0.01908316680867604,,-0.013122167426048392,-0.032470316958990116,0.07670009034621501,0.1655494769766676,-0.05133339258286222,-0.0687861294333952,0.0038342725133853717,
