,UKF260,UKF304,ZH1019T1,ZH8812bulk,ZH916bulk,ZH916inf
IGFL3,,,,0.016239652596897736,,
BMP1,-0.054092407245320905,0.049928618482472494,0.013255327734745128,-0.037618820757700386,-0.015654568831175802,0.03197773528399089
NDP,0.03181747609062343,0.03510965067100699,-0.12750073455562572,-0.056128590465844425,-0.03984312046070433,0.033705690919702026
TNFSF18,,,0.09704896934777806,0.0465849380604294,-0.023592442896872252,
RTN4,0.023673781312643326,-0.052340070141762535,0.03826085297231184,-0.00984663050074705,-0.026708517298498158,0.013576511645996004
HEBP1,0.0945684191194127,0.02584765055337596,0.07364897027022373,-0.05726130263938913,-0.06287900049127798,-0.020488652116530344
WNT7B,-0.05578903317809105,,,-0.018483642662935347,-0.038973659194245884,-0.037916588946300976
PTMA,-0.05152722951059224,0.06352278141401382,-0.042958358391290495,0.01922913062094931,-0.06032351479086358,0.0531827444205807
CEACAM1,-0.024474367174304918,,0.028707252493338883,-0.02313191077124182,,
PDAP1,0.01069705407212484,-0.051432331804733104,0.07755156186537678,-0.013069419409271572,0.05137319583996595,0.030574652349889594
QDPR,-0.018980211106136083,-0.008235874108071342,-0.035247240744649216,0.06300925109712244,0.01964496343469251,0.030072650564065016
POMC,0.006797891088924935,-0.03831274083143954,0.035016297198626686,0.051327270685824336,0.011017871231013148,-0.05677038475613867
CCL18,,0.09199793000824902,,,,
CCL17,,,,-0.02058115844403672,,
VEGFD,-0.023415688818774105,-0.018564107307272093,-0.04341089595535367,0.001515495567133889,,
TNFSF13,,,,-0.02207063081180475,0.012653402571233407,
WNT5A,0.022998935627673692,0.07327552862660501,-0.04497671472925748,-0.012398908914935024,-0.031832174178599876,-0.05573612801192088
CXCL8,-0.03712983524875,-0.0021403868126997115,0.019925956066677897,-0.029220758614582253,-0.0547703685991202,-0.002667009279875232
GRN,0.05986991316627489,0.06719220736405626,0.04349601199829072,-0.028810004577142573,0.08320437945778877,-0.055795048586832
MIA,0.02751660101059187,,0.025047976690645752,-0.02907112168401975,0.029403971935691196,
COL4A4,0.048570687508051574,,-0.03399158647727322,0.08519716628378549,-0.02868476131114047,
TAC1,0.014775016743200732,-0.037922128213444185,,,-0.023314510577915067,0.07552995134955709
RARRES2,-0.055596806512253884,0.0026429365803409565,-0.021125007271437374,-0.010152384882073968,-0.08820562740868441,0.002184327847267438
FGF7,-0.044834234150634235,0.08999416439985848,-0.018713073994569143,0.030479972638047838,-0.025219315082109554,0.030415763045898898
HBEGF,0.026940808011904228,-0.01212284160094171,-0.034495795504478864,-0.0153133616637971,-0.038039217514934845,0.08519947038304196
CSF3,0.013502158618324009,,,,0.039383782058525975,
PI3,0.012784835635390061,,,-0.017487050809316732,-0.05198604182666978,
PCSK1N,0.035631289245619674,-0.06737353411247968,-0.03359283681641317,0.0496723352871379,0.07849106488558732,0.054801568326602795
NTS,0.014255130028247116,-0.016713659870844513,,,,
SFRP1,0.030981291738844202,0.017282996631849224,-0.06484888471733098,0.046621859064934004,-0.037643355323470996,0.08804949739992815
CXCL13,0.02956295940261109,,,,-0.024474472161157237,
MICA,0.00950065576264687,0.03652392149593997,-0.03480648347964695,-0.053520459920592324,-0.013104830205547792,-0.05637688301505209
TG,0.03328777240903325,,-0.006777122327484606,,-0.026970994975496505,
ADA,-0.03843918225211328,-0.05300465222499739,0.042201769402477204,-0.02902447149956209,0.02275080561648019,0.04477715643106718
LAMC3,0.0015437326031254367,0.07875301446429203,-0.03399672819002931,-0.07286807774171755,0.06566897209428303,-0.05191668196560535
CCL7,-0.01353197762442819,,,,-0.0074819676971465895,
NGF,0.07480093105873672,-0.016713670875680604,-0.02455188953541789,,-0.034195368313063905,
TNFSF15,-0.025986834627325057,,0.0920112682632082,,-0.0013074548025682968,
HMGB1,0.01830564072924132,0.06533304801564697,0.033402427974031826,-0.021519068008123463,0.0011247549494749999,0.1154178701473434
ITGB3BP,0.030585080509075133,0.038907903668629285,0.0424055167424156,-0.01574937644084764,-0.04019138400256705,0.0056069024627209575
AANAT,-0.023415692161495638,-0.01571330863914577,,-0.025458232708942173,-0.018423649702742816,
RELN,-0.03706106706259041,-0.05521308495706143,-0.035266022906795216,-0.0318370897747389,-0.01797395140840528,0.005096267407929961
IL15,0.002976658400556394,0.054058556695239166,-0.0495866067824607,-0.014019997183608489,0.06875503323968987,
BSG,-0.03701018249754063,-0.05247533820891783,0.018361884386694945,-0.013246515678702822,0.03874561107515937,0.016841021947082726
ADAMTS3,0.009430518596040674,-0.025231881452464442,,0.06238356427093295,0.02788757592384681,
CD34,-0.007600534435566441,-0.0036722270860695856,-0.00901440692013558,-0.016299428734477588,-0.009484110057150236,0.013826870951645743
PLAT,-0.014490784639838218,-0.026714891031856203,0.023760131223282185,-0.026087890698054016,0.030460153857379546,-0.016010939227549564
CKLF,0.04292391193427677,-0.049365765229395675,0.01404301761219495,-0.032632427923360144,0.0010868870696465961,0.19409159913819377
CD24,0.05856553364051743,-0.03005529695127573,-0.027459389723277293,0.025389548909576596,0.0026207249851381703,0.06659027366268193
HSP90AA1,-0.0210188134296794,-0.04958958394597541,0.07244613097407819,0.033337580323818033,0.012131989887350453,0.07329916168525727
BMP4,0.007187383344120252,-0.02506306824056608,0.002750404633915025,0.0038248378588298547,-0.05109288443156928,
SCGB3A1,-0.014779793386982858,-0.02765982054288679,0.05381990859405054,,-0.00656441650784094,
IGFBP4,0.011220485129909016,0.0719534733533508,-0.008423498990324976,-0.0026376284467390493,0.028331340790422647,-0.01343115256227421
RSPO4,-0.02111724572056499,,0.0012700141691634073,,0.019253296280445135,
LEFTY2,0.006615493405170532,-0.016713670875680604,,-0.05149429660247031,-0.017467476991374728,
PF4,,,,,0.010050408116939078,
ANGPTL2,0.018796524931212172,-0.017469044700446718,0.001063806340649644,-0.02639310436000682,-0.021993680272710113,-0.13486141957709635
LRIG2,-0.03780813505163135,0.032218268535539794,-0.01176334306453113,0.017049896705297617,0.0009103339052752449,0.1457293851042987
ICOSLG,0.0002111901805820516,0.027104110841437087,-0.01931443104864069,-0.01989470710841182,0.05256730502757826,0.05262566097505483
WIF1,0.019449098137454823,0.010856165394441942,,,-0.03339393688405496,0.002679345763696865
NPPC,0.008528509331042424,0.0012656818182330953,0.03048606067452167,0.02039926566369384,0.058235223174367405,-0.033545256098692286
LYZ,-0.0019270119483814833,0.09696044646147325,-0.019604559972499998,-0.04564672445306729,-0.06749166971883243,0.0018312611066974539
EREG,0.006443421600126418,0.10612687883675276,,,0.027630269022640756,
SPTAN1,0.022678346733625225,-0.09433878655416832,0.045113352839131565,0.05300584448068022,0.06903385097526012,-0.09082553193130488
LIPC,-0.031159459712125376,0.13138258095079322,0.12288412783659063,-0.011910037638912775,0.06366284718323773,
COL8A1,0.020649608115158327,0.14823820249573663,0.04280074321166371,-0.01286393190683562,-0.08549409394106762,
GSTM2,0.05145612837367054,-0.027346446465560427,-0.09630661559183791,0.04909640069947501,-0.01760075469403211,
