,MGH258,UKF251,UKF259,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,,,,-0.003655871487149377
BMP1,-0.005411126406005856,-0.0019577420420362414,-0.006940865321689864,-0.004191713848441283,0.09850882868375992,0.1446015522900594
NDP,0.04335620719052461,0.013390952561110036,0.006061190056426656,-0.050161116290992375,0.03238550334309295,0.09503232450185949
TNFSF18,0.002192554645015091,0.004298078010471858,,0.03803440552643475,,0.06310477840052184
RTN4,0.026954032425825274,0.014814874791820367,0.006532504113575727,0.07035392085297634,0.02053874577559584,-0.06807152631476181
HEBP1,-0.02477692182844208,0.028674710229472957,-0.022523976310190784,0.025103307803353743,0.016509454433357943,0.06361005774048528
WNT7B,0.02617225680037839,-0.02422462467650099,-0.006586441971156299,,0.08567333415913521,0.08231372857724975
PTMA,0.12461412813323305,0.022424957133698367,-0.032486593290914585,-0.03332039138861206,-0.12276238110365678,-0.0189373995595553
FASLG,-0.005863269072591933,,,,,-0.041428063186026085
CEACAM1,0.03014347278063611,-0.018590942426150708,-0.006627629123875042,-0.026966977473097547,0.18455622151122641,0.03131062028660955
PDAP1,-0.018745743359384837,-0.054698929108393565,-0.008621675588013772,0.03442510451021959,0.017595488562339747,-0.049580539655201865
QDPR,0.15290327315287752,-0.02388836680852684,0.09429724838625443,0.054688768384172526,-0.15606782023350302,0.021899531053058165
POMC,-0.006532804570399227,-0.03303313864402378,-0.015259493798861686,0.013710615423934308,-0.018679187745825547,0.007883736367568147
CCL18,,,,,-0.025198584147461574,
CCL17,,,0.034528563503242585,,,0.09772572632376561
VEGFD,,-0.002433597759006092,-0.03505983162588998,-0.0664079165331229,,
TNFSF13,,,-0.004157334162527121,,,0.09225458178828662
WNT5A,-0.09612202562091382,-0.05748235787736523,0.0007270346899316924,-0.03745017167884945,0.15695318548798579,0.04813981468290604
CXCL8,,-0.02493268908603522,-0.012187842597412608,-0.026385270962520534,-0.04436607473816694,-0.02128814331506054
GRN,0.04958580434007841,0.05132964760336209,0.09153759737472153,0.1677772014550341,0.056659836501481035,0.12854194686601605
MIA,-0.01124028342825838,-0.02368089883747637,0.0029019652866719148,0.09609181455009666,-0.07993437542228601,0.03391586177718527
COL4A4,-0.015434280176510244,-0.039824218570982374,-0.011559543269402579,-0.06215154029205542,-0.010293109239455651,0.0643933239886284
TAC1,-0.0488689007701921,-0.03228029116453168,0.029618922571101082,,,-0.021429869795521167
RARRES2,-0.06038572966469581,-0.020019607470055944,-0.0026059606353512413,-0.08974704444779893,-0.025302434153966633,-0.012311486840357882
FGF7,0.07686458120087922,0.015204859927909304,0.017168226647296038,0.02262240408326856,0.028188039859048046,0.042209777808848395
HBEGF,-0.04446716576662386,-0.01788924924967388,-0.0439390445714658,-0.015308679143366885,0.08030880084335497,0.02003837683367732
CSF3,,,0.0009782721049563436,,,0.04603366490972425
PI3,,,-0.02349491224774974,,,-0.07374066887652342
PCSK1N,-0.06244576209262397,0.02243080158297603,0.051524859164394574,0.06996464800044598,0.02495916728670584,0.02034715578617077
NTS,,,,,,0.022870069920034992
SFRP1,0.05742660190590216,-0.02397377970872574,0.0017643217485654216,0.05676596529672214,0.03043897011206991,-0.04204382750853689
CXCL13,,-0.04495449376315623,,,,
MICA,-0.01260552916306218,-0.02160715975660477,-0.057629025053679,-0.08646124620580917,-0.05375462009998668,0.08644411751674425
TG,0.046864605336820526,0.02606916318408285,-0.0271383537567367,0.026910513386298324,0.2548117033971402,-0.014774265309016366
ADA,-0.052253416695968564,0.020047374249684953,-0.057321665056302804,0.013074756989013971,0.0356744712771754,0.08966940798966938
LAMC3,-0.007757264060084657,-0.030217270346154745,-0.05286763913931208,0.04394399705205739,0.10966167036308098,0.10113248885515418
CCL7,,,0.029994888902172834,,,-0.005603327293029526
NGF,,,0.0045744669318016126,-0.004935553775818133,-0.0374466869597456,0.015142379401663943
TNFSF15,,,-0.008000508557950065,-0.02944080577881803,0.15079115770665918,0.06551245742255822
HMGB1,0.025247470174167674,0.06689975005974397,0.010638229860604354,-0.027131800590887715,-0.1328673216736709,-0.08413922941505333
ITGB3BP,0.012872755191648155,-0.004600522020690356,-0.01100072690792449,0.0337483453219557,0.03264300852371892,-0.01429729801374114
AANAT,,,-0.014495425946129478,,-0.026245381667367673,-0.012897105596105251
RELN,-0.01800096344832692,-0.03648933645414264,0.0020772209112555583,0.0307197939013211,,
IL15,-0.05412978526027136,0.031007492161995723,-0.04000752406972648,0.08708068781340232,0.10188384518941752,0.06190662474486146
BSG,-0.10565744794384375,-0.028071304661260243,-0.0033662980763095626,-0.08851987164404819,0.040188727953973,0.04491969086276923
ADAMTS3,-0.06546720963380816,-0.004528058575747803,0.03258543071301929,,-0.03142617265606419,0.0793104121888083
CD34,-0.036073670829402354,0.012736610471802407,0.05878035257688735,0.03262947802030105,0.06761582135748716,0.12894063079160464
PLAT,-0.030891691967183183,0.03064702055511105,0.04411203012925795,0.04665815382277584,0.04330157240073648,0.04791212660446121
