,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.013794952284501153,,,,-0.01971269482211513,-0.01776086851335887,
BMP1,-0.028556034752576676,0.008403260590393848,-0.011605103526522829,-0.015933238554273966,-0.023289602902550274,0.03225219238918295,0.06183068275824481,-0.01905820090011967,-0.027211611818471548,0.055163459381194255,0.043669969930717006,-0.0017185378716968436,0.02910368104242959
NDP,0.009256471733509243,-0.04848959607383417,0.02988310465580817,0.049627527242581855,0.018529608073128673,0.031437338932176234,-0.014698861897960044,-0.005060503762892876,-0.008542404359644491,0.02779644079742853,0.03715089881889246,0.08009618745710208,0.013906378060602851
TNFSF18,0.05524125889160423,0.030676201505026562,0.028574681107137317,,,-0.013291556378354054,-0.020485090006668056,-0.012224650409295013,,,-0.020329354220550374,0.08066649822351775,-0.002609212359876695
IL36G,,,,,,,,,,-0.018385988243881272,,,
RTN4,0.06253666219084342,0.02624227650661595,-0.025395193126570438,0.007242327861429173,-0.01945427796026306,-0.006410435872501626,-0.09924409382677607,-0.019601040085372157,0.0026336527219761974,-0.05305980038239646,-0.05053077170667624,-0.023788224919105504,0.030668111580765572
HEBP1,-0.01896273458093753,0.041149463309637736,0.03072429795714633,0.01113463231668664,0.0457893026092139,-0.026390694382997633,0.036104800688550695,-0.00452643387005768,0.056526217251793756,-0.010656500938578832,0.08277407241697762,0.04274096652545108,0.01242009671883126
WNT7B,0.127391286359694,0.06635555790922601,0.06637744044444381,-0.017321347172774386,-0.027986893781312677,0.0845767272788854,-0.023225741779096483,0.005096135106594987,-0.015148168495034349,-0.02020831990704166,0.02947185866965485,0.04333140656012723,-0.022927627325015954
PTMA,-0.003772297023505233,-0.05324047954555668,0.007478205134649958,-0.04241721049385139,0.0026573545063845678,0.02221986502895874,-0.061718909499341175,0.03978031553846923,-0.003961558400926122,0.098143220463965,-0.06350054893506324,-0.05503618296647426,0.008895336054026362
FASLG,,,,,,,,,,,,-0.015403995202428295,
CEACAM1,,-0.005096569862062461,-0.012055893698775428,-0.032723549367824706,0.06428395966237663,,0.04639476783371567,0.037466391219944585,,,0.07310346667289519,-0.002088373070557279,
PDAP1,-0.06047087794905189,-0.026454447537679223,0.030143327559415203,0.016741026626821906,0.04621058001490329,0.03302239326988666,0.04203398717040862,-0.018984243057421666,-0.002222380052761368,0.0361125205765564,0.012376106328106465,-0.0026231487970698533,0.02021671955907527
QDPR,0.0031449887294153203,0.011991125838899504,-0.020537601027268194,0.04717156307815327,-0.0073967912439436845,-0.06357980559053733,-0.06202108699202352,0.014125749747278588,0.03203693982541912,-0.07176099955251658,0.03816168912487491,0.037898728702220136,0.0380024235692599
POMC,-0.028378399352146807,0.01574135607038482,-0.021421399674127147,-0.030473496881019687,0.031711911099970604,-0.035065806505581616,0.021963828845831673,-0.014184517632362911,-0.00028101993209893604,-0.03939217687599069,0.008526064251539673,0.02688698964767712,0.1157884620195994
CCL18,-0.036917384498135024,-0.026583205477267304,,,,,,,,,,,
CCL17,,,,-0.018966973952240666,,,,-0.015246519126719366,-0.01874918614171075,-0.01679612223881481,-0.007003589632310975,-0.013961991480130238,
VEGFD,-0.01347274704340132,-0.026583213918680123,-0.01726764895718505,0.03470963813063408,-0.016770287544433195,,-0.02311024548647349,-0.01624387656118944,-0.01375275477683143,-0.018000924435288203,-0.009357106805307573,,
TNFSF13,,-0.02006054627336683,,-0.01308299413884394,,-0.012890036911930637,,,,,-0.00912137177422406,0.014022227816961351,0.06503375597871405
