,MGH258,UKF259,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.01710443664882387,
BMP1,-0.03666551900146025,-0.010151910169782086,0.06856692292263496,0.06526451094952003,-0.005456600591976765,0.030507158511410486,0.039666032742650084,-0.017444041366457042
NDP,-0.02345899582180526,0.035994982240780446,0.058297956267803736,0.11123583194461494,0.08502425926182954,-0.01898639022326528,0.013771325987762872,-0.049902984405356274
TNFSF18,-0.01927998321590006,,,-0.053999607589329354,,,-0.02885212666718553,-0.02430871999979399
IL36G,,,0.002010085636001215,,,,,
RTN4,0.003701348104836642,0.017425642752644924,-0.07502844850887305,0.03266235209255815,0.00974339693176372,-0.0235154525726579,0.0017125081142290428,-0.06754347654019513
HEBP1,-0.028498427971662948,0.03960664811675108,0.030346785701135703,-0.013473937656847805,-0.03960589496337146,0.02792280924936468,0.04182900587769653,-0.05884856740980107
WNT7B,-0.01698506134734137,0.08221671395090335,-0.01918664027154468,,0.06356158973942214,-0.019384708761760804,0.0013933143795152143,0.015426371130034918
PTMA,-0.05630634698909196,0.054624469614239925,0.08734405225047051,-0.10689236306212814,-0.03462170856905047,-0.0990281837617532,0.02905186265345785,0.12179059512895112
FASLG,-0.0169850661489747,,,,,,-0.014834672070262064,
CEACAM1,-0.023583912995837508,0.036918120023715015,,-0.03797088864479815,-0.02689724331583029,0.07342836866443704,-0.020640267369035317,
PDAP1,-0.005951966654800352,0.03828495823899567,0.03318056427144823,-0.025884402749275833,0.05207221102896763,-0.021872678802846386,0.06698447693607026,0.07494435153577474
QDPR,-0.06058147900602606,-0.0502232139686025,-0.10670971480435015,-0.002182361845603289,-0.1071815736431327,0.04380489657412394,-0.0018618760242912612,-0.0399213077144806
POMC,-0.023713256078319797,0.010432028233509798,-0.037400611763342646,0.0099064355054671,0.008179222685101899,0.021164217986545726,-0.03634408462636405,-0.05819557726238344
CCL18,,,,,-0.019070587744025525,0.005280704538826765,,
CCL17,,-0.018966973839301286,-0.015946954365104755,,,-0.013312000374670204,-0.013445964006978795,
VEGFD,,0.06206336119426503,0.02342011191539053,-0.05162059102508738,,,,
TNFSF13,,-0.013082994060940883,,,,-0.025543729225859808,-0.021909076060357167,-0.026444419971583328
WNT5A,0.007408684350387502,-0.007735348560241187,-0.025977423622583595,-0.034562273665530566,-0.044695894204521094,0.018650537407469452,-0.024332891470269194,0.07409842337843141
CXCL8,,0.06758635337545046,0.05856049170278947,-0.003211195635592749,-0.03357677225835083,0.0871535909740868,0.020871199063150755,0.10977219030901159
GRN,0.0023936608540552143,-0.05190786091131702,-0.037035908009075455,0.022665725843006666,0.07377920159025161,-0.032159926007962164,0.007710091536141232,-0.04994000872553483
MIA,-0.02223198659047734,0.10255323939869418,-0.023406695354418493,-0.08493286786628541,0.037231785853949685,-0.020349873636244773,0.033110104802599946,-0.005855647418203377
COL4A4,-0.019670776219798874,0.015192987754427975,0.037525621717533694,0.007114237064524569,-0.02411118157597794,-0.008678813211479326,-0.03948656937148141,0.1138219683405437
TAC1,0.03809049967798485,0.013547828991822627,-0.040238654819363506,,,,-0.017676086930341235,-0.06809799504080362
RARRES2,0.04309013005648129,0.011895398978389309,0.08970671635853333,0.009186430221990234,0.051419178242482474,0.09428829412593265,0.036336201691615846,0.082742747576445
FGF7,-0.03652814426466717,-0.03362072094013792,0.038651777913892335,-0.037462706674290865,-0.04921307294854601,-0.01588599267298971,0.011760648377175826,-0.04183414843508949
HBEGF,0.07110764163987215,0.09188033885215616,0.03588085403218933,0.09388076315106038,0.055824356352600364,-0.003678713937032314,-0.000691672117322253,0.06593535924309275
CSF3,,0.07010027840947886,,,,0.1399094327239753,-0.014156525814575268,0.12461789417572093
PI3,,0.07318085639703545,,,,0.09035771817984833,-0.01712448317018246,0.15190218461150276
PCSK1N,0.030399452204912823,-0.05237685696752339,-0.08753964880098548,0.05116551607748936,-0.019393448702472806,-0.004732028934322702,-0.0025253550295980753,-0.12032747177866493
NTS,,,,,,-0.031055511145936448,-0.020963884330290523,
SFRP1,-0.024713686840202906,-0.016549417816429973,0.0013438715727220496,0.02959190472161388,0.00566090435489107,0.03545290871626865,-0.02047673676923706,-0.03878622440291355
CXCL13,,,,,,0.10418818657184103,,-0.025217528066463952
MICA,0.01916249023851328,0.05474091099218587,0.06719334897312862,0.05246805090448857,0.0029654744194588492,-0.007823930380045157,0.06645936983366735,0.04107176693143305
TG,0.12425804082132486,0.045906736640554315,0.04730550488871877,-0.05752372185408615,0.10291521241735997,0.03163003264833596,0.0818941724863946,0.04978799326104759
ADA,-0.032210768200570845,-0.007970075303793392,-0.002923143161770177,0.08480394797138856,0.021230452667036177,-0.05589882740628977,0.039657998066130296,-0.03510784374230361
LAMC3,-0.01051209733769361,-0.036211757449797106,-0.02571707549832523,0.00983556626557827,0.11743690449790635,0.033192239921510824,0.0021351304987737617,-0.014319140207670366
CCL7,,-0.01291234934616157,,,,-0.019951620137266056,-0.014834666795229743,0.2059769483624985
NGF,,0.044588877387299254,,0.007006814996764501,-0.02834009741221211,-0.023042524010583345,0.04586056473568617,-0.03523355496697207
TNFSF15,,-0.01437853253186757,,-0.05808595904519673,-0.028621102273915254,-0.01945058926011892,-0.039195758045654665,0.13493657477089258
HMGB1,-0.03390552588839316,-0.025509755316904466,-0.021364708661066763,-0.08160218265201696,-0.03347006948315297,-0.08734238362990222,-0.01599287749273774,-0.027421981433923912
ITGB3BP,-0.027707135523308682,0.017592973393029884,0.104268071668858,0.061801417833317135,-0.010666396314597173,-0.023842814252372026,-0.008009949253681377,0.029819243242297438
AANAT,,-0.013082995457263937,-0.021391313938127408,,-0.019862816538975835,-0.01750320050782655,-0.015695696107271243,-0.01898299993586662
RELN,-0.016307591325849316,0.0036579339801370244,-0.0236820308895376,0.02153609917295111,,,,-0.047566112783433506
IL15,-0.023219382405372156,0.023602477342621535,0.046801364098016086,-0.02515710292223737,0.010120101883085595,0.03838590404038276,0.0026655200103987853,0.009937969034235218
UTS2,,,,,,-0.014905256249447019,,
BSG,0.007662562121271643,0.010231320636011702,0.04948869679406421,0.1224243208024479,0.011458760730780632,0.08117683842602773,0.06504666891681582,-0.0590780474259174
ADAMTS3,0.04468565060111988,-0.008558138777190333,0.00913034156881929,,-0.023783700686879305,-0.0055150082440348965,0.04988461633748868,-0.06326112356067654
CD34,-0.02905282553868054,0.0022690646289279985,-0.016318657646216192,0.032995608908592856,0.026193194541292573,-0.052518958324515544,0.0033946186972334588,-0.0622081411817869
PLAT,0.012259436327771494,-0.009054919648219476,-0.01416148800176438,-0.07777145436623248,-0.032463792668524866,-0.06355773422799432,-0.03746356448714446,-0.11868668069698889
NTF3,,,,,,-0.05532557091094595,,
LTA,,-0.01654941704222219,0.014261015889482954,,,,-0.02112404156221398,
CKLF,0.08154450887481983,0.0018500799356191634,0.06255535726626958,-0.1431434207929734,0.055244913107463406,-0.01358166147037984,0.0045688086144387,-0.011413676895513132
CD24,-0.03399752569329455,-0.008359930543756758,0.04194774682600609,0.14442764001222946,-0.04538550897281045,-0.06484317100283685,0.03754777961283639,0.08483308556496147
HSP90AA1,-0.020370091486556146,0.04370976728044505,-0.05464811972505376,-0.02782009242109388,-0.04282239403503833,0.009870613335543125,-0.030461469199770105,0.06077285614020816
BMP4,0.07129497020480448,-0.00106230975300668,-0.01690526684256927,0.07827975634221473,-0.0002909591634100067,-0.006593786889979148,-0.014826994575338665,-0.017865116438845478
SCGB3A1,,,-0.013843711033099077,-0.018877773892891633,,-0.030367209301359544,-0.003521251634928213,0.0170873104688845
IGFBP4,-0.018550435252558457,-0.0437724205540457,0.014269741362738632,-0.05187642131382072,-0.02119223822719504,-0.015408015963473898,-0.006969203537375124,-0.07321187002911367
RSPO4,,0.053476287475388434,0.0821890257322286,0.06227959753934969,,,0.04969537635110057,-0.023936810985361653
LEFTY2,-0.019476281390736126,0.017170362539753306,-0.024491588645130558,,0.03146798615606962,-0.01693666615397823,-0.04860651897491764,-0.028949811914102352
PF4,,-0.011265770416075243,,,,,-0.02112403667395408,-0.018751058501837798
ANGPTL2,-0.01607831832382109,-0.03614031221931417,0.04406787014079931,0.049788926783339404,-0.044420447643048304,-0.05749014893804284,0.024342868412445567,-0.08167796082237709
