,UKF243,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.014642830664634166,,,,,,,,,-0.020187804990092435,,
BMP1,0.0031522000977532525,-0.05212677843085593,0.03158017878457793,-0.002577702165459754,0.06713263677560351,-0.23634382152629527,-0.08068046047501463,0.03621050764085082,-0.07410411732106606,-0.242791923642221,-0.01182276489834098,-0.10862686167183269,-0.0851510868188734,-0.003163364422011945,0.022463333940193595,0.012145406614596548,-0.02551956263387087
NDP,0.023701858583867617,0.06881094573688382,-0.014032160804493958,0.06853802465348628,0.044432695084518053,-0.0342597807529924,0.0405172495812779,0.06529131008824406,-0.08848063136095705,-0.06645446363518719,0.0499890131952537,0.0660498781039018,0.0513828579301294,-0.028792033997866097,0.08070047272191208,-0.0004047357634136731,-0.1590209513731159
TNFSF18,-0.027957787175544254,-0.02275468233483533,-0.020602468764526163,,-0.040373295597308706,-0.05312749335542994,-0.01588253900081102,,,,,,,0.10025088429178537,0.1262965234225956,0.015842251726109355,
IL36G,,,,,,,,,,-0.0036102537531171016,,,,,,,
RTN4,0.10994303182003223,0.014119725877678405,-0.033534985783814766,0.06417840681298949,0.004575831548376791,0.3352263136274121,0.029648855662970132,-0.0073711070527090914,0.3030337446528523,0.28913915158663417,0.07677703105893849,0.015821782315605274,0.1208667333581219,0.04504037722381954,-0.08170336063214727,0.183727773794124,0.11474621669665767
HEBP1,-0.026173263564856247,-0.08770205122035846,-0.006188591127755967,0.06499788180625067,-0.04382610962331083,-0.07398623146362684,0.015099578906646245,0.014764294867057288,-0.15477229593452443,-0.0015688263671646133,-0.010881008874785512,0.040223953165770536,-0.018366540736670992,0.016736058171892245,0.07346299788195537,-0.023081367913591347,-0.07306437355351614
WNT7B,0.11236868256057837,0.007120899057400669,-0.008532947043491675,0.04960760491806532,0.02095550562726922,0.15997548802077227,0.008315137066150865,-0.011771399140399241,,0.04540148344332242,-0.04963811671591017,0.054786152090458944,0.014572204382397588,0.057356406920944805,0.01423941607475005,0.016761220387397593,0.17177164566020095
PTMA,0.009309070550607389,0.03170828511967307,0.03626486954296627,-0.054411830310600456,0.056018190609576315,0.0360746229797948,0.05104237325217824,-0.006756168576348386,-0.4113875842049266,-0.32514164332574563,-0.05969322480090202,0.037584610627406354,0.0009700198579106131,-0.12222429154207153,-0.04810813702930014,0.03475495929699094,-0.22187717668439294
FASLG,,,,,,,,,,,,,,,-0.01750887638073798,,
CEACAM1,,0.06359925819369125,-0.009138900388925876,-0.018417544497004053,,-0.06991275533998016,0.05694533500114772,,,,-0.017484801605173645,0.06699790760498302,-0.02519583508140158,,-0.024361029897942,,
PDAP1,-0.024268128596925433,-0.0071107083071530386,-0.020293401249554553,0.054683413622222996,-0.022664900202399346,-0.18446918571381143,-0.02794497124917024,0.00800524065549854,0.05369398325508022,-0.1265729693153422,-0.05951973985558015,-0.06478060884635405,0.02493010496654163,-0.037269657904865916,0.023313958732943434,0.018050122096841727,0.0779924366179569
QDPR,0.10352825822887127,0.10566366373569529,-0.03460624231273902,0.047693078536118295,0.04597646074590617,0.15812476596750208,0.0935650821085009,0.02181751763228191,-0.35321478635228365,0.0728078251274163,0.06146929011194631,0.10236735198828142,-0.03208719548924723,-0.006514339988437208,-0.015666925206857585,0.07820438329487375,-0.048194439381737675
POMC,0.1034986330066537,-0.0027461927583170933,-0.041064454012761695,0.09697077458395134,0.035723951362948876,0.03406714702169571,-0.01842884229494196,-0.01826576590730931,-0.02964606709865599,0.15674882255173145,0.03711541034445773,0.0558482897520024,-0.012283095157856498,,0.006289000363311581,-0.036488021854805,-0.01883958072491472
CCL18,-0.03749369140983189,-0.023821570098133828,,,,,,,-0.14199313854981657,,-0.059166689793065226,-0.06657738916084731,-0.06246074719743937,,,,
CCL17,,,,,,,-0.01980861836937358,-0.010395792110691771,,-0.03672559864991823,-0.047109533843556366,-0.073654047697989,,,-0.01586982984881614,,
VEGFD,0.0256100355198346,0.015712313022576974,0.03639760059777723,0.003374215586403018,,-0.0599357587945828,0.03290355384536502,0.02940919716479451,-0.01115153609698742,-0.002758089295889464,,-0.008571930434896291,,,,,
TNFSF13,,-0.0461470073716924,,,0.046636627671071317,,,,,,0.04523274403281674,0.09203247806345012,-0.011572557110333252,,-0.025858563137769647,-0.00639980275286279,
WNT5A,-0.042681246004626465,-0.01486989178149062,0.02518804044475743,-0.09781397841854163,0.007344491152850789,-0.22003780083203686,-0.024860568924492798,0.013051945806439369,0.03136997618468508,-0.024751099744315365,0.052624908620211394,0.03156341473168071,-0.04605921840831948,0.0946357044800464,-0.030461037672947576,-0.011804570852021795,-0.016888040952850722
CXCL8,-0.04129204440252205,-0.045978957272592776,-0.010167220688069162,-0.06118054140632228,-0.055693562338152154,-0.08806847052560034,-0.06630841673821934,-0.02041731852288841,-0.09673522575530846,-0.07189260537356232,-0.2024555543150656,-0.2316415597137639,-0.0871704486583142,0.03586383272654452,-0.045594297224864896,-0.14155867462820437,0.07307047730736427
GRN,-0.021148177939047948,-0.13799125372529925,-0.0484892779741566,0.012724810488539337,-0.039250279898448655,-0.2655381862472014,0.02974254060177571,-0.007123747016314369,-0.23375174082747957,0.05912045735274601,-0.020602830554823964,-0.04557249302866278,-0.10007439206453546,0.012818078671247525,0.03142592623350437,0.020392223697505523,-0.10394380357509789
