,UKF243,UKF251,UKF259,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.019246213646341683,,,,,,0.021084598996158693,-0.025175761859239084,
BMP1,0.04881430016458013,0.025342341402731255,0.019573173966391556,0.05827127319948485,-0.05375735838145752,0.0029790097520245432,0.1090791067049477,-0.08729738579223764,0.06429864855355363,0.009831545459571194,0.048909655515757364,0.016122671295514
NDP,0.09226838492609868,0.007597779464918779,0.05274186346467691,0.008918110351252142,-0.00613605846058408,-0.023601847567098537,0.03898950690931948,-0.02889388861333586,-0.003871064173698798,-0.022202744743108058,0.11780408975345003,0.011440257342143937
TNFSF18,-0.02181211104418764,-0.005216258070448226,,-0.028580049477650617,-0.01690524563994299,,,,-0.04352269688758497,-0.014776274755575658,0.020841698045396467,0.06802330151722501
IL36G,,,,,,,0.09549787712796863,,,,,
RTN4,-0.09610576157762393,0.0760910508951957,0.01905484493736308,-0.11506420813793744,0.018046887025210685,-0.01965459709848806,-0.06597937933804557,-0.08687170526610993,-0.12344440568614197,-0.025859736418293564,-0.03686236052574126,-0.03811034657203635
HEBP1,0.04088260988907528,0.03814185863299768,0.004244941218154879,0.0312779358833786,-0.013122467172961385,-0.02113394966096334,0.007717377749720165,-0.0006282690999458194,0.03679354996078061,0.019924577429320692,0.054141123150883604,0.04500261369633746
WNT7B,-0.038692708746269934,-0.018040740267501333,0.0010906186561005305,-0.07965948386750243,0.007722123490956243,-0.011566943423062607,-0.02242561872785196,0.10886794243795134,,0.026908011660805514,-0.005669980052642958,0.031061005731818938
PTMA,-0.07584184386748509,-0.012517053917448163,0.05674102189032271,-0.00732520051493781,0.005511634431460075,0.0611506885934368,0.049417869995125374,0.1637218832814055,0.025507279367472664,0.0855169484384444,-0.0029374716344839165,-0.03424508115461494
FASLG,,,,,,,,,,,-0.0029233625275061504,
CEACAM1,,-0.013845183077845746,0.08869240153939313,-0.037609717314684814,-0.02658792398670795,,,-0.06606009443334594,-0.030603842339149787,0.04358497254255376,-0.002213479148457759,
PDAP1,-0.018847905719079194,-0.022335633815668585,-0.03049601459708911,0.0586502211549646,0.0624811240647927,0.0002222298800594731,0.01719597597771097,0.08389425689720972,0.13443994665260348,-0.0458926624769299,-0.009831192089794601,-0.020182765144976585
QDPR,0.05027066724784113,0.07258814443272743,-0.012010795840305875,-0.020941203351810028,0.003417702990716517,0.07075771340926872,-0.003014139322306601,-0.026302938600001532,0.045393623621757084,0.07962670949578192,0.03395767170351745,-0.00123564755336321
POMC,0.0023752094540713847,0.015197560505410187,-0.0003402434167931285,0.011295466743131866,-0.019615510205254715,0.016892194674551785,-0.043714368316846164,0.014603465031805615,-0.039726477411484495,-0.009103161429195906,0.005418245483367999,0.10951005136019906
CCL18,-0.029251834394216036,,,,,,,0.04978575662710701,,,,
