,MGH258,UKF255,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,0.04249161598525649
BMP1,0.0543879518464739,0.05523747088981797,0.04804852325352297,0.05538253988007872,0.1266095321976473,-0.03291576920776383,-0.013308364524891928,-0.01647582760921158,0.09633866224209875
NDP,-0.0566748229892153,0.004507364331207108,-0.0012720540621016338,-0.009589781797144816,-0.005296471939668311,-0.05949241156986981,0.07294158057058935,-0.019849542094900762,-0.02071579336238169
TNFSF18,0.04579326797725791,,,0.03360000620583946,,,,,-0.0010906038982029483
RTN4,-0.022110812660015695,0.05826569309019064,-0.013286109068322652,-0.021020764987871476,-0.005000688302680256,-0.04298928614673164,-0.060745458429935,-0.01610437660228891,-0.026357584093264438
HEBP1,-0.024806325187712808,-0.005381717067613537,0.032085364045420985,-0.05418439685755896,-0.028735872831187226,0.026599824492024342,0.030523120723374535,-0.058098863675793644,0.026395177179631763
WNT7B,0.08263016483560859,-0.0062700566222194986,-0.02383583517794686,,-0.0032416010191827025,0.0814024494070361,0.05075585618217825,-0.039289282084951055,0.004659860101002974
PTMA,-0.025520327210325863,0.033572754938501995,0.0672903003667151,-0.008324208473628844,-0.02191179467327948,0.0050592129682917155,-0.024232469485415544,0.01718645017947663,0.14826831454152725
FASLG,-0.018178447750624115,,,,,,,,-0.02142364176667591
CEACAM1,0.07176777983856952,,,0.09218457633433685,-0.013288094732158418,-0.019563785572251406,0.037428648969013226,-0.010719639553272563,0.04352057157525454
PDAP1,0.05445642132070366,0.024854265417689998,0.04816176304550815,0.05935683805796065,-0.06507787608955118,0.023477098314276534,-0.023356656746660546,0.05784155638861005,-0.05114770859612635
QDPR,-0.004948490585278814,0.09195846683102325,0.05586106039876219,-0.0016964174945517626,-0.05679911773630077,-0.001644108905741005,0.041041520334354285,-0.015294559429468682,-0.07342611830958766
POMC,0.0007409060596929261,,-0.03518438511330963,0.05413535176816072,0.14411060783723412,-0.046973988434671904,0.13405558781731838,0.010296024609046677,-0.061086929766522136
CCL18,,,0.015032132893256176,,-0.024719286085809925,0.029219828633229892,0.03873138394201816,-0.01114320257041195,
CCL17,,,,,,-0.013879558949673599,-0.016686672213139447,,-0.01941812496621256
VEGFD,,,-0.02377199285689004,-0.06069330876279784,,,0.0565606705408759,,
TNFSF13,,,,,,-0.026632788882685474,-0.03312696834021249,0.020502600141295606,0.061807535176987755
WNT5A,0.05735965429614788,0.0363739138316159,0.13760528644308462,-0.028432721611509972,0.014307415862395279,0.0034151876873658605,-0.025864078149137465,-0.0006664744582650997,0.047003069461511074
CXCL8,,-0.0871353187058881,0.010780204668505653,-0.01039992292714846,-0.04352219503839271,0.03667906337232409,-0.04172478281596564,-0.0061004814833680344,0.0001344341911092114
GRN,-0.041077719038732204,0.08783967166197787,0.002283192392719083,0.05828688556047886,0.0739975949273269,-0.07037082502886051,-0.11426465092910329,0.01844569408188781,0.11289207696545782
MIA,0.07242445462549606,-0.024190875386271973,-0.019453422217347877,0.02941341699725923,0.08731983818136112,0.03076012014709856,0.10893302055790484,0.09266268028632184,-0.04190850227601232
COL4A4,-0.0210528575272825,0.06412016429519411,,-0.04752405606933939,0.07839695722753975,-0.011634514425519866,0.025437901775637962,0.06646426164639897,-0.03990172824418588
TAC1,0.007272275974416505,0.027975256888618974,,,,,,-0.04499002602467633,-0.025527099786140612
RARRES2,0.07862508748830455,0.02399250045708492,-0.04249834305560419,-0.02125996491419712,-0.04729832943655016,0.008090949787971733,-0.09355787178254898,0.007834161806084998,-0.04781044531049043
FGF7,-0.01735566964517657,0.138751854440341,-0.04400602809138497,0.02151359876275429,0.015546939690998804,0.003711161339830353,0.059162940677703904,-0.0557708224273557,-0.006876458525017058
EFNA2,,,,,,,-0.02006557802466742,,
HBEGF,0.0119577617559531,0.013943366704419919,-0.000914724534986337,0.02400720248261941,0.10245467462882053,0.0428379092912895,-0.012051231075474237,0.032742920147991864,0.04799848069013214
CSF3,,-0.02535742925205374,0.010994375117038267,,,-0.004741534326737359,-0.0446204595041935,0.057617721437047346,-0.020444289990078815
PI3,,-0.028784292915775684,,,,-0.013304831154790319,-0.10388170836386097,0.13664471813085532,-0.0076344953057411605
PCSK1N,-0.04166501224203821,0.03577216076578657,0.03351092153304886,0.07464653296195828,-0.03064086981905392,-0.025042448508756723,-0.07016779397583114,0.05048823395691148,-0.11407913274781577
NTS,,,,,,-0.005015735081819077,0.026866408824320766,-0.03931789594398083,-0.030275205667033046
SFRP1,0.09390374812590896,,0.017478656258847983,-0.0028026023261457284,0.01406698849616531,0.01716845469761204,0.02146552153788503,-0.03675462417991153,-0.015574624406194188
CXCL13,,-0.018412493998824202,-0.013957912943106315,,,-0.031176335109271956,-0.005204773966420797,0.09803180442836733,
MICA,-0.05698842332124939,-0.03233506136367221,0.04611249480431123,-0.003907065841306199,0.10437301623428041,0.021080017234699846,-0.02903185240430965,-0.01022229040326259,0.009490297017192615
TG,0.06569105415431406,,0.003453847631242209,-0.010448213277821257,-0.04024877706379326,0.188969572302988,0.010403360661228099,-0.03076822557339708,0.06884276088782947
ADA,0.01079903493091678,0.04989337887630163,0.08544217459937095,-0.01704801525599016,0.017761871626223218,0.013245321573035674,0.03370725650722079,0.012553403460182421,0.10214857873543198
LAMC3,0.030130803659815256,-0.001841633632140669,0.007938073857302401,-0.02203237555837698,0.047782397750609315,0.02306844017540399,-0.03942142503699776,-0.0011669908612876212,0.10359376315152546
CCL7,,,,,,-0.020802259618591664,,,0.07411422936187143
NGF,,,0.07602421478294198,-0.007027256934856469,-0.03673441977957191,-0.02402494451267503,-0.01979586289797873,-0.015577136594264646,0.024891432484419686
TNFSF15,,,-0.022742924166102803,0.02630920129541603,0.09753707059871661,-0.020279867235835837,,-0.006050477351507011,-0.0013197974823973124
HMGB1,0.0014366757277418979,0.06079601713948754,0.02614735004509064,-0.004756403630942952,-0.05128817551781619,-0.12895647238495847,-0.06492604020470513,0.016294927346233598,0.0062437480362890745
ITGB3BP,0.013733571710555623,0.00844005508259092,0.007393673865814717,-0.04380142695036785,0.05307346731913176,-0.014174648612916367,-0.014823322210183577,0.020740139939220293,0.05757041208468391
AANAT,,,,,-0.025746172644874075,0.004848234768348045,0.04807954603208572,,-0.022667098341517204
RELN,0.06180381072531318,0.010110612262906262,,0.13969809090441945,,,,-0.014109972581907217,
IL15,-0.001110653351549924,,-0.020144840708886124,-0.014341313162327781,-0.011462636025686871,-0.03343374259050545,-0.006528138596062371,-0.014882942126906796,0.01796277860351161
UTS2,,,,,,-0.01554074346090273,,,
BSG,0.09495598869293194,-0.011018855883982664,-0.05093639343259375,-0.005329345410282792,0.03804609503746729,0.03398808239722518,-0.01972735547381526,0.041677420691490906,-0.02374941202493535
ADAMTS3,0.06804036462921924,,-0.02714749246089972,,0.015987593669909414,-0.012569329680273236,0.08154711129509218,-0.01616897674711174,0.012390733853605175
CD34,-0.021705470837099027,-0.016088890367361747,-0.0029573454826930592,-0.037128682454868306,0.05526928235306483,0.0035676953881600055,-0.007479791467042451,-0.014924902567338168,0.10620844925329295
PLAT,0.035799419951130534,0.04252972886138592,0.02960926635607353,0.07065304730815807,0.12046750715585983,0.0035691540284618958,0.030564158596175173,0.08625956187502166,0.03610388926963811
NTF3,,,0.05739477501320279,,,0.0033498485946399153,0.08109055027137621,-0.07809869111004468,
LTA,,,,,,,,,-0.03050649835397748
CKLF,0.005053287049547327,0.032694579146152106,0.015904410287204882,0.04887829838714038,0.11779581598249214,-0.02098806332395306,-0.012864523528347317,-0.019671622123464873,-0.0019066929898113058
APELA,,,-0.04192536180919136,,,,,,
CD24,-0.00852527676777663,0.004886514928030391,0.060517479143343995,-0.08299577379022438,0.012655084009988363,0.034339261383034954,0.05550637289259449,-0.022249012134400895,-0.06257237168495482
