,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.03219218956779956,,,,,,,,,-0.014824757689967449,,,0.0219405298388896,,
BMP1,-0.05082801473563764,0.035778343133091736,-0.050007445242828,0.007072737447011811,-0.05746970177071452,-0.009694002077264542,-0.19460179231330485,-0.037306771608476445,0.014231559362929533,-0.08315332647026416,-0.01512129674683827,-0.14002545826698196,-0.004413584734550853,-0.011789514126304438,-0.03597445880595449,0.007568596629441291,0.005837354586242417,0.005536104979506136,0.1545386873321887,-0.04769892526079411,0.02398128952436751
NDP,0.07257555019830732,0.03471501288706786,0.01626512790059583,0.03454278780068232,0.16047746422115905,0.055769637948143526,0.0017401597815171047,0.056542002216720455,0.05244349475184206,-0.04587581092103584,-0.0016642344210274136,-0.0566043012686133,0.02832832159379967,0.006890483341492845,0.0877248360091591,0.0272392136895624,-0.029579137460977116,0.025916804456947683,0.006094564722759655,0.07594854017031069,-0.0065275184479863715
TNFSF18,-0.019279987219288242,-0.02034951925627357,0.00707852170375338,,,0.014048198770515127,-0.04780443507216825,-0.01654084076176797,,,,,0.15683409692486694,,,-0.015288510933323484,,0.036687417130948176,0.009405791609260162,-0.042956504771887165,
IL36G,,,,,,,,,,,,-0.007310224263522509,,,,,,,,,
RTN4,-0.06396255956818234,-0.017754261712948954,-0.016076539470006812,0.00831332623875476,0.13163681055999427,-0.0371803499594791,0.2529980947661785,0.09801771020039018,0.05720458524379798,0.2988721584110748,0.04903474308790746,0.2554091712745793,-0.04668417893799557,0.07052560156020894,0.04890013064598387,-0.0462078227067731,0.18376474316210087,0.0030920838003570938,-0.052725650003335886,0.0653741195178838,0.06631121871514675
HEBP1,-0.01799102076421844,0.055801133135104715,0.06664951243035136,0.04965530370334216,0.01632575808316557,0.0015379848141677548,-0.10147448131969203,0.016732029326095545,-0.013480013812453452,-0.1127118049903904,0.06876121494098048,-0.06417697761870028,-0.013988696675768273,0.05863819996562395,0.11260105674539958,0.04152203423953412,0.03797897020885513,-0.04371139777750145,0.015456993874323624,0.01901021913298437,-0.053877250138049414
WNT7B,-0.01698506487420097,-0.011820529894439213,0.03941049753961396,-0.014628672903362495,0.06539205609716897,0.010829567645648493,0.1353244037387962,0.005925974415272833,-0.005439806985033551,,0.08699976641061999,0.019541971574962926,-0.0320044327694142,0.014541824896237593,0.015283219752654538,0.07703781921920437,0.021775192513405213,-0.05687021911900397,-0.030410529011863224,0.06741992409325694,0.02630285128839428
PTMA,-0.10689261286761834,-0.004420728262223859,-0.007414006397765574,-0.0015891956558045524,-0.08948574528732099,0.014231214110055446,0.036503248357211665,0.08932871087409319,-0.07734937903191338,-0.3605604939821749,-0.09051203517820998,-0.2662760245879867,-0.05560478136971001,-0.1533667078697611,0.01254713845419292,-0.08907621357032618,-0.039059555580509366,-0.009569610793735755,0.05449055691967554,-0.07555906857766191,-0.2847550503782484
FASLG,-0.0169850696758353,,,,,,,,,,,,,,,,,,0.022747634043973532,,
CEACAM1,-0.02358391789291431,-0.008122141482624065,-0.022429495452434164,0.004814801526785905,-0.03177518631850259,,-0.0629079138179381,0.06422331428874259,,,,,,0.08967917609211451,-0.008787626564209108,-0.0219679940690407,-0.002209563689248311,,0.03412980615995503,,
PDAP1,-0.019086996461588915,0.03084674188409514,-0.00962521436321585,0.01817229321371389,-0.03181741975270306,-0.012974049396515561,-0.15310031353228865,-0.07223082348125218,-0.029362056545854047,0.029623729930816353,-0.07697637365943513,-0.09615209341919452,0.029748057653387047,-0.09110455756030804,-0.12008747150877495,-0.012469100558142552,-0.008252211370589652,-0.03401289359177818,0.03512371059451197,-0.02611444179125636,0.06659286911382718
QDPR,-0.0620597397186029,-0.03538944691671688,-0.0028427183469512713,-0.009292010867233974,0.16013812791171786,0.13708745758132498,0.1395082023424999,0.05617728384603142,0.05495135416817979,-0.2907584123984378,-0.033445803579771866,0.10748070253405027,0.01093007004287934,0.08081391040004818,0.12278689253887741,-0.035102154199040544,-0.017795892381552093,-0.016384866929376445,-0.032248970725945465,0.13156844702993983,-0.07877481460907898
POMC,-0.018390341348000373,0.019491380282709546,-0.03141899732118647,0.01530708732520445,0.0547579513804895,0.007941414701532486,-0.021444781988421296,-0.014503167483483148,-0.02950171008651743,-0.09607603497137449,-0.02063002782697346,0.09129439739499416,-0.0037076642338088467,-0.009263348362648558,0.05012694934697291,0.004134892124004064,0.005969380194411081,,0.09522857902090016,0.023716425972172484,-0.016637254543738853
CCL18,,-0.05748923429076614,,,,,,,,-0.14661209903038247,-0.07351681445828465,,,-0.05041341971736107,-0.017267809182940283,,-0.03947811639944736,,,,
CCL17,,,,-0.018441804025627236,,,,-0.03020071159041874,0.010875987080556595,,,0.03162429823508694,,-0.04417640029623935,-0.023952800932020662,-0.01954558666181097,,,-0.028466653156039384,,
VEGFD,,0.02498852579873902,-0.01126381587057976,-0.03206995207148272,-0.005799307519459227,,-0.04004894793291533,-0.010213419287351021,0.016649524310243195,0.10410317813375115,0.0013824306680074434,0.005466554057350377,,,0.02228617262705741,-0.0206145611962018,,,,,
