,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.0010505196535054247,,,,,,,,0.009474008895429967,,-0.0188073151790369
BMP1,0.004116339107320928,0.11971893116081773,0.0037899756130853877,0.03259678527526425,-0.0379488859468546,0.02176546754227483,0.23249431800746329,-0.02091240254398586,0.03340625306952912,-0.16961991182998562,0.021030044467009592,-0.06513236471622619,-0.023871673038043655,-0.012114118397272016,0.05220018117345957,0.005206884773333183,-0.03869775093512784
NDP,0.009089085551455347,0.011719605132799248,0.007615631889078521,-0.04573288411733794,-0.046800634475461074,-0.0346351055388834,0.07191673294282254,-0.005692644872957254,-0.0828890485571296,0.07060608473709817,0.0336646115850374,0.09249757126824595,0.08955692045277816,0.05493670238618365,0.043747426141348314,0.046143990300904145,0.04012021734518317
TNFSF18,-0.02887192797775691,0.08157456576068296,-0.02082166779802339,0.04239908491062608,,,0.05875190187184584,0.0059928104207312245,,,,-0.055773255766130195,,,0.004391896297347477,,-0.017521935284022377
IL36G,,,,,,,,,,,0.01557436338014846,,,,,,
RTN4,-0.040151040134027205,-0.0013660332120098723,0.058589167308289995,-0.01970903193649346,0.051891983967522134,-0.07270550925990396,-0.27613957864674415,0.040012082384354344,-0.043346236897102174,-0.05263042630061242,-0.06581187087580682,-0.0327136622550521,-0.11181221344243339,0.03239983463428778,-0.05773892797274173,-0.014798085089758651,0.012064544120268455
HEBP1,-0.05342179367948635,0.02722548688811902,0.05455104212176711,-0.014927587967519465,0.023106722133895675,0.0017974337761804571,0.09555882414758701,0.028429942682911945,0.019655186723680915,-0.07020716305544501,0.02474392218692575,-0.05150785215323949,0.010876971591227726,0.09977687085120292,-0.00015517444334621093,-0.00356489087968386,0.05625997264527405
WNT7B,-0.02543526425447303,-0.040308774756385196,-0.054512683733677854,-0.021845163683898074,0.02817682848589131,-0.03835217006330192,-0.11803962899905253,-0.032038694406384335,-0.014367010071942939,-0.0959866568260787,-0.021343241253918333,,0.1712672192607961,0.12059641604781549,0.011934498108714137,-0.023135557265225024,0.0011359939983166918
PTMA,0.0027601807363247287,-0.1120615743101785,0.015323566760944088,0.01356733615446931,0.03224341029844852,-0.03411412698375906,-0.0719027194302041,0.006541161193975169,0.04352255143564264,-0.07313660924640795,0.015002977860753596,-0.10622871585057415,-0.11235538614063564,-0.07908450997911608,-0.03421653206847774,0.07037635731302903,-0.03983139229687052
FASLG,0.012101634204641939,,,,,,,,,,,,,,,,-0.016311578038570414
CEACAM1,-0.007785792710472164,,0.09797275359416832,-0.016764849229269782,0.02028305472834647,0.03413403782942271,0.018475696172103106,0.039769773789575774,,,,-0.062272772489959355,-0.0025420016806547334,-0.01808102156935957,-0.04225919306693515,-0.015355405833544389,-0.004145947651713519
