,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,-0.01929671618170084,,
BMP1,-0.06894162094459053,-0.04119103246008043,-0.02167013518967483
NDP,-0.03637357284583569,0.0455462233445696,-0.07970139308140617
TNFSF18,-0.019900362791145307,,-0.0033304524024034745
RTN4,0.002161878065297942,-0.0036474240835815495,-0.012064736193416681
HEBP1,0.03329908837855686,-0.060646052692567266,0.035869163943294695
WNT7B,-0.02871250902981747,-0.019769035572333265,0.0011937207556281303
PTMA,0.0837449322734545,0.00921431395222791,0.09504193142402786
CEACAM1,0.006401202624747253,-0.01312099642428908,
PDAP1,0.06568358011530417,0.00919767644072726,0.08646401520315847
QDPR,0.11114171262371612,-0.03992267407720681,-0.05148943374663267
POMC,-0.05273761576939157,-0.0031009361687721676,-0.04782580968064977
CCL18,,-0.013182355437610803,
CCL17,-0.025441605610393762,,
VEGFD,-0.02683304138472451,,
TNFSF13,-0.02728283182957742,-0.014733999582031252,-0.02605752956475448
WNT5A,0.019030832928612355,0.016264327398395985,0.013839586496303857
CXCL8,-0.021922886990510055,0.03583836056200979,0.09775934088846457
GRN,-0.04405710422342049,-0.06666014706012804,0.043931579374238194
MIA,-0.04107004155352329,0.016344473167001952,-0.0022753855536311904
COL4A4,0.10873816544960441,0.029017655445627184,-0.02912323486364553
TAC1,,0.05959947974372468,0.009965574133877693
RARRES2,-0.021702814711862327,-0.005421304491217014,0.11006336432807878
FGF7,0.07006729947166752,-0.048997877411829836,0.003882940302962476
HBEGF,-0.09941248521578153,-0.0014853947833744108,0.08376954917283376
CSF3,,-0.01881074068482506,0.07141017016536631
PI3,-0.02161679339816075,-0.016676326008908754,0.16257655028034013
PCSK1N,-0.055228925992326754,0.058988469994716256,-0.07151979657417575
NTS,,0.041337482250990674,
SFRP1,0.02989390152206475,-0.03480410394805061,-0.012025039854476607
CXCL13,,0.06059900651501117,0.055388285086751615
MICA,0.1139092667732012,-0.04426519346595812,-0.008382404487892273
TG,,-0.015481528640378021,-0.027383271997892682
ADA,0.049714278150085014,-0.026046581861369697,-0.0036905062453754275
LAMC3,0.013213000115181362,-0.026454523036599828,-0.03306600307387096
CCL7,,,0.14781829000549862
NGF,,-0.008767950768709539,0.08762365342929
TNFSF15,,-0.011681147024704993,0.07122341980270365
HMGB1,0.021901667429406572,0.024075126669176675,-0.04735438513428427
ITGB3BP,-0.04401325742697195,-0.05557397036407781,0.028965547131817877
AANAT,0.0010748377663098024,,-0.018705272514508483
RELN,0.013944148551798681,-0.014109559692747266,-0.054639559066801034
IL15,-0.039190731903462624,-0.028493912710445674,0.04774285820534172
BSG,-0.0435427624250784,-0.037310381284515304,-0.043027928392067566
ADAMTS3,0.044475836391783256,0.03744689414084356,0.059936252002550934
CD34,-0.06574620041796535,-0.013554741977063661,0.027408006496937486
PLAT,-0.04851621476148237,-0.04261646796470984,-0.08039445596759379
NTF3,,-0.00347184827502757,
CKLF,0.04898496343620343,0.020797016136382594,0.013571612586421132
CD24,0.016783323731771632,0.034572991505121824,0.02915062404559722
HSP90AA1,0.001453262895103306,0.02449243527324088,0.028259984826616725
