,UKF259,UKF266,UKF269,UKF296,UKF304,ZH916inf
IGFL3,,,-0.013038932073816935,,,
BMP1,0.0443247757648566,0.01095789123803505,-0.12041743276605314,-0.012313001811274217,-0.022427339993370328,0.13791330603388469
NDP,0.02391704391030655,0.01418681088263094,-0.04448215003590317,-0.0054698065501163915,-0.05589819241441538,-0.0230633696334849
TNFSF18,,-0.019545624665961308,-0.019362422690150663,,,
RTN4,0.01794002715600968,0.12291799280560264,0.11681812507662422,0.04040550913968168,0.025075245043611086,0.04457983932801539
HEBP1,0.0017829538736149153,-0.008159830084327885,0.03609100352833627,-0.009374020206151253,-0.10011737168078215,0.027736908406541604
WNT7B,-0.02208807986511658,0.062934733153881,0.08045591387537204,0.011109389630185026,,-0.037211947017403706
PTMA,-0.05006917290040573,-0.06687134526632987,0.011460546720591405,0.014882681925391534,-0.09750838438288227,-0.10843683417365696
CEACAM1,-0.025505399688981738,,-0.025479845459101265,,,
PDAP1,-0.0091889622190587,-0.04420347254430378,0.00762323353712771,-0.024944340299405756,-0.026967138732997466,0.09069516937190113
QDPR,0.00013498879567160822,0.017452663774906813,0.011547896046648123,0.02106890803852552,-0.048142386455623666,0.038432650892598404
POMC,0.016133566456264813,-0.020360983700525092,-0.03284493339290132,-0.0019808257914467288,-0.07921997837661635,-0.055715363866061775
CCL18,,,,,-0.003877058628314433,
CCL17,-0.014783245121266064,,,0.02403977032168184,,
VEGFD,0.05679015789701869,,-0.021843708835869956,0.0157527344067061,0.01916988921316254,
TNFSF13,-0.01019715162585378,0.05742746621357575,,,,
WNT5A,-0.0253960557632011,-0.040621445021709855,-0.0653917422472362,0.05160375343200153,-0.07296946733546528,0.041752363636911816
CXCL8,-0.04554159432123691,-0.02696251196903541,-0.04343371095164518,-0.016219080820459714,-0.05584822947436872,-0.056366553296855394
GRN,0.01690818217474593,-0.045049511784026004,-0.10069404261840463,-0.03774383339728392,-0.07615291709000252,-0.07551582616402176
MIA,0.03255540568029401,0.012805673056437428,-0.03724691287554209,-0.019807697013914813,,
COL4A4,0.05012036571030305,-0.018035014874785076,-0.012848899741834197,0.009628800903972803,,
TAC1,0.03813760544520222,0.0889738661587042,0.11696772090682625,0.029833483994862374,0.08515262016658472,0.07588385012160509
RARRES2,-0.038447833517295936,-0.0345227782430863,-0.11324193710305498,0.017828108625525866,-0.038694102276902315,-0.040670876582316474
FGF7,-0.026204673609127063,0.025170264271325474,-0.03661740791244624,0.06859053640181295,0.049476947788607534,-0.05045764866495911
HBEGF,-0.007269615950778176,-0.046875856236363346,-0.013159496343455245,0.011724672754473805,-0.029497899067972337,-0.0003329262759105793
CSF3,-0.01762033918850509,,-0.013593888616250889,,,
PI3,-0.03040738569341353,,-0.015306898001807722,,,
PCSK1N,0.051096156853631516,0.09940504176136794,0.10199100958603706,0.04458934425946551,0.08266507074717061,0.02288422764902724
