,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.024181357359164032,,,,,,,,,,0.004780191722788779,,,,
BMP1,-0.06621907437119617,-0.02788497971218147,0.0011404485200524708,0.044431578827070856,-0.017146906051763364,-0.02383041019903584,-0.07676874309491115,0.10570694018195667,-0.22497257872339424,-0.030281108699571027,0.06995365637736223,-0.05316542487013055,0.04515106781531393,0.03412612035210132,0.017876944230158332,-0.010541426948850819,0.02007763977104544,0.010225968028284297,-0.11852199840233636,-0.1012127162729216,0.04691482095916105,-0.04069540627510905,0.14434117194561455
NDP,-0.020148344174524463,0.020415138544306773,0.05974356976050916,0.07411880748576598,0.045901160545816735,-0.03409646263222879,0.12603791096488867,-0.009111893953416429,0.021320502683727753,-0.0027293418252002963,0.04470525992533551,0.02827217386856391,0.02338366609798346,-0.04896511657609568,-0.0017603699526183266,-0.05800721124752135,0.008129921677752058,0.05115001146102151,-0.08137875443682757,0.07621418099117944,0.04780050163617125,0.0327119094511587,-0.011094769587242667
TNFSF18,0.05244171524241752,0.024089927905069898,0.03726396516301963,-0.012389745467606812,,,,0.0073045600587737635,-0.0980941242842787,-0.010749108133355608,,,,-0.06688437869188944,-0.0313913126916641,,,,-0.0349055895619557,,-0.009589893699519958,-0.048199916052229785,
IL36G,,,,,,,,,,,,,0.005935249173985766,,,,,,,,,,
RTN4,0.153428110908189,0.10810132141918222,0.028659281712112704,-0.010458712104011223,-0.01917091365224823,0.04590030528490249,0.17778182118570457,-0.0058828039179900935,0.30793095613040694,0.07142646254408751,-0.006818197019058231,0.023838650640059286,0.03823821302660605,0.0979026327961673,-0.013205908147310364,0.1186340970245222,0.10936056118136889,-0.015854284113893925,0.2748419866884976,0.05196120348619579,0.0866100567811168,0.21964519658646703,0.08048521616595593
HEBP1,-0.04011306827679312,-0.07285235574647393,-0.00010781243520363115,0.0427144659290751,-0.001344447953574261,0.013328083396941947,-0.0017977810330659016,0.012072157275184344,-0.13687521099556327,0.0031243132492176627,-0.011332116200106903,0.13968058616797216,0.039303121410084615,0.06656856663737536,0.03073374590474904,0.04398856108539812,0.04888127715029251,0.0718857394962448,0.017964244343006006,0.020871967643074994,0.034106570834825906,-0.02125385309432213,0.056751634331667994
WNT7B,0.02223823264175372,0.22298528902399703,0.06976226337540903,0.014597571636540269,-0.005861427120417373,0.03543283849149214,0.034770001546067776,-0.017376116557266362,0.030904005948653054,-0.036432688765782754,0.05229587058286655,,-0.058170994249651206,0.012637292512395825,,0.014489305744852677,-0.017939159425550424,0.04233267470712102,-0.02043211185063725,0.004543334050448619,0.0018482249690136138,0.0038867559097140207,-0.10382631549501128
PTMA,0.061854411615592825,0.006074190743978564,0.04080485668108941,0.026228636510447545,0.03312887013557425,-0.07837913067798882,-0.10685229264513091,0.06433312068938143,0.29193774050783095,0.04155205090492275,-0.005031413637788622,0.12023303639769108,0.03671580474719422,0.054131036839970476,0.014196613987714258,0.11410408844792642,-0.12045803523613552,-0.08670104417275838,0.287915615289676,-0.08984046698736767,0.10979744332882782,-0.11360313399647663,0.043179774187168965
FASLG,-0.013388855913568684,,,,,,,,,,,,,,,,,,,,,,
