,MGH258,UKF248,UKF269,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,0.008920853947411796,,,,-0.01908563042733806,,0.08508786779170312,
BMP1,-0.035307891646281266,0.08264328670882805,0.13402788796215767,0.04926992850529971,0.03048934465586281,-0.004813197740826377,0.08945110108668429,0.004825377268031531,0.022223196605931,0.03381494676651213
NDP,0.003961902810340418,-0.03185764815499762,0.038695345771087034,0.045096724800575874,0.04446645039419029,0.040367809756137255,0.010674459442779442,-0.020637260961754764,-0.02279456479585297,-0.0297049694219748
TNFSF18,-0.025604033358619868,0.10203669743436569,-0.015284280933388883,-0.019420524464503784,,,-0.019682673778553338,,-0.027310467434062263,0.0893030620198447
RTN4,-0.0027939531874182516,0.0377052638669193,-0.18186061395011688,-0.017840726820542004,-0.09363140456773675,-0.008001812785226856,-0.016277369263030507,0.009101358987062323,-0.026702611316652528,-0.058396705334205594
HEBP1,0.005760180401076032,0.013139507522929897,0.09309772570963323,0.03446968217179536,-0.06509768345667347,0.05720339299922197,-0.02178824678513411,0.02261866405348693,0.007444060120912808,0.024684875875708723
WNT7B,-0.022556351448319006,0.015016934501449065,-0.039312106683807385,0.03219512224120096,-0.05212265731938669,0.01494792406397804,-0.041158063157831874,-0.017648218948083445,-0.009845208067390702,0.02649603247493599
PTMA,-0.05765296721825518,0.033414731025550024,-0.09412093989323517,0.08384883951972912,0.1104857476360497,-0.04796853535581436,0.06159677040944275,0.02811390205169207,0.060340567028483574,0.021735084369551946
FASLG,0.018706891125939522,,,,,,,,-0.014042009212813627,
CEACAM1,0.014357103251520648,0.022692053096763153,0.18123817015400626,,0.036809274319260135,-0.027509525847832034,-0.028281947320825708,-0.024749607336525776,-0.01953739342387839,
PDAP1,0.016317523593065122,0.02134956594777442,0.13140436464914462,-0.005453763294938512,-0.03336847223432806,-0.05014683777297625,-0.07531366206368607,-0.014394430391535455,-0.03862563652204708,0.011905609941468932
QDPR,-0.07513631408384187,-0.024748080513403815,-0.146916087188894,0.061379327688773126,0.010191096862254383,0.03293812185030656,-0.039080476569413804,0.005790754493288757,-0.023872099132125974,-0.08750763348986508
POMC,-0.04128636100509354,0.027967579938545258,0.06492829219046746,0.08334119608989093,-0.07303613713228473,-0.015270154197711617,0.03141112102613349,-0.04048710635475831,0.01822025982052144,0.05109193504392456
CCL18,,-0.021629328775557188,,,0.006394553781598867,-0.03175240131249071,,-0.0008028047765900422,,
CCL17,,,,,,-0.019516677090558314,-0.025163301236639065,,-0.012727504158291875,
VEGFD,,0.026730189448507802,0.017765978613775497,,-0.050126330520698134,,-0.026539516168868686,,,
TNFSF13,,0.025496933744283,,,,-0.03744957188690837,0.12190019301393068,0.04244919105019821,0.019504783530661995,0.04328269142168528
WNT5A,0.013259734732281914,0.039949936574433784,0.12577669435291577,0.11952708780288755,0.011279765819164626,0.008644654605472119,0.02966276979058415,-0.007959323559111449,0.054222656658173295,0.02508103177011639
CXCL8,,-0.025045691590429284,0.06335874934082596,,0.017017422462860636,-0.07700178377069838,0.020470924944963335,-0.05201856293635066,-0.04281187478824505,0.03988673800910018
GRN,-0.07101516520508311,0.09356763424313866,0.1709411537268481,0.09232292327124278,0.06928325981298707,-0.005922108535664087,-0.011781866440546076,-0.021900256127505985,0.08013865414780144,0.042398923226418674
MIA,0.05174592549172331,-0.02640236373516448,0.08506294520924941,0.21073789197859708,-0.01017758645151435,0.0398381865759045,0.07123837979175503,-0.04976823700506124,0.005734401079902599,0.06923451965958352
COL4A4,-0.02612301083884344,-0.025976648126209024,0.09190275511942415,,,0.04886478407034664,-0.02498529337990697,0.07740807348127329,-0.01394233333555522,0.0008480831790127397
TAC1,-0.0021408765559727907,0.002246471011674363,-0.0953038679453593,,,,,-0.034063993592253615,-0.016731598403169925,-0.001895017081667244
RARRES2,0.05972930125234865,-0.030892466183783995,0.1610678349011297,-0.029530937619911476,-0.03086887821872391,-0.05358721607431095,-0.050883242385627435,0.05837083147841247,0.04646101935250479,0.0604649303266477
FGF7,-0.0015133828555221247,,0.034502535045237155,0.0355201368786957,0.01514483797431945,0.0039021826587754137,0.05200565723020054,0.10370406608663986,0.010284030473525637,0.005281610184708179
HBEGF,0.04766048841568707,0.04457247266827904,0.08453108160607291,0.052963164611989855,-0.07875816211420919,-0.028169846074254302,0.04254543375167159,0.005766407026382068,-0.020652589187876085,0.08214627653666993
CSF3,,,0.037283280187776,,,-0.07117312154286629,,-0.013868489413854624,-0.013400098429421381,0.02667303782739369
PI3,,-0.022754965802329552,-0.014957126960842483,,-0.05276539611876699,-0.06563158958640666,-0.021380328442238233,-0.046337624279759064,-0.01456531508788677,-0.007409794078320837
PCSK1N,0.04710347613124721,0.027047423921800498,-0.058845681066384256,0.01713153766472096,-0.11033080904972793,-0.04102312127437859,-0.015588774255757987,0.0022855842541550865,-0.02005327760485931,-0.05751859485782578
NTS,,,0.07995729183243834,,,-0.04553037604106077,,0.049614017121044754,-0.0198437185202368,
SFRP1,-0.032820052548033316,-0.028524962731561222,0.018554731491258594,-0.018962336518722835,-0.06497355358716687,0.058915525213303274,0.03961912201021269,0.03909535054418465,-0.01938260077473401,-0.0035734365594450937
CXCL13,,,,,,-0.043838458224856325,,-0.05787843248344403,,0.14117562555733326
MICA,0.03665987996872519,0.00030221469535950785,0.08124472279703636,0.09705469380250521,0.014677108827975053,-0.012691080170589392,-0.03299693853341517,0.016154069926066193,0.03020464752103314,0.022449480735885357
TG,-0.02612300495192237,-0.03406094554449231,0.058754048783960594,0.029031283715376287,0.058565122896431,0.1054727824961047,,0.0657827539151153,0.07144181338463505,0.08843873125325298
ADA,0.022286384514253386,0.044682396788508195,0.16211721490076972,-0.0031975035596974333,0.10453961912303068,0.04395299457849765,0.023189721585340013,0.040470639656111106,0.00659884888407985,0.04439288687941487
LAMC3,0.010678161262950006,0.1187709925706529,0.12678877322144178,0.10007176875544363,0.0991977510167364,0.08115063159534251,0.08235840206073715,0.05827440068896418,0.06929913499564821,0.08313659027829705
CCL7,,-0.013758080298612627,,,,0.06050545752341198,,,-0.01404200421964276,0.08310316850674496
NGF,,0.005945831580615163,,,,-0.019816342995263737,,-0.04823011283357127,0.06560937670486452,0.016360161736167913
