,UKF248,UKF255,UKF259,UKF269,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.019648801167541228,,,,,,0.02196956033052736,
BMP1,0.09321868749746824,0.0011642549222386784,0.02731223825777859,0.08744558123984786,0.008870703950335162,0.02237319051558482,0.019985973218347615,-0.03640397830240515,0.007627116356005368,0.029939029016395478,0.07917510711443894
NDP,0.018845794256378876,-0.0001278790835898304,0.04149454371705599,-0.04724376111412527,-0.056195769627829184,0.15946587764881412,0.04879216763976315,-0.012884384561123563,-0.03897454068571196,0.08598702748894689,0.015487370665756828
TNFSF18,0.11824419213305824,,,0.026112427639364874,,,,,,0.03901909832948264,0.08029743418674827
IL36G,,,,,-0.014714570018234861,,,,,,
RTN4,0.026153720989844295,0.022344308388935818,0.031547094152409014,-0.14199376283774023,0.027281591148401767,-0.02210558395934695,0.008546092497943289,-0.04637852553385255,0.030476222677717903,-0.03150820682952662,-0.04882264434494252
HEBP1,-0.04055332992833006,0.02520631374956154,0.023857281479063536,0.032616926775972936,0.05882398805758203,-0.09754198496989429,0.03464398093862031,-0.010829588818840568,-0.060696519358969366,0.06558852761995988,-0.011355729901398678
WNT7B,0.01914413591448578,0.0010812868977698458,-0.021738202548612143,-0.036700627673735824,-0.016173008177681837,-0.06166433329185313,-0.032997077777050486,-0.008233098192059685,0.05579903605887223,0.04268750444210278,0.013445279625879453
PTMA,0.00975300908604539,0.12057670974390844,-0.01942433736612883,-0.0522239457766786,0.0527730343309844,-0.14362099105268603,-0.0228073974834958,-0.030970220480520234,0.07776183848478241,-0.059433209490814404,-0.022742594054640342
FASLG,,,,,,,,,,0.08122355356208581,
CEACAM1,-0.003311423162554035,,0.06119449141859943,-0.028355132683567034,,-0.046434789315568485,-0.018489890155958488,-0.01626885978769485,0.18240399259991133,0.06288059824374422,
PDAP1,0.047378170435027976,0.018587892290282144,0.0055806774997750625,0.10383174484820684,0.020670619928877483,0.007069903442509612,0.06437464227163239,-0.04998918062754221,0.05217238724940124,0.006279870291444145,-0.02939893628549435
QDPR,0.03787900277282864,0.04442199307166524,0.014213568566222315,-0.11920223918481733,0.05854004773254802,-0.04999238579501578,0.06276776139768842,0.023601348385136122,-0.046930324471954624,0.042627512925447766,-0.008363739908648695
