,UKF248,UKF259,UKF334,ZH1007nec,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.04001421598410184,
BMP1,0.0002926946911899764,0.003983246426611502,0.07233288920604096,-0.04750901753143961,-0.0033780216099410986,0.052058735180166224,-0.009934637447411495
NDP,0.011571291016262381,0.007674854393279846,-0.04262552337166272,-0.004386545080788218,0.006469553349270061,0.034362163235814404,0.053523278151823186
TNFSF18,-0.0326463091289844,,,,,0.006311542987656801,0.2966502796422848
IL36G,,,-0.015082913624073224,,,,
RTN4,0.011043279617599613,-0.02437596458974835,-0.013919575813687841,-0.0884251421305969,-0.004988487484908962,-0.016918768287143005,-0.04891713771268819
HEBP1,-0.03046848585191705,0.00825174689057726,-0.025984196505450995,0.009514784189517933,0.018300160718192047,0.03423228803074929,-0.011105798246490396
WNT7B,-0.018476669903074144,0.07259005834094287,-0.016577860248930827,0.03420789303458403,-0.03673614857804061,0.030776485660077634,-0.03552054448471641
PTMA,0.0016425443962425606,0.028860711389260146,0.11614412380088342,-0.10310387354085543,-0.037521659316600335,0.005969098662770866,-0.026037142484567715
FASLG,,,,,,-0.013204617067723618,
CEACAM1,-0.02077848106574074,0.1588317006911131,,-0.03891296416933625,0.000266029814838368,-0.01837228524450476,
PDAP1,0.002788982083214179,0.0011935451515114176,0.06320769057853208,-0.17477134222921134,0.02413232857000951,-0.03621749143722586,0.08700993982007799
QDPR,-0.0015955395817383864,-0.06476112561234063,0.005722200921883993,-0.0920800983331379,0.03285908316476075,-0.001103926736978839,-0.06366979889382429
POMC,0.00017854972409773488,0.0028377083864560724,-0.032315304100257465,0.030265255432667948,0.03766317034918403,-0.009920095913522333,-0.055197538930461226
CCL18,0.06770692441557759,,,0.06275765042779094,-0.025559323556463818,,
CCL17,,-0.014555480165642011,-0.01377866979936349,,-0.014604115036376809,-0.011968502234334401,
VEGFD,-0.02592958936933139,0.019299210295583874,-0.01476702719535766,0.04871685129284496,,,
TNFSF13,-0.019567300213739525,-0.010040044456994537,,,0.002557117265138406,-0.0195016754205566,-0.03204683628659331
WNT5A,0.06659616462685994,0.003768062677769613,0.041895708876990186,0.04779792179441327,-0.031578112153305055,-0.005578149458721686,0.03069656087971029
CXCL8,0.07985800074072202,-0.019615279737437236,-0.02847784667882104,0.16954371725282205,-0.013415272249052647,0.0009696744666786649,-0.007491239166493731
GRN,-0.011399463939572653,0.019316687605419373,0.0024432190465329662,0.0894049785028734,0.021627574806773263,0.02131843262065926,-0.0030137223827502654
MIA,0.07722232447945968,-0.03064895807759889,-0.02022412048087085,-0.06649583747045594,0.043895421824885636,0.08528228160934218,0.04112983796554056
COL4A4,-0.007590715054221053,-0.0065300253924639295,0.08614314983218418,,0.0646709982554001,-0.03514772860491719,0.024121603132459594
TAC1,0.008062193586795498,0.036268710068728956,-0.034767462503046694,,,0.06404510268597434,-0.08475882282028371
RARRES2,-0.004600332980258197,0.030055026557345727,0.018188407267666795,0.10198706930495575,-0.013807511677817469,-0.014174814979105714,0.016330602206325318
