,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.07774343443364934,,,,,,,,,,,,0.02229407204452054,
BMP1,-0.05377896852572352,0.0295922993421933,-0.02126780086775903,0.003982096329690278,-0.1055114606813385,-0.006024041860252507,0.3732607489914252,0.09064694297324068,0.014595988799739983,0.03377254730148146,0.017441178551902914,-0.014060422246174114,0.07729618559974172,0.035902343351427266,0.030861462583500414,0.12086515397524783,0.0619900058669364,0.036979016313059276,0.048068692887119506,0.09357937661341842
NDP,-0.016400913519653476,0.049487565541541496,0.030628303919800193,0.0377215517934905,-0.08535530558066375,-0.08571945652192856,0.055209630147289204,-0.05245337214268389,-0.016134477329041805,-0.05757254651326795,0.026031036695858795,0.08815870402616577,0.0001751655362204439,-0.023709566376979064,0.021319299803520802,0.07467462689203538,0.05067074454538554,-0.042883385596105245,0.06088273068752469,-0.06117829556309741
TNFSF18,0.0188184886579201,-0.08048000279429421,-0.005541431787506875,,,,0.10094830530891741,0.11825220609470123,,,,0.06762919288872106,,0.033498053016247364,,,,,0.06067104026888773,-0.006468694936502432
IL36G,,,,,,,,,,,0.11174683799865985,,,,,,,,,
RTN4,0.06641065059752363,0.05912139883395246,-0.014861438287214727,-0.05258506328075229,-0.03756590105922601,-0.0061034786123513145,-0.29184420756363294,-0.024231764802208774,0.004937250217782527,0.13417189906404808,-0.013400765274061175,0.003878202260171802,0.03019164972052526,-0.11521842369358026,0.011808236917234299,-0.014194337296126668,-0.06824796554804492,0.03427920424231396,0.05225434875729538,-0.1269265244700625
HEBP1,0.0029207460767691983,-0.013050140548435282,-0.03285389542019452,0.034205675250308404,-0.013869834838641097,-0.0032432772133566597,0.1632409677544184,-0.04264178778678053,0.09671343100769425,0.0628362381051619,-0.022141790003083202,-0.004005427653966046,0.04671343663826193,0.0020546755391411286,-0.0499553808143078,0.01713082157816928,0.022470001467632183,0.04128757578565393,0.08347146248228321,0.0864594478469987
WNT7B,-0.007814780673442864,-0.01095124152326162,0.033142729763448224,0.040264220899226696,0.057642942832317,-0.05608742757827349,-0.09303637326013244,0.10977981170425274,,-0.00019144400001907408,0.11776426817094222,-0.0341015500059719,-0.008930645319970097,,-0.0392538908234514,0.004809521443038448,0.010641652318454696,0.024096149235359896,-0.001991888264383632,0.11695284957560567
PTMA,0.01148759648177555,-0.026645331518344476,-0.03744199923096771,-0.13896917780585577,0.03074104610672523,0.015351210693357462,-0.35487610651497853,-0.061335570063662054,0.051762807443791255,0.2358171820513499,-0.0193352635992533,-0.061786772292950605,-0.13021524549373847,0.04825948033482842,-0.04096792882159289,-0.08548263023176957,0.0015842706579925563,-0.01269885243993848,-0.10206022874703481,0.019798719925408517
FASLG,,,,,,,,,,,,,,,,,,,0.06439332914003142,
CEACAM1,,0.03813183726315868,-0.028386517482307635,,0.010451924131566731,-0.037339882780179384,0.12143020346153684,-0.0059833143484810895,,,,,-0.07437767534004473,0.0791822650286896,-0.035203518033709934,0.0884235543956621,-0.03606103290344722,-0.02463630791340588,0.022348928717440836,
PDAP1,0.03031941491602174,-0.0022476045132695096,0.027156425348728756,-0.01612564867224779,0.054745484545728425,0.05844210461545371,0.2315560663577876,-0.004556606814002739,0.03911628329951026,-0.022747497223058327,0.0357005077513885,-0.01318168239247365,-0.11104250861484319,0.07114037386721007,0.06079677524361555,0.023306626573068884,-0.011541735619208694,0.02253721794722739,0.0263049402056838,0.10593507386818249
QDPR,0.025169220727388416,-0.035314457841520486,0.01617307082039554,0.0069523143224262994,0.06000884833562841,-0.13725771715204946,-0.265983446406804,-0.14778908320120038,0.12028632909732731,0.18045094614911278,-0.07245441813039215,0.01941570814516393,0.056513713257954915,-0.016488912861119823,-0.10449859345100068,-0.04877688046139867,0.03182997325652615,-0.013988177913562872,0.07870482080836817,-0.10822572949205579
POMC,-0.05811333426446943,-0.0018502668121083,-0.030613514634396204,,0.0961413091736601,-0.039134300114828144,0.037202724273016234,0.054849538748567336,0.022617698103354962,-0.03878167115368865,0.1043145462284386,0.10927952725773216,-0.0004999113657462761,0.031383670140191174,-0.025106319436415555,-0.002757041158913086,-0.027745853470205036,0.07756116146590249,-0.029905292036900646,0.0013802858500613466
CCL18,0.018775300181960497,-0.03473379772134414,,,,,,,0.022369456874880497,0.16502985978855783,,,0.11568610372811922,,-0.024959873087259016,0.07858851611637839,0.08089577583135775,0.03139189947998472,,
CCL17,,,,,-0.07276419917565703,,,-0.043391206380528034,,,-0.016657370330726947,,,,,0.07304712831300743,-0.01726300552232623,,-0.002953791003611979,
VEGFD,0.08752760472172957,0.0863962618689091,0.03279873846579053,,-0.026910621412202487,-0.011097274784914353,0.03431199532189083,-0.04553703372095693,0.07642499623742913,-0.02554369098514287,0.05684851839310052,,-0.026709084235250098,-0.0457219565373649,,,0.1190666863326948,,,
TNFSF13,,0.0451443196642125,,,-0.019306265136187464,,,,,,,,,,,0.021785434108199244,0.0036242015167082166,0.00022513264225528415,0.09866862284385172,-0.010411447323237314
WNT5A,-0.029840836119613745,0.07392390878694537,0.027600038095506485,-0.09647527139448393,0.021606155696943685,-0.12109869875659443,0.21530427646004313,0.021194389912933483,-0.038671970641944504,0.03566482011160424,0.005176304898513396,-0.053431651797164824,0.027103850760729704,0.03249727923171003,0.012519710880776734,0.04238107918312927,0.035655311538008536,0.026731193708167088,0.0031274867769405836,0.08151109448757547
