,MGH258,UKF243,UKF248,UKF266,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916bulk
IGFL3,,,,,,,,,,,-0.01799640933833633,
BMP1,0.05305386193567063,-0.005079085250427185,-0.003504609576064576,-0.009207225993243669,-0.010073916233621886,-0.08441282968213301,-0.010085867705428585,0.0210473985818772,-0.05410617722719983,-0.08729439622181398,-0.011930744607351624,-0.09474666375531629
NDP,0.041257716783476034,-0.01276392093672613,0.02210469503246722,0.03194481223008416,0.015520972002433983,0.01816857599802419,0.044653182252283666,-0.04338369744737582,0.026090699916026645,-0.05868998425884009,0.0284714016579675,-0.016143199626937027
TNFSF18,0.0562102068081016,0.021534759671663007,-0.0355782266115159,-0.011239796865898545,,-0.029717776344421038,,-0.040885649546989866,,,-0.018559379295347112,-0.044524160989278264
RTN4,-0.017864142107873904,-0.0708701445429351,-0.00331972988906767,0.06158805789382927,-0.043542466514001614,0.0300697541649387,0.00012687021193293326,-0.002421761228379974,0.0685965552280524,-0.023129710974566148,-0.022693391816781722,0.12116512992365014
HEBP1,-0.029959664605721904,-0.06898356426606281,-0.035440670763311206,-0.016259172327403645,-0.04216863957727373,-0.009122355079901058,0.07905442964583413,0.041114279860618434,-0.11072347921147539,-0.0981150024671167,-0.007273779906943886,-0.017510426546918544
WNT7B,-0.01622975993057047,-0.04771687373928394,0.021545272016445655,-0.05152576187688497,-0.04297921406517895,0.10552561491214026,-0.012983183667761067,,-0.02458897371970817,-0.03692432132439005,0.03167199770768023,-0.05196217604169948
PTMA,0.019196791706577086,-0.041395385756198055,0.02371412480866049,-0.09580016827027482,0.027791571821758586,0.09197652259506497,0.04289046603327158,0.04165192373089432,0.08083858268490503,-0.031800817719179204,-0.08196183712553208,-0.08302059613091563
FASLG,0.09720273079939408,,,,,,,,,,,
CEACAM1,-0.022535170072012518,,-0.022644566192129734,,,,-0.027563885755425423,-0.02874955051387763,-0.013778414749240674,-0.017888114623842055,-0.0266678904219897,
PDAP1,-0.04396174867938827,0.0008879660608867974,-0.04243689368424792,-4.937251337472479e-05,0.07564679944286969,0.028617137285486312,0.06462224183684043,-0.011361475576521573,0.12004891760683677,-0.04295345370781148,0.032864344555781695,-0.08017382196958266
QDPR,-0.09132185124641298,0.02377195538114664,-0.0550993714657062,0.037707726220742636,0.07994010758526013,-0.019906204716205387,-0.011132388063524847,0.0120089327804866,-0.08384574883574396,-0.0377806048009132,-0.00840365386100466,0.2295813104096664
POMC,0.051116196280080343,-0.010210327235561215,0.03203692887479779,-0.029652851091502345,-0.0006649897959190103,0.0936422076387817,0.05142671723198297,0.06375629282729195,-0.03308291704019434,-0.031097955990881016,0.01501199795859348,0.11933772442155745
CCL18,,-0.03328040642330617,-0.0031800111877066935,,0.013841149665819955,,0.007133346266566595,,-0.025214329976888643,-0.04368159136713867,,
CCL17,,,,,,,,,-0.009775118370566476,-0.0258226164652255,-0.023727226149667293,
