,UKF248,UKF255,UKF259,UKF269,UKF304,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,0.10147702524388563,,,,0.10700795485421441,
BMP1,0.010537492888539142,0.006626347002987207,-0.023002505926461223,0.09135770339687324,-0.030760840382892594,-0.02644085722381525,0.013252273974492976,0.003946337012023122,0.17680678489279128
NDP,0.06126394309860945,0.0649307768415616,-0.004547613590382496,-0.004596409903928723,0.09420583603936583,-0.0018796791858838853,0.09659243352567999,0.153095700397904,0.07667078578479403
TNFSF18,0.024517169541498116,,,0.0200066639280904,,-0.046680540443962935,,0.012252400702138509,-0.025152662399312086
RTN4,0.006689368506029606,0.0003072229983742859,0.010519119618096283,-0.11029418616995354,-0.05130352430322024,0.10064062588815842,-0.10877749873295565,-0.015972466362324772,-0.21347995427500746
HEBP1,0.03692476447536615,0.035003623504678796,0.05982021321546113,0.043195367320739995,0.030647400735671553,0.06078936697639613,-0.04511770597775308,0.15056942211327864,0.07079880173806176
WNT7B,-0.013675234843255661,0.03560642423166867,0.00015872944834467918,-0.04114380691512111,,,-0.009475689773774127,0.0674578409181301,0.03169236662251748
PTMA,-0.025320085880243565,-0.047012347452352034,-0.02600175220440461,-0.08295080818185159,0.12942441186019293,-0.053610972280197795,-0.11128585438685866,-0.13406795600972424,0.014380238253156267
FASLG,,,,,,,,0.008107412397626025,
CEACAM1,0.03282542492785519,,0.08073681657127009,0.04968107772594918,,-0.053557125802362986,0.0887909503005011,0.02330796288144116,
PDAP1,-0.03670801171746429,0.028710657206126568,-0.031779041401670954,0.03980302917617095,-0.0054354478350676595,-0.021476113506645213,0.02338364071818914,0.0772789363872548,0.008756821576478772
QDPR,-0.023446713493083665,-0.007895273976851365,0.021084910149304956,-0.11506119013028171,0.08066808981830209,-0.005387778733353235,-0.17276005208956088,0.1082311699794308,-0.08972493373043
POMC,0.03332498390566167,,0.03580548562078783,0.001335295431048566,0.0355322869901872,-0.06771476448610378,0.02605814210992205,0.07081997468993075,0.08393518980449667
CCL18,-0.018243688448599936,,,,0.08134862605305027,,-0.05224815292413675,,
CCL17,,,-0.015874904061487952,,,,,0.06530713764162155,
VEGFD,-0.018243694241825502,,-0.017686396185715603,0.0113270065159655,-0.02042609378225299,0.02665696267165235,,,
TNFSF13,-0.013767277111595677,,-0.010950153530770314,,,,,0.06001097589436928,0.1123356202851425
WNT5A,0.036894648312196195,0.024322115074374536,0.020084392959921853,0.07316411947665709,-0.05822822907512311,0.0018343091917620163,0.12184195605179018,0.05895718342833764,0.051685191905158065
CXCL8,0.02251775657460065,0.03411783086628992,0.017272047602851427,0.05476691564781546,-0.01990546206676621,0.053840686146637166,-0.01125154976539742,0.011303255854359453,-0.028420338153221942
GRN,0.026124731408256652,-0.016732067845987814,0.03248411275394458,0.06979904138343149,0.0837916124768178,0.036743063548395766,0.0036363449755125515,-0.05847423549628405,-0.03988642207571104
MIA,-0.015322714514522688,-0.00578169013651587,0.0009732713527295174,0.07738176372656723,,0.08762207451134418,0.07278694339791543,0.14455206805747736,0.12718113052084187
COL4A4,-0.021910521601068805,-0.03447739658272139,-0.00655868436002431,-0.013226369700950227,,0.08016180296467505,0.08941046515508592,0.029068963117998097,0.12123671799965491
TAC1,-0.014738544024075737,0.04758643469037738,-0.03162344306628107,-0.039996432375859745,-0.0756564170552172,,,0.05045864120798933,-0.1741583694396693
