,UKF259,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.03444779848224283,,,-0.03142206982536922,,
BMP1,-0.0018570203071952235,0.10963203487157876,-0.13030701763147964,0.016498248075924735,-0.01917309292928854,0.04320285891113891,0.04404353146651942,0.03146221968758075,-0.011852768188089214,0.008715100875015652,0.034401895824305875
NDP,-0.03286643639890785,0.07761467666058536,-0.05454551715441869,0.1029107940819584,0.09370917713214931,0.028088159210280194,-0.04064939635743516,-0.004549143938241417,0.025074626535077787,0.05032113144272629,0.03850438283623861
TNFSF18,,,0.03822030336072233,,,0.11817369636317103,,-0.01521330416830415,0.11687098922079305,-0.043470726838096926,
RTN4,-0.050601613144102726,-0.00862461603949064,-0.0837067215140463,-0.03340522728859475,-0.10890372104183386,-0.05432769287677371,0.042415080438490765,0.04512007885493639,0.044603963576746945,0.0878362836933616,0.012500940582384995
HEBP1,0.022556306192407772,0.0364238836151477,-0.07688644628270792,0.02154560526985733,0.013070357913448129,0.059539789300622856,-0.012667407361325335,0.08614449650134125,0.03625216088479645,0.04617617998749515,-0.03438244896159105
WNT7B,0.04064690030922009,-0.015147659336051104,,0.042725378375272634,0.006659436804251263,-0.031135722398811554,-0.03075766899025838,-0.040316379553970105,-0.014584528923304176,0.056371071758741904,-0.03860992730051701
PTMA,0.06632217106703324,-0.13479645444159394,0.0440472531335135,-0.11533481637743867,-0.06840574346063243,-0.05995121369775652,0.03258669042875773,-0.05600639986988317,0.007979439837046676,-0.012471922908524127,0.10333357745935443
FASLG,,,,,,,,,0.0038521093307080454,,
CEACAM1,-0.028940065026718243,0.01867363131752649,0.12080284254873982,-0.02340248564405256,-0.04083061793356576,0.06821325338110897,-0.02682583698485609,,-0.03791764299519993,,
PDAP1,-0.06843672682886252,0.0029900407806140758,0.06886882175323134,-0.07175658776292632,-0.06568243500039508,-0.007014762470922905,0.051100984111267206,-0.04071348835868483,0.009763657536760173,-0.05149419817859124,-0.020361970116031452
QDPR,-0.0313023350651452,0.12074646699037797,0.012387601922597115,0.011001950290184302,0.07364201510468482,-0.07622114366652778,-0.0280016483372155,0.08824212547945276,0.052767343378088145,0.10716970273088869,0.09591487657697677
POMC,-0.03263455768997001,0.10492210111653576,0.013552164784378068,0.05952956903179863,0.029160149135756232,0.03064285767547902,-0.00907534001609401,,0.05516768121142855,0.0308659476455762,0.07164049925838516
CCL18,,0.1178317569623324,,0.06376403487288498,-0.04282896050999956,,-0.030744809546331752,,,,
CCL17,-0.00013935687209245021,,,0.08624136696064516,-0.0442072081860113,-0.04892482850321483,,,-0.02470119470001608,,
VEGFD,0.09962400967465505,0.1284711640503447,0.008082509651631244,,0.016015043321224248,-0.05160059345590157,,,,,
TNFSF13,-0.0170728871574772,,,0.012537899464355042,0.012681658805915139,0.041434336797716485,-0.005799781934651598,,-0.020055218302165594,0.014110875128552941,
WNT5A,-0.0650351250648391,-0.0038679237391257533,0.03218256978466224,0.05765444430428985,-0.008051803588129375,0.016094427118542955,-0.012399448972111052,-0.08820886636279326,0.053873699595117376,-0.059073548588859694,0.02531626172996358
CXCL8,0.12707073785577847,-0.010476764327859456,-0.009912465043806962,-0.03610162111415091,-0.23141513568436126,0.026205490488054047,-0.027003591145237815,-0.044903496854415505,-0.022553272005518942,-0.07294544294516264,0.0593606289213641
GRN,-0.04542046638041733,0.002636579276768843,-0.017844270920762628,0.04035790244601376,-0.0762866174301138,0.09422237865592929,-0.017834319035905797,-0.10151093710904209,-0.002791308346096308,0.05378905510449107,-0.023620452788386825
MIA,0.04182238694927185,0.04196115137255684,-0.032892715150361074,0.17533905849469159,0.22558082754286277,0.005659747163283585,0.02522363854715489,,0.06261311744574848,-0.016843687400584516,
COL4A4,0.02714124163716987,,-0.04960165091759322,0.15730235170288379,0.0862817412370546,-0.0436524440721805,0.0556143353144796,,-0.04963752171693234,-0.0265065354554482,
TAC1,-0.05897279767014897,,,,,,-0.03793644385903116,-0.059253634583640725,0.03125292733216203,0.1142301857286147,-0.06017448021790329
RARRES2,-0.05678977549594707,0.06712125676657175,0.02082160425429347,-0.016898846501599913,-0.06337607967459322,0.027342352343676598,-0.015551621446966278,-0.1004523613196423,0.008709909345719646,-0.05615610161816522,0.03257858051259205
FGF7,-0.022129797596082582,0.08919917477072037,0.0066015047303340894,0.07360874642787185,0.11370014829554291,0.013704630906210904,-0.007867842735433696,-0.030029109662556355,0.08204136779113679,0.011597343507008888,0.006919841703316365
EFNA2,,,,,0.003674610153050406,,,,,,
HBEGF,-0.000819991616593964,-0.03833870588252064,0.04773448112699454,0.1128958512235162,0.04706495437283149,-0.0015711088322813156,-0.01593655766467439,0.043787262495770966,-0.013355081639411825,-0.07909555029134266,0.023337264212025033
CSF3,0.2737763104343621,,,0.053387915654041655,-0.10874861196252567,,-0.038458501691334634,-0.0362352607735164,-0.026006547410072873,-0.053124687679958746,
PI3,0.1537777507018823,0.08637684706239127,,-0.08279920305122147,-0.1880698430218383,0.08035600921603832,-0.010101408422537917,,-0.00975393208396896,-0.02849692006816905,
PCSK1N,-0.00858728191944831,-0.01715334930056723,0.05312636562621218,0.03061156646986489,0.033572414047899596,0.027538190442584758,-0.0005342839440406596,-0.04225098962220114,0.04842435740211905,0.07609778752434013,0.009524427113182138
NTS,,,,0.0009850563575649121,-0.01733892897285864,,-0.039334655186639936,,-0.016074459950384413,,
SFRP1,0.019695228159731223,-0.002135625388322142,-0.07411424127911026,-0.0020944744195985493,-0.011197785442217244,-0.023453213808351223,0.028317458006557585,0.13771214466296633,0.01924452777148898,-0.044990142387767995,0.05759406221652409
CXCL13,,,,0.03684203415000628,-0.04510834323603885,,-0.049482991892032015,,,-0.056167426248139016,
MICA,0.08994557875742057,0.00035585826784145753,-0.024169026512462218,-0.0060989542014013515,0.08345130563458085,0.08579663511012561,-0.022886389568133228,0.014760881375717811,0.07611647045316133,0.05953668024793031,-0.05740778416865649
TG,-0.023306000720241582,0.09766927968522553,0.12063917989239571,-0.0031878938609788024,0.06634470026227443,,-0.03165193786764282,,0.021353603737440677,-0.015829877194725013,
ADA,-0.04778812592422666,0.0539535727831434,-0.010956908312977447,0.011610313477203515,0.05359360978221171,0.060482321421839465,0.011229839432005265,-0.06815841982914542,0.06471174360421518,0.034886138653251464,-0.03223930134873108
LAMC3,-0.026016386324235464,0.05788723134644306,0.0024508139962459824,0.026227055360312206,0.054161501179967125,0.11229219142084602,0.04440384557253858,-0.07122587994360352,0.04370038380712765,0.02968905749861545,-0.05286602439937143
CCL7,0.018913813245049888,,,0.04309255611845641,,,,,0.002576357025181729,-0.056771328474153296,
NGF,0.08782984984198677,,-0.05113428531279061,0.04591563955954295,0.053753993924236236,,0.007825149531380719,,-0.011740078276033883,-0.0520232580216524,
TNFSF15,-0.0033039618510668388,,0.08561548442202585,-0.029617255255857216,,,0.006638455394207042,,0.035123828964190335,-0.048002376838444424,
HMGB1,-0.13101117979943647,-0.1770755316081386,-0.005532619717502924,-0.13281392331112812,-0.08442227120459923,-0.04406746009547256,0.005461326875249483,0.0012491661710658053,0.05738137988564827,0.0074118497328990885,-0.04535303104578149
ITGB3BP,0.028137736360967974,-0.0629161692641766,-0.06647157342227113,0.04035533929361169,-0.04344774470914566,0.0449168516906304,-0.011041325577483945,0.02025239857891025,0.026361718153634448,-0.0041265853103658835,-0.02798201074383278
AANAT,0.01612457697820499,-0.038698561009303384,,-0.029674805155340073,0.08493879142239671,0.007419810392151092,,,0.029648760060832755,0.05670447400007231,
RELN,0.020887066409849653,,0.08281490784384068,,,0.020258387484806042,-0.0013495406247964162,0.006508352234230682,,0.0551324887687443,0.086126707508117
IL15,-0.013484587727908066,0.022153813743917984,0.22969182940835592,0.05084535547505018,0.007334871258200901,-0.0004872533582737968,-0.02332642887942872,0.1185316403637569,-0.014772793872062831,-0.04159948978117448,
UTS2,,0.046718770172487475,,0.12015656891378163,,,,,,,
BSG,-0.04818185466777759,0.033131372177186806,-0.034579076591930095,0.07385239789766204,-0.039309346295278394,0.047692661657739215,0.032951892323057785,-0.010600698941503407,0.06262255026202175,0.036235096951771406,0.04688137492627018
ADAMTS3,0.03389353109203712,0.0914549080720156,,0.04070649675920114,0.06066730529222922,0.05123849595826884,0.05459458513794012,-0.04406172881038715,0.08683626741073013,0.007695340557482252,
CD34,-0.025093434467757417,0.015834575284537793,0.0035807292575577095,0.036455452346522914,0.005748593509101447,0.05024554582980363,0.023412610767441035,0.011595663801979385,-0.005219037537709013,-0.038733550761226816,-0.0006468915103076425
PLAT,-0.026728807940453812,0.04061406445624742,-0.0028732793487886107,0.034441301937004454,0.08481042139933435,0.05839081531719228,0.09071464892953113,-0.009549465870385842,0.04327777165218881,0.05899148359636447,-0.006561890469412935
NTF3,,,,0.08880411214682352,0.061893370709149215,,-0.0641770657162499,,,,
LTA,-0.02159645784197274,,,,,,,,0.005808127224074716,,
CKLF,-0.05973552434729287,0.05822517207360856,0.16719834002826575,0.057378512272974386,0.12740470417185631,0.05237939188581037,0.06673623737120489,0.029703843932416582,-0.03791743050307435,0.022263896951623587,-0.058135377490887576
CD24,0.05442231659644355,0.06014402894162168,-0.06495835023508502,-0.004846883250792189,0.06146107065013046,-0.0033380515125205506,0.04254150315978045,-0.07942548399957038,0.05003804667378872,-0.018055237629232567,0.12776914248204183
HSP90AA1,0.040604674841797646,-0.11712445664669993,-0.01021717933878151,-0.21485641529592253,-0.26519098338966074,-0.046834040722246215,-0.012294183484824972,-0.033209140414823764,-0.03332117572769568,0.04581884706322763,-0.06308024923068992
BMP4,0.081087382934372,0.12035915707111991,0.007510121751845303,0.10472524175481192,0.08751614678188167,0.14799244782988202,0.03058789001515598,,0.041301879050313524,-0.03564870440919194,
SCGB3A1,,-0.003232611178444475,0.033755354982608725,0.03824676140034915,0.03739835573714458,,0.09586304076008247,,-0.014067257546778828,-0.009268251784962668,
IGFBP4,-0.0401605385061761,-0.06749179800155475,-0.04059150944312456,-0.020484983239289826,-0.12570053108597531,0.0583679269664537,0.002238645337882495,0.1300080472312371,0.010067551607374707,0.017566448182878155,0.12104836908849231
RSPO4,-0.033057162435239845,,0.021304393340200182,,,,-0.033400473458464655,,0.01858495149354687,-0.04260912514554406,
LEFTY2,-0.04170384557726543,0.15836912073028817,,0.06416879816588247,0.06046894110725373,0.09495149291641553,-0.04542243727288791,0.015233897782799655,0.11350894975387713,0.02372722435778913,
PF4,-0.014701468651577544,,,,-0.011400973743354432,,,,-0.038806361705475204,0.06576020440016267,
ANGPTL2,-0.000996348689206833,0.17573005264666539,-0.011240181132473019,0.12395114363809617,0.0854860619854992,-0.02735967636829993,0.08158270988094776,0.031108538556372117,0.0027071289974176303,0.052395501292980755,0.09010139132401046
LRIG2,0.04532828848642342,-0.05153830546638704,0.0018220989844576973,0.08009655581276093,0.09097233086059807,-0.01356602005168504,-0.00880582888917565,-0.03648623578197583,0.04977048714246642,0.06898157890308869,-0.041274999837147136
ICOSLG,-0.027234411964279105,0.017190147099938463,0.01405329232322835,0.09374001025978015,0.0755405006796596,-0.07748550568222494,-0.007225943412242514,-0.01660470249829917,0.04462450192928102,0.020868690795108814,0.029630247229237572
WIF1,,,,,,,-0.031048975313165948,-0.038998290908886984,,-0.022506491437309244,0.07140540621671462
NPPC,0.015193285012909803,-0.049215858307514855,-0.0910105703389273,-0.0273152794086557,-0.027774398691736413,-0.005340026683554485,-0.00022066431766290894,-0.011497198802354003,,0.0010629645772984226,0.027145948791563644
LYZ,0.0009494955773137917,0.016981727483956637,-0.06096858266410743,-0.0021533620013588525,0.026054445127243007,0.03559681912392346,0.030756892009106737,-0.04880790600976177,0.00040081558761331267,-0.027583504704839206,0.037460438887474926
EREG,,,,0.0963052204784992,-0.05693725210122408,,-0.0416008528268543,,0.00561441537109805,-0.0276664680304598,
SPTAN1,-0.045445209608569515,0.020782995294104094,-0.03935191648140111,0.03435258727227257,0.072996665021271,0.028785550608060942,0.03926963740651079,-0.006918382633073685,0.03140708469995915,0.10564442696452157,-0.005126220046348721
PTH2,,,,,,,0.0038701532007004717,,,,
LIPC,-0.02641963409335086,0.05901483431455422,0.007222317127266429,,,-0.005331995121837274,,,0.0020932243103873862,0.04599888838517309,
COL8A1,0.0006143088030379829,-0.012211897150194185,0.05191202575816841,0.09719555640945975,0.05006004621102287,0.10140372240045763,-0.01637916708689584,-0.023738517514965824,0.01941731787053814,-0.015435286909749374,
GSTM2,0.00024417784705414226,0.04222198572337171,-0.0728659966415426,0.05359035651464788,0.0953758233708504,-0.015076857633651925,0.00037939245144274385,-0.0333416746172957,0.012406882692877487,-0.026213950924484683,
IL4,,0.08120725631596852,,,,,,,,,
SPX,0.0665263670908885,,,-0.01079909221213087,-0.007406048413420167,-0.028607669173462056,-0.057207435755222476,-0.0037353100225657777,0.07461779919559697,0.017916889752860064,-0.03411838642841304
MFGE8,-0.029202172856476052,-0.013796979295047543,0.006386917332435486,0.0725056063802148,0.04637555049777263,0.09061119018628776,0.033300739878804705,-0.02340295422379853,-0.020571800923318707,-0.01815844635064358,0.09708626644162237
