,UKF251,UKF259,UKF260,UKF266,UKF269,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,0.055030741731080204,,,,,,,-0.0255457027450089,,
BMP1,-0.012317119332983545,0.008440124710960752,0.10695978429404271,0.08222487534711626,0.11510858968061077,0.11934988083938014,0.12091024497988503,0.07222428045124402,0.1285897978564285,0.06044612532025176,0.02649941435630025,0.07846926041959841,0.07461869570662238,0.024451555158359634
NDP,0.012641907312024341,0.014281995157317156,0.040265441531749546,0.03607305256948893,0.016364616587189126,0.06932195923538148,0.007625124820651705,0.0024422716225528883,-0.007024125120365367,-0.01606477557263581,0.027730467891598602,0.1037456747836769,-0.01467714885494677,-0.0258149085162172
TNFSF18,-0.02378581441220727,,,-0.013463320679004583,0.1604016486688565,0.13878767028823147,,-0.033799110845711106,,,,-0.026344832332794634,,-0.02916128664858783
RTN4,-0.022260520348447138,-0.02956142517531189,0.04514600147498777,-0.026445767834205887,-0.0854892113515116,-0.04360202261233981,-0.0052163906892499995,-0.0912067725588723,-0.08149081479878331,-0.06442251283211549,-0.020216651066397397,-0.11862125689919284,-0.02338569788144343,0.11241976152411384
HEBP1,-0.005807098493743814,-0.06032975287757545,0.0003005052467473592,-0.07869175167248814,0.05618809898655702,0.06975999328347521,0.035569731857555,0.05067034690297157,0.012803265326635338,-0.05523224235144824,0.048171925708187985,-0.010735337244045106,-0.054690027399555016,-0.047611292096321416
WNT7B,-0.014775010582194175,0.015863036893521715,0.02589868158439213,0.02428134450092998,-0.0773996888177415,0.07568304931294831,-0.00407391651337903,,0.03323691224950355,-0.04077199422107365,0.007321529243716924,0.00013267798702275052,-0.02415945712353435,0.05845371299662155
PTMA,0.013440891246528502,-0.0015258256614583768,0.01729081172132557,0.012312149370026242,-0.10038353288133384,0.09546472429916558,0.11650745867028284,-0.04048666415257394,-0.03459398049659354,0.05264438485773934,0.04940518796461205,-0.07177927062316605,0.053736537979035735,0.0031745457988549453
CEACAM1,-0.011338931964786763,-0.031149751080157585,-0.0195994313539756,,0.007586805758931913,,-0.05582861839781736,0.06562083966513761,-0.03587409472710665,-0.011510938259144222,-0.018272026039859456,0.0026139283064561493,-0.01603498306079712,
PDAP1,-0.05583401094029694,-0.021715127999534994,0.02867945339724747,0.051213355914191794,0.0632607703647192,0.11504357831739827,0.0039873862204270055,0.002622341585798037,-0.01910573554212137,-0.029616666436198466,-0.08570273881007934,0.06116020824506726,0.009742406765481543,-0.04493190427811003
QDPR,0.007750070138416892,0.019226247244275615,0.05496896150564907,-0.02898524016156275,-0.12775674831351186,0.014184028744397864,0.03687898157122896,-0.02407320979286104,-0.05824962410585722,-0.0005067544128316222,0.06271747289568325,-0.06394461914784343,-0.04868256567372594,0.09725877932402052
POMC,-0.020147473058766692,-0.018618694349037995,0.11633170098489554,0.027117165257560916,0.01338433704271763,0.18560384842956204,0.028822000907979668,0.16502818340828612,0.056940957812526345,0.0037176992633305805,-0.0321171965176658,-0.03274217987421284,0.07410109358947604,0.006392110370152013
CCL18,,,,,,,0.05145982197214487,,-0.02543532298821575,-0.029981274131285353,0.014436256851625088,,0.008564519433819444,
CCL17,,0.014822374716044572,,,,,,,,-0.025097426786093904,-0.026376816695987973,0.024645638582396545,,
VEGFD,0.023274776903271448,-0.020115019817648405,0.02006667676661888,,-0.011359799213878544,,0.20815633183803148,-0.010444748692289115,,,-0.018272026039859456,0.05658000898496377,,
TNFSF13,,-0.012453783855392335,,-0.013056612451507247,,,,,,-0.0015593412496124836,-0.0286706979538668,0.06780412068040863,-0.018006211272057714,0.15154825120315812
