,UKF248,UKF260,UKF296,ZH1019T1,ZH881T1,ZH916T1
IGFL3,,,,,,0.04722587954891358
BMP1,0.011964732744903605,-0.004261487705687046,0.002186930704396203,-0.012087215615701908,-0.010815216217659532,0.08238132338595727
NDP,-0.05670662457500693,0.09761494402219847,0.032687939215527644,-0.13286770432260886,-0.025052984269394275,0.0010546854268562748
TNFSF18,-0.024830504610871256,,,-0.03777191934528227,,-0.01728903500856369
RTN4,-0.0054944203890866655,0.09856952422536822,0.038164156865979626,-0.05242248337099146,-0.04490383070761679,0.03226155883451687
HEBP1,0.0016559769036565242,-0.02056846949426444,-0.07111535667378328,0.025527026334394087,-0.061056395044571825,-0.035788963455773266
WNT7B,0.00040725718681556476,0.05370315351006888,0.03444280958001901,,-0.020366673885378588,0.04061143297388495
PTMA,-0.0389624172833079,-0.06406426465833025,0.04194880945730297,0.10363364774720031,0.05483410466098651,-0.003516597354209245
FASLG,,,,,,0.020039644629592283
CEACAM1,0.04833108439210942,-0.014777317220923908,,-0.008272234966623668,-0.01351765766452986,-0.028633419590190903
PDAP1,-0.0038319789630183194,-0.028558658098150853,0.0005899923703932951,0.10143825116357261,0.0074560846170312525,0.0162970126512173
QDPR,0.03648557657427317,0.04736163787167609,0.04558861962296346,0.047762540215011424,-0.022427574507306303,0.03950346569721066
POMC,0.042238156110264734,0.05851629704488808,0.06690697996672067,0.09526668292299978,-0.02211311218353496,0.04075950860697197
CCL18,-0.019721818518551773,,,,0.05811612128271089,
CCL17,,,-0.015079038619489988,,,-0.01865304951349682
VEGFD,-0.019721824781152864,0.08739154475455067,0.0392629576632681,-0.038246730221476254,,
TNFSF13,0.07663083107407298,,,,-0.015179423569579693,0.06732353244223001
WNT5A,-0.023075323579035724,-0.07944050758848532,-0.03105143244625989,-0.08773080302528896,0.05742164975671636,-0.010928533166966329
CXCL8,-0.027102759955522405,-0.029566090853893504,0.09953745492028772,-0.026629547653822704,-0.008322760295150023,-0.012829111921567373
GRN,0.06130787867525132,-0.023927764654307706,-0.05268816100356473,0.00867661648922596,0.03891335935517498,0.034274788477755044
MIA,-0.039292679281232826,-0.02441254313940048,-0.01257916819479904,-0.04112063505946863,-0.021977436885805165,0.03682758576884445
COL4A4,0.005584695231914384,-0.026077483641244743,-0.02113200217920163,-0.0522759822102495,7.62983411226848e-05,-0.022541115934169565
TAC1,-0.005022748631484468,0.09654129064249858,0.02011592281941886,,-0.02332181041532054,-0.007874511200030927
RARRES2,-0.03917613809211874,-0.13060133788582787,-0.007902611253537941,-0.04879025983362141,0.031398546359137386,-0.044007290282157836
FGF7,,4.956069330657762e-05,0.019351550784720218,0.010093561093929906,-0.013853959557504555,-0.02019209248415229
HBEGF,0.02228774078102156,-0.026234000434979688,0.0024019158125331017,-0.02833079106444213,0.0200466953583812,0.017517543180244562
CSF3,,-0.014937457866572756,,,-0.019379408756106446,0.022687094833884
PI3,-0.020748184587981264,0.023275464514572235,,,0.001678138806837911,-0.04266855234092341
PCSK1N,0.023955788872146253,0.02392007026007111,-0.005349419009203873,0.04581579156876694,-0.01398687061758644,0.030051250178141902
NTS,,-0.04736091085251704,-0.021579284930545686,,-0.03576356727644075,0.015388414137002374
SFRP1,0.001762524423894803,0.028599464568352027,-0.015079038771348292,0.07678424131875801,-0.004509587580356621,0.0012308266278416168
CXCL13,,-0.015984168085204194,,,-0.019300628151578982,
