,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.011030483742496955,,,,,,,,,,-0.025381240328731885,,,0.07019708852647542,
BMP1,-0.05759227695806654,-0.030675468682228972,0.05661792906438833,-0.05764644825734362,0.024792179289715305,0.028742097842740667,0.19175407140988168,0.03797761415454697,0.04842795074643284,-0.0631719398033353,0.09336515923644015,0.057670625495086766,0.06009916069839539,0.08254482866956517,-0.03810819477008888,-0.004708086193009006,0.07788502622115262,0.007469592219650573,-0.03217464175928419,0.05190089923914476,0.07886144781427482
NDP,0.03395525279431727,0.03005821240709188,0.09336412954448545,-0.012862103536710174,0.005658620133356545,-0.015558634689789052,0.07113180315135632,0.06257201278080932,-0.04033927475520435,-0.062378104524236,0.07692033918018076,0.04623537195016731,0.015913732243521318,-0.019918232863142413,-0.02444407074177861,0.02204218753087385,0.0464637137584373,0.02636164143649095,-0.03062675683474116,0.07138972219436134,-0.02344656376754092
TNFSF18,-0.03292272472997339,-0.00148201090440416,,,,-0.01583009833393511,0.017556801733093323,-0.016503116015672094,,,,,-0.027678223859360557,,,,0.07424602274459842,,0.05286414687657679,0.0015685245603226105,0.09492269516443992
IL36G,,,,,,,,,,,,0.027388288973869235,,,,,,,,,
RTN4,-0.010046705481419761,-0.0020059751975195182,0.04909339725688848,0.014168931848371265,-0.009749090207958857,-0.04804550720140326,-0.15704914515371673,-0.0263129119432953,-0.004829669327317056,0.06984510596653634,-0.061464153592649826,-0.09575882810463536,0.05402766759935502,-0.00576121303892337,0.023789750366328192,-0.038708605218209374,-0.10286448095511569,0.05515934568401443,-0.02804133101483756,-0.05118077186396243,-0.10634342110292032
HEBP1,0.007885539874321236,0.006001014787504643,-0.018110417915900047,0.02584773552736649,0.015048276551307955,0.05895584014893276,0.05514753568266101,-0.03001095437569366,-0.05071234907971765,-0.042583151874308355,-0.0317460223290895,0.022521656943126748,0.1117532869773933,0.013647608856584198,0.0019244853845169006,0.014586811593514274,0.02229321735361851,-0.006687879231061953,0.08485528354904287,0.08988622373520007,-0.01182658892257801
WNT7B,-0.04872202132433052,0.009503690360020656,0.025669246026185505,0.0077100841611157,0.013533220414980831,0.020919831933186372,-0.08656722555117441,0.05758465037048409,-0.013194808285128699,,0.03491120601907692,-0.02127863018173746,,-0.04357543676401067,0.018006811899709346,0.021320863831207085,0.0004638553397956019,-0.03298763556854088,-0.04274684888600289,-0.0470141902944562,0.06358212293797523
PTMA,0.041344016130997696,0.09604883148676203,0.07120882833095533,-0.03412877434691563,0.009301588726010368,0.09625629027008463,-0.08279835034594386,-0.03827826206634388,-0.007378145965942493,-0.014070786273133873,0.08087501116349563,0.14381679554417678,0.04672287766664507,-0.01749613498762304,-0.06827641824846677,-0.03207282291527258,-0.0972599190091129,-0.048436633333123764,0.12624648008976685,-0.025338368264292047,0.08558936350595694
FASLG,,,,,,,,,,,,,,,,,,,,0.06743563470395515,
