,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Bbulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.03000837204335905,,,,,,,-0.014719730986762733,,
BMP1,-0.030238785468720792,-0.012609318344366231,0.030738478088586634,0.11839317132453833,-0.030452790436963344,-0.07750470091056251,-0.012016190986284451,-0.20034225227667918,-0.057971323811496826,0.04677092649714337,-0.10574712817771299,-0.2536961403622386,-0.009870611132510098,-0.07281454457957716,0.030452343132086977,-0.10092384635417194,0.06449313644371057
NDP,-0.024931847225448004,0.026480896777552842,0.077876981906047,0.11065046958397756,0.008996873285739584,0.16828188256589918,0.08600845842325924,-0.012964976299703376,0.03991646927524585,0.037237245445193724,-0.06609856430848456,-0.026960230410003946,0.026162507087164975,-0.0025398596479799134,0.03795318890860615,0.005336222153926771,-0.07645431772711406
TNFSF18,-0.023606080961389844,0.049471080824854914,0.0053207301835245975,,,,-0.0433014690517158,-0.044561531608372715,-0.030533869237822548,,,,,-0.04353281396414354,0.08988645146768515,-0.008861732588807346,
IL36G,,,,,,,,,,,,-0.03776290591147258,,,,,
RTN4,0.2206866456114021,0.06151231985302325,0.04464462900222708,0.10740431854960854,0.00818463339208403,0.18096505813067254,0.14863408681257378,0.27057571396191676,0.105464084151379,0.06921497802482826,0.2964171688418063,0.34716730852552347,-0.07312102293055461,0.11385158292204832,-0.02933371924436297,0.2544064963391131,0.008986048013277678
HEBP1,-0.08953277526340775,0.024908828863047516,-0.013069929631025788,-0.010027742594515844,0.0363456508562683,0.012773806817670538,-0.0747594597993429,-0.09500324262987915,0.022379407214290013,0.012369452799615446,-0.12141322342614692,-0.008821352613972731,-0.010097713269791832,-0.024575867979896433,0.05326096756946239,-0.00978287152823841,-0.007443112800987138
WNT7B,0.18454998678923507,0.03686754754960354,-0.017620067622481028,0.05437128001665169,0.02996137585941617,0.03367702524990268,0.04555416147435736,0.15252583192986013,0.019826737624469265,0.012995396059274411,,0.08734419258868524,-0.0021244462756555733,0.07650318446646238,-0.01774220013428538,0.014248408816459833,0.1096094121568764
PTMA,-0.006934477794696605,0.050614373278663916,-0.03138303291028214,0.18513453761905216,0.013715287197887609,-0.1410447398352501,-0.15639082762073514,0.009850398621493436,0.06688097992796672,-0.041897685942769665,-0.3907740055541131,-0.3387879428103565,-0.04050819358389022,-0.16669792936662536,-0.013680206990673778,-0.22087664759042014,-0.2574087316232472
FASLG,,,,,,,,,,,,,,,-0.01276641766311053,,
CEACAM1,,0.04580065732972792,0.006728950543956573,,0.08929700118837279,-0.021563941915210848,,-0.05864043756155382,-0.01151950921103141,,,,-0.022878839883794497,,-0.017762595132763282,,
PDAP1,-0.08862320372775406,0.05993627808418839,0.03199293450483913,0.006367457728955276,-0.020539398568833724,-0.06893748026124757,-0.008990212193149204,-0.1959137703061688,0.014278060827957191,-0.03308019976658956,0.03651602113304106,-0.18175627730605895,-0.05649531729303279,-0.0885833739550751,-0.00669427154401565,-0.003355567405541958,0.023643493696630276
QDPR,0.1269294533319501,0.033584184882165115,-0.006955716820584112,0.07229312763341876,0.015482034680387835,0.16832459731508329,0.06692476533352072,0.08698113386475836,0.02067244856212717,0.02953908144112385,-0.30274785355674205,0.061875084276340496,0.08604024306310258,-0.09282609372300656,0.007122684621047345,0.194460591410452,-0.07940526930742177
POMC,0.15051458950342322,-0.014747622175054403,-0.007341579119130505,,-0.017483785382818574,0.14782528298023045,-0.022207236812010974,0.055664377804247635,-0.0038774754305495904,-0.026979495699859645,0.015620699052427675,0.06545420697243061,-0.023372108759902366,,-0.01454180283186055,-0.01312494683245499,0.12668386578931035
CCL18,0.06620903755461402,-0.050127547878625,,,,,,,,,-0.09872146152588113,,0.02709169869056608,,,,
CCL17,,,,,-0.017677479455567906,,,,0.007848979917820834,-0.022460382035436113,,-0.0141547080255809,-0.033027041692873384,,-0.011571323692442776,,
VEGFD,0.031330772674156106,0.016852291515737892,0.05034518355845077,,-0.019694664232617568,0.02405436934284244,,-0.05027207273131455,-0.033878386317542315,-0.04226967253331612,0.02664422981387394,-0.02727316256805955,0.011883167665415481,,,,
TNFSF13,,0.09630253215470613,,,-0.012193529694778087,,0.020288891756529183,,,,,,0.021029011006962278,,-0.01885450613769009,0.019867378489853954,
WNT5A,-0.01595857853473834,-0.006857263072399421,-0.027753536402587816,0.15006110538464282,0.010894883264442256,-0.04014529054315996,-0.09677238165276357,-0.169991427462933,-0.005958883751684421,-0.0152863550240226,0.09504045670168601,-0.08152223382945431,-0.046995880185972526,-0.0721497709678205,0.06077653236692457,-0.04822606470857273,0.14310504999143053
CXCL8,-0.08697487241205673,-0.09719377135527424,0.043141127428300126,-0.13137860328520895,0.0023277823386054107,-0.1243006877845943,0.004025507742027979,-0.034158142634222004,-0.09746206242877055,-0.013175224137681447,-0.12148104671097738,-0.09291952070418505,-0.13062046786477519,0.030883969833440637,-0.05880400700517536,-0.10558608279138074,0.008532057012323395
GRN,-0.05013399015906116,-0.009561537076416016,-0.06093312359402723,0.16323408157479438,0.028220032671566427,-0.05715267298538213,-0.06922615502233359,-0.23774360140244294,-0.002886044548592294,-0.07415935483323788,-0.21719784575385792,0.010032660529677839,0.030884664115587764,0.016794369078032396,0.005269015215065909,0.057899022375813944,-0.05801891498892073
MIA,-0.02462994487992042,-0.00781988762735704,0.029358454778171977,-0.0629283500291132,-0.037222841196968434,-0.059928826842612685,0.002774361560551175,-0.08572168431495276,-0.03249530388112391,-0.019788614361628827,,-0.005252667931709089,0.1076266758782438,,0.07085681670979839,-0.09024674980533355,
COL4A4,-0.03590704312238364,-0.010139512427153665,0.030223833643044727,0.024353843763820184,0.0835749714544126,0.009587658895146612,-0.027815483025111592,-0.02957102327230009,0.04517054371205903,0.022261470676098134,,-0.04911771451733406,-0.025325955713841566,,0.08113527879666882,-0.08227079783450823,
TAC1,0.18227404991189416,0.04225298931484788,0.015079626296657715,0.1634069003730094,0.0762121121066861,0.26026581073579225,0.11280677911102133,0.2293964243609504,0.10789599708832917,0.07125855612987866,0.23340784831361994,0.23376411607731548,,0.13477527853554866,-0.015211681615433185,0.18390393944490072,0.3037506448544888
RARRES2,0.039236510355614006,0.06295910618083929,-0.011949785111847008,-0.11925098165692936,0.03364962434811013,-0.2419480862660406,0.023124429697856098,-0.20529781769649458,0.11907738060605534,-0.009103618914858249,-0.06593770934990574,-0.18530958321995475,-0.08385869827775577,-0.07804030447797611,0.0031456616620299687,-0.1003775159650945,0.010974989276101767
FGF7,-0.03887885718548665,,-0.036577494948588515,-0.019289147662805855,0.017905922888788405,0.05871613919010502,-0.03671077850963889,-0.035997496101151216,-0.040340129743604264,-0.03350484257597794,0.07840667223106491,-0.03159489367635695,0.034325759211808936,-0.05544433932945719,0.02459826010252631,0.059037571195496616,-0.009660311325232703
EFNA2,,,,,,,,,,,,,-0.021744806187179395,,,,
HBEGF,-0.006550960127887444,0.051813543306495555,-0.0009193745391586762,0.008225082814176863,0.00256276437430575,-0.10910738556161459,-0.01926583158638295,-0.0897428283859657,-0.09012120671149679,0.017867462263211255,-0.152929689912472,-0.08276377428600937,0.031514679445067535,0.00701883809494155,-0.009346004300639326,-0.11108036014071708,-0.002288601178405722
CSF3,-0.03590701469467033,,,-0.09434860451918362,-0.02107001415791046,-0.058858372238536474,,-0.03128557345057363,,,,,-0.09057826227232102,-0.03912606359941281,0.02114141967492658,-0.07296264923198267,
PI3,-0.0425372133951764,0.04131977464469979,,-0.12914663619531147,-0.036360483201323825,-0.050898649561374264,,-0.03522796863022023,,,,,-0.12457929642847397,,-0.026469217822400113,-0.05780586755608968,
PCSK1N,0.21501191935255093,0.07896978541433626,0.11453650479812001,0.16481129351791576,0.038848655461430605,0.024168929225337706,0.07873721115801109,0.10275796115269226,-0.040837351839086114,0.08522337671510075,0.3703866612322374,0.33945819428751395,0.06835487645948332,0.19791729581310583,0.029738055042387898,0.22708931757634615,0.1880787695382817
NTS,,,,,,-0.051342068405451614,-0.010595124691973724,-0.0384537331550838,-0.04541940956297341,0.043106201401629775,-0.041363646072582444,,-0.02649191997020554,,-0.018041093320703187,,
SFRP1,0.042668833173940976,-0.025067232726359277,-0.0012095517997661222,,0.05868320748882827,0.096185530620094,0.05965914737639946,-0.04524007497244832,0.04274329868000097,0.04461992047418475,-0.11522136392383212,0.004161821094335366,0.01375507217314827,0.007275411736787194,-0.017621864017991384,0.03230235059407293,0.08205375784103858
CXCL13,,,-0.009341468770136824,0.06506935166003879,,0.019738890401085556,,,,,,,-0.026339263045714024,,,-0.05128721120376161,
MICA,-0.052308723216624095,-0.03659579119516552,-0.013974125288506412,-0.03171933995277829,-0.008004272400755555,-0.0021461686114481304,0.033596276239229804,-0.10987680538013025,-0.0029162347112978424,-0.006762367669176919,0.015148082513722039,-0.1451742370046939,0.024203718129822936,0.07302088130461863,-0.017018410014611355,0.02376866446906819,0.12668394350496617
TG,0.01106614945275698,0.0396504527399492,0.0008674683079774544,,0.0005713194118805954,-0.009140938794991641,-0.014240464912908986,0.03998524893802274,0.0003545447090963742,-0.048441149022207274,,-0.018507901554526467,0.005516510434299159,,0.04847787229922308,0.01961412106754799,
ADA,-0.027836419152989244,0.008710678605292205,-0.029710381414968512,0.07225738865239185,-0.006579071070761928,-0.03881781608804911,0.012994976133681082,-0.1595597104492797,-0.024045498891185325,-0.03639625045172228,-0.2055498632632238,-0.10164417866376413,0.07126633816770328,-0.11931091460783819,0.050661160979737024,-0.03931412490841182,0.1824770315577459
LAMC3,0.08316534569520052,0.019121104717069255,0.04510514579016291,0.15559376032244543,-0.025603435577585446,0.0688474272429989,-0.014031056216508402,-0.1303803771341558,-0.0022616983506753056,-0.028587418619317975,0.024967743533072052,0.004134225177640995,0.1144907807554969,-0.04865574008519258,0.040045944557988294,0.07860672440782138,0.0016481954996614317
CCL7,,-0.020331189157832143,,,-0.012034486482862969,-0.0571933999869165,,,,,,,,,-0.01276641312352479,-0.062313047760362866,
NGF,-0.020687051876297907,0.011959492052415518,,,-0.004613727902632225,4.7526852248878835e-05,0.009071628507467584,,,,0.1885799430986656,,-0.021452519408877463,,0.019039821127354646,-0.00870487842216971,
