,UKF248,UKF259,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.08842707569668769,
BMP1,-0.010435190659497679,-0.0454835168755273,-0.020014152297608938,-0.03377300337899907,0.09382550064482119,0.04210789627489513,-0.00943449921393546,0.09389528539740293,-0.009436299853440832,0.08686126931939442
NDP,0.06515355210443853,-0.05585132257764203,-0.028743788387729362,0.011821936806885825,0.07602247628104088,-0.09062842509954051,-0.0040843623010676745,0.05010333171829986,0.10368307433789543,0.004364154262603635
TNFSF18,-0.01154625539105517,,-0.013259369336521071,,,,-0.03920222387849585,,0.00678057450227268,-0.02794315473477964
IL36G,,,,,-0.016310186214600945,,,,,
RTN4,0.040212373112534595,-0.014074197354455913,-0.03491454198248898,-0.02092755510347013,-0.018912481002537,-0.015256045625872246,0.040993189060995805,-0.08203782197824681,-0.03344543414606626,-0.12650678813258637
HEBP1,0.03708713024828469,-0.03665845758250947,0.04171891150240579,-0.02488271303005332,0.02355933889012426,-0.03411291489354605,-0.10085326922929054,-0.019591133537731585,0.08490912735141184,0.016658419565000106
WNT7B,-0.0479006701182253,0.04308145512271383,0.03532182273055479,-0.02390596324832072,-0.017926774258531675,0.12988621491843938,,0.0852993036040541,0.1129526016691924,0.05645165504583091
PTMA,-0.060023534399375814,0.05552432207112476,-0.03372205763474372,-0.01670615407628026,0.003919721413803217,-0.0067590536950660465,-0.026394566659210868,-0.09571806744612865,-0.08259864649459689,-0.0036317146035159285
FASLG,,,,,,,,,-0.02183492419158787,
CEACAM1,-0.020601164533576157,0.10372930000393109,-0.02085382913325697,,,-0.04706685573943785,0.016168874011999377,0.07138708740479212,0.02349889801959621,
PDAP1,-0.06470751107680908,0.013589305099855281,-0.03486293560350486,-0.020840507703520784,0.012829253966146453,0.029772519800335774,-0.03945443327728056,-0.03661171995159953,0.05995816715641967,0.04409723039015908
QDPR,-0.013523716272086178,-0.0483603949735524,-0.04952016202940831,-0.018229385643448153,0.020148907094924087,0.017016623509071915,0.02439180288893891,-0.11927742146555252,-0.005715344122501452,-0.05781180134540392
POMC,0.06945308749411726,0.05386608884970679,-0.015385123651870673,0.04380688256694271,-0.025383692731275522,-0.06624742573946266,-0.05892306621606416,-0.04327909262548751,-0.005165525565520826,0.029423290619256
CCL18,-0.025708306856913558,,,,,-0.04035736814740762,,-0.0335752990576449,,
CCL17,,-0.022873041214402198,-0.016537015082557532,0.07054535563627876,-0.014899818153067599,,,,0.06478869579619304,
VEGFD,0.000958817429813108,0.019380774758570668,-0.017618790850485316,-0.021703802038238018,-0.01596859661172787,0.05247838795069805,0.03054183211246923,,,
TNFSF13,-0.019400319489462994,0.03879284627633304,,,,,,,-0.01894230270286017,-0.01288257893184759
WNT5A,0.039940488366188756,-0.054388523023050306,0.001659009726281955,0.029647586689979535,0.007013513982149737,0.001985132281623183,-0.0953833039263054,0.02496158246148774,-0.019090434978593394,0.08560127844830814
CXCL8,0.05641891410247256,0.06964424865190622,0.0457493260859231,0.008896997731271988,-0.04083473101499655,-0.016434330994313292,0.02072377539133643,0.15118672618404985,0.017008879838498487,0.039625323075946337
