,MGH258,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,0.04158831220777123,,
BMP1,-0.018737318563695888,0.006874563811290258,0.004156013237936942,-0.018956205908306056,0.012197575968037557,0.037844712570891705
NDP,-0.027565007009780453,0.044389197885433114,0.029661792360072166,0.023113114023858027,-0.01886983606391996,-0.0623562032676204
TNFSF18,-0.022885146078426833,,,-0.017613499350203742,,-0.030045459221757217
RTN4,-0.058593679449336265,0.048324871579379286,-0.022444273611310375,-0.021196487222694623,0.023036736890513606,0.08135934638408289
HEBP1,0.003082005290252091,0.004579966723993169,0.03133719184879873,0.017985327206686094,-0.00700895388558761,0.023166931408280817
WNT7B,0.003121967843096071,-0.009538996086356492,0.015335386854142454,-0.0368312520362972,-0.007889760462373654,-0.06532815645027402
PTMA,-0.026596770709941313,0.05875070152837894,-0.0389951217602343,-0.031655851886789654,0.07344978210585687,-0.0387759145566582
FASLG,0.07318554098304093,,,,,
CEACAM1,0.07745762772954813,0.14044023460325183,0.17796141191917134,0.01639263108553019,-0.007212710875135564,
PDAP1,0.05926512502886736,-0.015490432148067399,0.014624590154275413,-0.00015657151286288006,0.03685047517416813,-0.07309427707832669
QDPR,0.0017941060778814775,0.0027291800126312406,0.017204775450944673,-0.03125478866347559,-0.07952555293514128,0.027872998997593715
POMC,0.020370883893984122,0.03540165755179367,0.03751966285789215,-0.04579656254415863,-0.02681655722710929,0.07318877658904184
CCL18,,-0.04438052657302081,-0.025722316913307244,,0.043986557800756644,
CCL17,,-0.022931958566135478,-0.033472146796733784,-0.022517966561202595,,
VEGFD,,,0.029570275429296432,0.018533377053375284,,
TNFSF13,,0.06965879718341142,-0.03638307919175911,-0.024147607043415283,0.051529628622933914,0.01554400287203173
WNT5A,0.02624017477134379,-0.03159218659349088,-0.015936739204831022,-0.01172483516406263,-0.043830167657466806,0.018588070668410672
CXCL8,,-0.11670630178232858,-0.03329770361145249,0.030211866264338416,0.01374147648827555,-0.06773855171420441
GRN,-0.05216187378230589,0.011403057067738497,-0.02839536995381277,-0.0005393133861786921,-0.04544679824072327,0.036363405096779766
MIA,-0.026389144380432418,0.02251222539995661,-0.0340043484712073,0.033142653863738394,-0.027594586926501966,-0.05987429064254935
COL4A4,-0.02334901344182143,-0.028450976867912224,-0.013381311032850271,0.00873567739609018,0.02221924716099438,-0.008565548500892103
TAC1,-0.020161091643050688,,,,0.007482563388952434,0.04547205375733503
RARRES2,0.040388730428303356,-0.024571230569527227,-0.03099311743780925,-0.0030689170742613323,0.007073580797173691,-0.0383660177707903
FGF7,0.05799325210518232,-0.009815393989299525,-0.011080404586194352,-0.04671357082716068,0.05356420127248538,-0.0021275422864058674
EFNA2,,,0.015759472492941476,,,
HBEGF,-0.05330172643395261,-0.018833063256221715,-0.005483631771335643,0.009294114841429568,-0.03148938439784223,0.03296732518197391
CSF3,,-0.09143521035427456,-0.025467674604106188,,-0.03631704413872478,-0.03842604414558312
PI3,,-0.09594228079627026,-0.032717053380422544,-0.01913268519111656,0.019254870519117312,-0.049197895015952266
PCSK1N,-0.03175470610976675,0.02887197192553111,-0.0037768460385875125,-0.022945536191068736,0.04402151190205471,0.03666833138774351
NTS,,0.001676553172683777,-0.011144337379707403,,0.014626858612497896,
SFRP1,-0.02933489760551824,0.07247523885303965,-0.015331058846567163,-0.03444402974844751,0.026872507365724423,-0.04793958397124735
CXCL13,,-0.015991700532350446,-0.025945083736768862,,0.019130308383717157,0.08607082349209663
MICA,-0.02107739927891734,-0.0659199605282465,-0.04758419162642183,0.012497138970049988,-0.013013690731776462,-0.049241660240154424
TG,0.016449409437604753,0.027823632318069818,0.01850241327683332,,-0.015744882562425115,-0.034348114489404204
ADA,-0.02349860759557048,0.021066452587807045,-0.05443386480711286,0.023332531754516973,-0.011042630895423206,0.023040768673883223
LAMC3,0.011392324686220768,0.013472887294171686,0.02378208665829249,0.021109390556012436,0.08661299228836623,0.0390950027879396
CCL7,,-0.03436972005992709,,,,-0.0650678127029542
NGF,,0.05258500118483594,0.05183568619960233,,-0.048062491331630916,-0.043548501895890546
TNFSF15,,-0.01984829638961956,,,0.08744768523114396,-0.042527866047124475
HMGB1,-0.021069400233703444,0.025055745239750054,0.09673103822257564,-0.015395326041896073,0.014924234328595343,-0.03263989517842077
ITGB3BP,0.01456914073026193,0.0157516760249092,0.007494962644717607,0.0393115889003792,-0.03983776914507963,-0.04629658947506213
AANAT,,0.015103960086339801,-0.02965699166841738,-0.027854002213047208,,0.020873545879543817
RELN,-0.019356946813707355,,,0.051347177710867026,-0.03395058837237465,0.012966593733678547
IL15,-0.05395243680773814,-0.01368474970057718,-0.03873001233292122,0.024813348131114025,0.003558094864811559,0.030865206488409205
UTS2,,-0.02567658572038005,,,,
BSG,0.04652380574802153,-0.05942851901708667,0.04060884022774702,0.0008311267766820622,-0.1073970289911715,-0.03297225113323027
ADAMTS3,0.06135323475564694,0.03911853530367191,0.05127472179598444,0.03101406035084871,0.046212720715143187,-0.020709126121910105
CD34,-0.06316839617338342,0.035391650865734106,0.0691728262686755,0.04660926618978638,0.0012980372558141775,-0.05033608273885063
PLAT,0.03161497306042977,-0.006671599051785147,-0.0020159247746800077,-0.024205746731179475,0.06784936906631263,0.032274900828491035
NTF3,,-0.002645564535407652,0.016711521766946416,,-0.014734741918576282,
CKLF,-0.0033000834947095937,0.04623327419836144,-0.0013720504460412205,-0.033709238339283895,-0.017046738720933163,-0.008382537420360206
CD24,0.023714892639487985,0.046447698992112624,0.04325022983612583,0.007379167295517396,0.048784511746019776,-0.011477858836326137
HSP90AA1,-0.025962805379083558,-0.07561947349123548,-0.01783213628234763,0.028230098887655566,-0.0033819791896893417,0.045367943301456444
BMP4,-0.024029519118509007,0.0037690817281399074,0.06402336350292627,0.06849725256142117,0.07680117568307251,0.05519821098610695
SCGB3A1,,0.03772465050076579,-0.0023225967080538336,,0.03346663075326351,0.04560445620362778
IGFBP4,-0.009884960749685005,0.05013382887456001,0.020692270935595874,0.023617443917397264,-0.006882506603512431,0.042255599964082215
RSPO4,,,,,0.01978662395737499,0.004899474499371466
LEFTY2,-0.023118150036767794,0.0458329516131831,-0.0253395803462734,0.01634797491681858,-0.0011941248697804846,0.04139436177331469
PF4,,,-0.02019922510046305,,,0.042947597432311746
ANGPTL2,0.07684423385970213,0.07034533264100122,0.025016073904405186,-0.030590767731397708,-0.030430674631091118,0.04980238131854272
LRIG2,0.054990176396446856,-0.02768853765192897,0.05078239488587858,0.00579524395593018,-0.04418496128200697,0.017342205509001386
