,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.016803100689570732,,,,,,,,,,0.11033497790616585,
BMP1,-0.02490511845943993,0.04315639561697012,-0.030351526081864595,0.026219692377567282,0.048969536231963144,0.047516134866500935,-0.05117551810626286,0.08060944049908732,-0.010887694475326252,-0.013973239418251855,0.08042967010274778,-0.04864768863102524,0.008960664230383771,0.0071968017250547125,-0.004028982125630876,0.004636838276172245,0.0015652971694599164,0.05788258656677558,-0.050098869094574394
NDP,-0.029661787226457324,-0.05895163549976546,0.025712365664810506,0.0295753334102041,0.022600806124742624,-0.03344238879937967,0.026018424898852165,-0.005944961975486229,-0.019429989694497787,-0.01596467726680807,0.08270235614821651,0.010044814654976138,-0.11522307717798463,-0.037363247537525575,-0.025697929505538585,0.09489087206449784,-0.06403141687344535,0.07018652031358465,0.06311574295454839
TNFSF18,0.05409431422838316,-0.021274479478159688,-0.026228440751357305,0.012571644791561374,,,,0.051514669072593285,-0.011674764661574738,,,,0.13693399327774786,,,,,0.0035341806612352394,-0.02855811970330478
IL36G,,,,,,,,,,,,-0.014527087197101978,,,,,,,
RTN4,-4.469945613164693e-05,-0.03493459935912135,0.027394864001718217,0.015718359493970654,-0.000262277381720619,-0.0025045229506762,0.042889137711098216,-0.08479236173839036,0.0419321061687928,-0.04440391076265039,0.004401119542688556,0.010501890543295887,-0.08652989539501252,-0.033816237313871435,0.0014132372657901997,-0.031513101895831695,0.03130878928832398,0.01652533293717207,-0.09139670881721006
HEBP1,-0.06148618730501301,0.02097073340498892,0.00709032953126431,0.008119724557287654,0.006984682709847245,0.040341929581331995,-0.06376741718952875,0.030290716921115363,0.010971772872232772,0.025530753985680076,0.05213115082678907,0.03490707076048689,0.017781651102343816,0.04523426054710838,-0.006408229767043036,-0.0038617295550248433,0.0293602830830217,0.06292298888460399,0.06331387571683109
WNT7B,-0.021188861252718186,-0.049654871592709635,-0.02157276300788221,-0.019571379989877808,-0.033945898251405,-0.025217787045392574,0.0058452809358359855,-0.005341441393860921,0.003577263075119425,-0.0176495000480143,0.006421096230725706,0.04823633918692405,,0.07658726227381464,-0.021608357411302827,0.018415360828404653,0.051564441177012345,0.026426027198288536,-0.027954508672118877
PTMA,-0.04331374500045137,-0.03179585305985532,-0.038027302670909605,-0.003468560621210193,-0.061892248537754775,-0.00721194690156394,-0.003972998486858239,0.02591873116421108,-0.0024826947580559133,0.03712124926183991,0.10939848011492513,0.006171439545318888,0.1281104563755636,-0.011677136002551736,0.003132874183976448,-0.017737720026910122,0.013084533686015108,-0.05940778221737485,-0.04268662588249492
FASLG,-0.021188867242754986,,,,,,,,,,,,,,,,,0.07257392254602711,
CEACAM1,-0.02942092760490369,,-0.01669368372953757,-0.015019857002989526,,0.030714924898446058,0.16433936017775855,-0.032835542541380006,-0.01836162348633581,,,,0.04750595114889109,-0.02940159244280884,-0.02807947046389476,0.0007491593217657295,0.03287092821717809,0.07824173669511936,
PDAP1,-0.01808075043338786,0.020985723989411013,0.014844835444200885,0.030974644801272874,0.004796562139449786,-0.007033504828419587,-0.007073636493683091,0.08849031534530577,-0.0384841077875352,-0.04267442552318236,0.055877844408276284,-0.004336473740621698,0.005047098216918094,-0.030750739958361775,0.016270187216770277,-0.023002054994224364,-0.040080307161746265,0.01926818404379999,-0.001931524493518143
QDPR,0.01063055015601756,-0.027822162975304907,0.006180254403485371,-0.08629805140879196,0.023755658548207857,0.02318690293203851,-0.04611455518431381,-0.11310100249714358,0.040817263559725744,0.05488513053884374,0.012896117610319727,0.0008701747960917365,0.02054392110248443,-0.06710715725366666,0.02716567767129359,0.0025718416646699775,-0.04799724292241062,0.03156931653645449,0.012797215315938354
POMC,0.012286843173647389,-0.010109540641610508,-0.0016156017865709008,-0.014720245858156322,,-0.02436947421791364,-0.008389407782968428,-0.042326834729924816,-0.013546473694648937,-0.023524645076005404,-0.02634120738827575,0.014603395375458798,-0.03496420635097274,-0.03246387224277263,0.0035430762426857656,0.08373345276265787,0.046441484367697884,0.0895806790329122,0.02314714091285409
CCL18,,0.05017104366351055,0.04443240952110592,,,,,,,,0.043356656071767266,,,0.08413712173150498,-0.02474883475801809,-0.04820055871870009,0.04047782791533093,,
CCL17,,,,,,-0.01121154601293723,,,-0.01456070453984554,0.029947260528897766,,-0.01327090657841835,,,-0.01992102520955998,-0.028494029229414138,,-0.015399524368951173,
VEGFD,,-0.03214590206704681,-0.020832146623176017,-0.006796507367053364,,0.02853073928781877,-0.020844585763266057,0.0005686998922546772,-0.015513199125871216,-0.01602366953956072,-0.017797184514077982,-0.014222841624349513,0.008437453957040895,,,-0.01973868378664373,,,
TNFSF13,,,-0.015720606341512462,,,0.00749033892760188,,,,,,,,,0.08836232562393215,-0.030972035592507455,0.06227690910580606,0.04625859050987433,-0.03106716071596285
