,UKF296,UKF304,ZH8812bulk
IGFL3,,,0.06981662990775077
BMP1,0.043556032800522206,0.05650498257784488,0.016326654002756964
NDP,0.027410301721165195,0.05809003763809836,0.027538017957609934
TNFSF18,,,-0.02255679717786722
RTN4,-0.08700680111603012,-0.0520863386631777,0.010000830847134913
HEBP1,0.0024904312648900313,0.09031942786555516,0.016096377532583937
WNT7B,-0.027017581462855357,,0.007210038282619384
PTMA,0.04559012292493433,0.13500302902079228,0.00881568421136141
CEACAM1,,,0.0297960141396623
PDAP1,0.030231104577770448,-0.03514897990603751,0.03390292792438307
QDPR,0.0582999034347644,0.1364982495730177,-0.022187215083947855
POMC,0.03860821082275224,0.010500331631921817,-0.017099561973604252
CCL18,,0.09554717690915156,
CCL17,0.03481936115442337,,-0.028837722390080745
VEGFD,0.029800067570407804,-0.028934717725726773,0.1394594017888535
TNFSF13,,,-0.014140484166238507
WNT5A,0.005125896091513378,0.03176538936349782,-0.014883235198770918
CXCL8,0.0259952347009627,0.15885629252551342,0.011870403293915593
GRN,0.029451332579892832,0.11712602722603073,-0.015338845189953218
MIA,0.00754172970522899,,-0.036232282664960536
COL4A4,0.0007294681982953527,,-0.00767019927628053
TAC1,0.031646943909313795,-0.10717159604615865,
RARRES2,-0.006915295765555108,0.09782363548722058,0.058704073803124986
FGF7,0.053494324408109854,0.004826486915039783,0.056956290915799866
HBEGF,0.002570317010576846,0.08401105964407612,0.07940128381371846
PI3,,,-0.024502348496638057
PCSK1N,-0.024449606182113306,-0.11223625773625154,0.03378383032880597
NTS,0.01593111253057748,-0.026050540568533075,
SFRP1,0.07432900278721256,0.06301995531784663,-0.03341356690472114
MICA,0.05439620854932512,0.09630414354478462,0.01644371554622548
TG,-0.0199005090541919,,
ADA,-0.061435227307179985,0.03569450427515735,0.016338177516161744
LAMC3,0.10388797517851193,0.007638396366761865,0.008166103836767406
NGF,,-0.026050557721085613,
HMGB1,0.015617972741426074,0.08286568346280936,0.06666757558413695
ITGB3BP,-0.009735225464075146,-0.033586395863083776,5.547288584332653e-05
AANAT,-0.014641138782135394,-0.0032773326300661355,-0.006571637488656835
RELN,0.040644774359421286,-0.07932716690717471,0.00308329459901427
IL15,0.06560390540279591,0.006400217140513891,0.0028709043818375655
BSG,0.07254417102829587,-0.04875758111582286,0.0561405950974409
ADAMTS3,0.023200210360924334,-0.03932736195885203,0.00845222124947676
CD34,-0.033458386390165275,-0.046097225136037326,0.056353098426534846
PLAT,-0.003336442170068312,-0.04212049426062633,-0.0039166239057822705
NTF3,0.01725551145526944,,
CKLF,-0.009243118878537083,0.15974748343065184,0.0450823291193532
CD24,0.0527651129402801,0.02525855060005523,-0.05580281082401657
HSP90AA1,0.007778965326042774,-0.13105568120319938,-0.031816733529128505
BMP4,0.020750128112942537,0.057410236432404414,0.04392383880135064
SCGB3A1,0.04746248972151533,-0.043111639385922745,
IGFBP4,0.0054556872434548265,0.009239593188378765,0.07365102064711053
RSPO4,0.0010448648706574116,,
LEFTY2,0.009573649421144467,0.0586883425562176,-0.05279098860169347
ANGPTL2,0.06086500897859116,0.09682599665884065,-0.040791742937797845
LRIG2,-0.011003065484793826,0.02111754712994534,0.013768759763875702
ICOSLG,-0.011609527020050203,0.007577172674718154,0.009890502206973784
WIF1,0.05066991065280214,-0.05967443877209126,
NPPC,-0.02500016312070757,-0.05598246771398592,-0.017804134473226558
LYZ,0.010726899746391787,0.04696276439983629,0.03591357457198389
EREG,,0.1163436310008407,
SPTAN1,0.022919475700163634,-0.0417072524452507,0.04650314132923914
LIPC,,0.04453481176769272,-0.005551795574625995
COL8A1,0.03215600250284759,-0.0009293587785246721,-0.0050924444916962954
GSTM2,0.017989112352415054,0.020050327878786318,0.023179688709252945
SPX,0.030281414432745332,0.012903838162490123,-0.06175988663898887
MFGE8,-0.003921046280034611,0.0019950032920909807,0.006872767583362492
TGFA,0.02443026692118151,0.08820027612072295,0.0036502126598794244
SLIT2,-0.04068042418523202,-0.06962119821876706,0.04108628575358674
PLTP,0.07287321429021996,0.11080735022415426,0.007736233140757821
APOD,-0.01999240743286625,0.08050370123648394,0.05097820337933345
B2M,0.02770242023759164,0.1398182567217518,-0.030882785234770654
OMG,0.009063908801668656,0.006969171555946975,0.023186084258210886
CXCL3,-0.0393477860540125,0.08263415153099178,0.057617329968204525
CXCL10,-0.022342153392955102,0.012546245733566571,-0.03384169239593386
RSPO3,0.012439539237731246,-0.005435016774236094,
CORT,0.041504244454009194,-0.06557511158425491,
NCAN,0.0230891367489191,-0.12707885557952583,-0.04206243195929657
TGM2,-0.03732643074200905,-0.012898203557382618,-0.009740948273257341
VEGFC,0.006126204942198895,0.038853728559114925,0.15730386429892362
NRG4,-0.03930563219683922,-0.03373603751420042,-0.026605637207393847
COL9A1,-0.046065531339558215,-0.026426910656389236,-0.044379241977036396
GDF11,-0.00957054841592359,-0.023487128235681665,0.02027346070069497
SORBS1,0.03448241081147905,0.09068603159239123,-0.021029930892615387
DLL1,0.013823535902273925,0.06920451296886938,0.04104321625022906
TLN1,0.01985432620801519,0.07297738870483722,0.02692140622264431
SHH,0.04581961328155272,,0.009869940139531495
PON2,0.007288690107564292,0.009484970557833216,0.04493796616611618
ICAM5,0.008931820678056042,-0.057649667912025186,
HPX,0.047096698853580615,,-0.008053620840554476
SFRP2,0.001390791314671997,0.06581710519628456,0.02017850625640669
CFC1,,-0.02752744294471191,
HP,0.026065674390770274,0.09313019529526034,-0.005277852484996493
CXCL2,0.010639668305903724,0.159886556476771,0.005421882300852019
CCK,-0.018781298254111223,-0.1205049114530919,0.08298127597678469
SEMA6A,0.016690291295831057,0.0720964417855464,0.0025231382546498675
IRAK4,0.08510745306547479,0.05778196583297883,0.022671906346931846
GSTP1,0.05770641185569645,0.11792470480632683,0.04551344783346823
VCAM1,0.06509397342202114,0.040133112766510576,-0.015649182741664693
NXPH3,0.029225604949876242,-0.024084248421391573,0.08369868580939036
MTMR4,0.0016796374789922548,0.0027528760527314186,0.05743011371180272
LAMC2,,,-0.02572353850556169
IL10,,0.1007152831675453,0.016737508343689377
SEMA4D,0.022558430790271842,0.08660443393845016,-0.0022084594775256252
TRH,,0.009395422861643592,0.038763829033708994
SEMA6D,-0.034094990943328594,-0.029088023057985513,-0.007839731038595735
CEL,,,0.06594038057263665
PDCD1LG2,0.03303133032449017,0.09993548921239492,-0.02820817682112444
SPINT1,0.02497438629845569,-0.027625779077386177,0.0025215186189007795
CTHRC1,0.001805915396845223,0.03402544111819351,-0.005639110538122344
PODXL,0.02887051547981453,-0.002651556718115718,0.06887922837032702
JAM3,0.02632887366913635,0.1532151294556718,-0.0115928780391833
TGFB2,-0.010077194387630132,0.042055508820686927,-0.05491058107576667
COL18A1,0.04878864939475989,0.11056455752780608,-0.03923906424964175
NODAL,,,-0.012117049500495757
INHBB,0.022756846350175507,0.011682333513305634,0.0035988831980907133
ARF4,0.0005416704007160197,0.05345919743301923,0.02801682230289115
CXCL14,-0.01937380516022457,-0.024332470928235463,-0.010689776179126533
LIF,-0.04360459600151933,0.12061662772603181,0.041180922802971975
MATN1,,,-0.026020602326016138
ADAM28,0.029446259483286632,0.10172854472584524,0.021235486138456727
TCN2,0.04564755102903192,0.09220838512793808,0.029259020307758312
