,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.01924620821384651,,,,,,,,,0.056118921390515775,,,-0.02271836610840907,
BMP1,0.04675103192381551,-0.015029423836409716,0.007785881660559131,0.05376750654195171,-0.08094879071402716,0.02711207744049411,0.053470644379796935,-0.022603354764935767,0.017672661008425166,0.01989481108700415,0.010216693607039216,-0.011849682980479797,0.03381946951723169,0.008954942772469724,0.007205277721652311,0.03653691856591836,-0.07592548385970906,0.03668474688489015,0.051325105035328326,0.000865019329783807
NDP,0.023250903341978272,0.06509883231004328,0.007921735186144006,-0.025093918296622456,0.018879605827991204,0.039552094377665756,-0.0002821486900477034,-0.011190222969617325,-0.025332766449199563,0.04500273059126453,0.01175425289020141,0.0421846903684751,0.02583025198171689,0.09794501239656284,0.059462369213697866,0.011964934244179838,0.056111382059908066,-0.03985368814188387,0.04635095428500695,-0.006991621969682357
TNFSF18,0.05671460211722353,-0.028381960077513993,-0.013583100260317171,,,,0.024877795581758694,-0.014907370290543787,,,,,0.0012663818702642634,,,0.07210444819012242,,-0.0038267650147891766,0.04167479204055377,0.08051242796572285
RTN4,-0.014791655847909152,0.059769692097398915,0.053037624590508085,0.020987806813996143,-0.015272293884272885,0.003456079918710195,-0.021579048372165042,0.05396091667834719,-0.013795925241134844,0.03734925014768415,-0.043705039915568934,-0.015833354151078668,-0.035112752839273446,0.002459004049434648,-0.037421437560493126,-0.012679572420932669,0.038381072148000864,-0.13264007458587648,-0.05006495242812054,-0.11886107364093695
HEBP1,0.020110214004501956,0.040609155829890484,0.028601124448177542,-0.013885171152817701,0.012773193422817897,-0.029020541145980846,-0.0009614691769559402,-0.013956335019074808,0.015656114133423087,0.0022880232464283596,-0.026619215207176583,-0.008400512921814518,-0.07233799227963426,0.0037926732239650335,0.04447434088455896,0.045566475772020325,-0.0017522614358562053,-0.09626473408214246,0.003005616584593354,0.04182182231759812
WNT7B,0.04171932077172546,0.025841643128133814,-0.026463296593072626,-0.00011276853719959296,0.05233822119036642,0.03431664979281187,0.012229500080090237,-0.020991135917800812,-0.01888587733849093,,0.008972655586861684,0.014044413725336548,,0.03491606584499131,-0.029360281530669902,0.06720381100353744,-0.020948081314819237,-0.033140108120231146,-0.03901917214363263,-0.03567287517865344
PTMA,-0.007141497187257396,-0.07893498126282417,-0.04441459341020272,0.002843934940826982,-0.00013005630629436374,-0.04803136128958121,-0.04057575705011759,-0.005761901084245187,0.021261388482816036,0.00537032212719887,0.03994424729466461,-0.06889323130825915,-0.038895383912891796,-0.10443750104995274,-0.02562193624743558,0.014687473280045207,-0.012455564193240743,0.039781030363773305,0.03080871903519998,0.07014099026536262
FASLG,0.04015828664940683,,,,,,,,,,,,,,,,,,0.08776081088625762,
CEACAM1,0.0505384970181978,,-0.021982771614343664,,0.015377668339548794,-0.018762223881771782,0.005655836700490918,-0.02344574202401375,,,,-0.04643476826163053,-0.04431306174496213,-0.0314797703378937,0.029049395931326046,0.05804849298004143,-0.013903546231265114,,0.032316191525667386,
PDAP1,-0.01636711955541473,-0.021441271021190977,-0.0647068877732668,0.0038682518403729987,-0.006673015073662173,-0.09760539697771659,0.020288744784468817,-0.013070921829466023,-0.015861963191684442,-0.00843883633705122,0.0255239993641435,0.018594787564976515,0.09670235872325754,-0.011908885811827221,-0.023860272185550983,0.012075096662363678,-0.014384276138386793,0.008670918999167996,0.06974855529420498,-0.056713961561338413
QDPR,-0.017287958843530852,0.05067738889833657,-0.04293748511024994,0.033618440103245606,0.002357277290094471,-0.001977410391487306,-0.06933832471825208,0.04617947701164419,0.022690500390002918,-0.007118563325112364,0.07695502124449762,0.01061232407010458,0.06971478023109756,0.03072718405774263,0.07619019228283104,0.003896464930352453,0.07221922774241438,0.13901383757773303,0.07163976568784054,-0.09560425397218737
POMC,0.04079221339977499,0.056610564732716896,0.028619963978348584,,0.029572788330171865,0.02098321708746786,0.015916190635414065,-0.017297333638072985,0.02515711707170448,-0.06976546015429884,-0.009073404493272345,0.041091539791694026,0.06914197206557432,0.056532469891894234,0.021017927279814014,0.024945598681678373,-0.022744375186218566,,0.1023684990156772,0.05484337410462015
CCL18,,-0.0380625421486621,0.09754127994331317,,,,,,,0.03887797769235277,0.021025241595656868,0.016799655291525068,,0.06833693160648976,-0.05093358259188482,,-0.028130195644569506,,,
CCL17,,,,,-0.026112856888227055,,,-0.018592393128154184,0.08978382657375038,,,,,-0.02233337339102212,-0.03044406053071631,-0.03302641894213326,,,-0.017859128556101254,
VEGFD,,0.03970403183995293,0.024165358602410165,,-0.008853179769739582,0.08354637201860006,-0.020499752659550206,-0.019808622311801614,0.015724813723010826,-0.02158413016139023,-0.016786418366544598,-0.04485648315074813,0.0039028473086016612,,0.07591510898381552,-0.004120957749212704,,,,
TNFSF13,,,0.07917479491112696,,-0.018012064258504778,,,,,,,,,0.0792085887537777,0.05166438347505165,0.05083168180700914,-0.015612750566793314,,-0.029099959341274188,-0.041974273488601256
WNT5A,-0.03195939457145079,-0.02857791292258481,0.03853203409692783,-0.011904616978202547,0.025593766728027836,0.06816576796636524,0.009653823613625746,0.03177106274122194,-0.031153892122543846,-0.06046301863166433,-0.01819046272005507,0.06758178426825995,-0.05390747905016311,0.019319363632364906,-0.021883044711106452,0.032088736101096436,-0.03650436542547557,0.02030319874370357,0.08171834763398295,0.002040259987159835
CXCL8,,-0.0674283479193837,0.0821661305164464,-0.05882586142273109,0.06980788859589099,-0.02503072243578561,-0.01948565273191501,-0.03784633705483936,0.02034732024956933,0.04889221813513766,0.05612744996749106,-0.08850330148408594,0.10588431304683729,-0.07367473881708521,-0.12665369250233646,0.007672279917285174,-0.045338717597688205,0.017061457304061018,-0.016729138874653007,0.06117372418697062
GRN,-0.013080736175074194,-0.033700534604362425,0.0004911042740405787,0.015267924939464547,-0.03936787128104653,0.021787053783526196,0.0033600445460574614,-0.045810569662340754,0.014058529617242669,-0.005556104122791875,0.0020507383951138265,-0.015402753514563185,0.12429082165133029,0.051840945462163265,-0.026295071407614206,-0.05291605559397341,-0.06816812713331666,0.03978112783269975,0.011387992318665168,-0.058538233658454
