,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF275,UKF296,UKF304,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,0.042577805822674744,,,0.035875311102782116,,
BMP1,0.07932266318637629,0.03450597223328845,-0.063568999292796,0.04723925813859214,-0.02360961787251192,0.048636133372598395,0.060664905733029136,0.01703797073937109,-0.042014504362529466,-0.07981806525341226,0.021500186222931438,0.013324941896782135,-0.06630847855860295,0.07129264353634138,0.03706895100630213,0.05809866594366978,0.03712061635060181,-0.03031823477108476,-0.006171028111265948
NDP,0.16040835067987708,0.04758376845846271,0.039845369306590335,0.07890632166653926,-0.019120172739413098,0.0781264343243522,-0.00894703688972025,-0.029394609424800232,0.053539543000737225,-0.015618967654911093,0.05363794680622005,0.04122431363736381,0.11261053932691886,-0.0398315809371873,-0.0010455823388515475,0.08993327286623387,0.11965406806395164,0.16179141646089595,0.15367982567501462
TNFSF18,0.023298242929740483,-0.024490598075249507,0.013027984267259672,,,,-0.014105908833780663,,,-0.03367719910685531,,,,-0.03248843458578196,,-0.030607614933867943,0.029446136937583866,0.049011263468016535,
RTN4,-0.15598388430241203,-0.011194535316274708,-0.021828226323143348,0.00042096734668238333,-0.027466450691021344,0.09846933716334721,0.0386610123065885,-0.028021894878440205,0.18617825703958119,-0.08742564064403442,-0.09677259278754118,-0.06595230779002124,-0.07747421441096955,-0.05906754154389031,0.032697956333931105,0.00022548863656814095,-0.008539654397903267,-0.14705081910321033,0.048267114584861034
HEBP1,0.03625675235764122,-0.02964899147401495,0.0662659982034551,-0.10705924659778218,0.007678590738198628,0.030290989363502444,-0.0075923691438843045,0.03488540385671043,-0.050426909736238194,0.02464691511105895,0.006163063466380605,0.03633100517391336,0.02232315692348568,0.016560774305492392,-0.02222852248332537,0.019621479393761847,0.07679334639531984,0.05147678362958173,0.07077560665587446
WNT7B,-0.030029990547513187,0.03589343026263843,0.012340951509362515,0.09875019213515708,0.017508884791657544,0.009201079436392534,0.04660587034662683,0.056489906049142675,,,-0.0435754455795013,0.020226904034542807,0.05184941014834159,-0.02999231332567896,-0.04139422325931197,-0.030607583196070497,0.02822294805984847,0.04414021212225346,0.13672286693303332
PTMA,-0.1437612230344543,0.09815501305986427,-0.05278387558303395,0.07636125651756918,0.04789356947283449,-0.08781911125010375,0.038535776019064584,0.12759006540935736,-0.13948356786732907,-0.059821860419049196,-0.019955070373219443,-0.09140525631081751,-0.005206379311916189,0.00882728362847154,-0.008472942073595698,-0.03133411469904443,-0.08199388351107002,-0.1016177802912468,0.08197473283678398
FASLG,,,,,,,,,,,,,,,,,0.024361609636650433,,
CEACAM1,,0.00405568451886951,0.03748444182611658,,-0.04933939358364212,0.03907854124453426,0.003930108528212235,,,-0.004810940560961942,0.03843687807028756,0.058010111770090335,-0.014770798193676068,0.002871954198097536,0.0009662587352591913,,-0.05868318641198126,,
PDAP1,0.01145438124990212,0.010512504279568605,-0.01742567477930481,0.029903084008939998,0.007182188640470027,-0.07912099480229502,0.06540292431311744,0.016284867296854983,-0.0481561357959321,-0.05411949073788736,0.09391349880370721,-0.036437829849836,0.016600289479963358,0.003027737666437471,-0.04029738381217663,0.006490329997175355,0.07359386259481299,0.02835461394280127,-0.022482704160248296
QDPR,0.05034727498072117,0.08756377683722086,0.05032562398965549,0.05168512572952774,0.010131664417946318,0.10249957992329885,-0.020761180233664505,0.06929134560248094,-0.09118197452533719,0.041087222815515106,-0.09369500462475498,0.10625316630743935,0.10659446208527028,-0.03593727693121445,0.004302439299269583,0.024864707411181134,0.0895534494387951,-0.025351840132469907,0.07880727971769122
POMC,-0.006945133633085553,-0.05181624027666864,-0.04748165867742703,,-0.03350754756884208,0.04642641882056519,-0.016367381141724147,0.02158071371496322,-0.044759317451764265,0.020395780801738896,-0.014732521931871648,0.03218625113380926,0.0848196306706404,0.051754295864052766,-0.0032200229845641146,,0.0936156903672381,0.039750267122983414,0.03239780881093037
CCL18,-0.06676878524238607,-0.04910040507863725,,,,,,,-0.052517220437301525,,-0.02770776523216212,0.034635694491814605,0.0746881331476938,,-0.009376868301996985,,,,
CCL17,,,,,-0.03750560687808704,,-0.017592814651817865,0.015566108445629164,,,,0.044706308183519276,-0.026916990837075466,-0.021537784636925794,,,0.07166251325152855,,
VEGFD,-0.010015030151157523,0.009244461406857037,-0.021307273087938273,,-0.012805200994030048,0.006984742122619789,0.039571672583531066,-0.015137242118116817,0.048977500723226326,-0.009149175024115568,,,0.09230606858162457,-0.025175201457328433,,,,,
TNFSF13,,0.0099891211207932,,,-0.0009515400782830441,,,,,,,0.04162492155499178,0.05184207271617126,-0.051427964043819524,-0.0451780027862401,,0.06180857618235379,0.08169973647932173,
WNT5A,-0.02127925675177596,-0.046316962877707764,-0.013583748275643492,0.08477928413690652,-0.037690659933990914,-0.00785680806965737,-0.0009709063427667692,-0.009365485719466878,0.08810362187616957,-0.030126791366619752,0.0061658359466800206,-0.01691262004245312,0.0008502099478015766,-0.016868947377109485,0.039129852304770764,0.043928549473883645,0.02015814543293518,0.0034733301368478175,-0.039479052600362344
