,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.0019640053166937853,,,,,,,,-0.024544922592887188,,,-0.0078097407269051514,,
BMP1,-0.04541579906302761,0.08543510491422633,0.0039567618626166826,0.052825822094327485,-0.05377278611112344,-0.003040291588541608,0.024943290836245035,0.14630149148281352,-0.004035052960607912,0.025992824836625895,-0.007971778993622137,0.035776519129953256,0.07279955381318617,0.0008244420363860774,-0.04125366204918508,0.07050435439413229,-0.08183160285112213,-0.07289455673381225,0.06290171276709824,-0.011464004986944604,-0.00883460448195058
NDP,-0.057274177994364454,0.04819864215815677,-0.040887925817875516,-0.06508697649536777,-0.01945563665200435,-0.04817205369168341,0.006976104292161605,0.07285362275768316,-0.0035623974837285257,-0.10043075267940592,0.03347520655341779,-0.030492895779413966,-0.04376026737983278,-0.005986205713628775,0.05868421262569076,0.0048578108364622325,-0.05027424188905995,-0.024812341237643414,0.04510332911522513,0.004984950825351005,-0.07214428326369234
TNFSF18,-0.025169312303101883,-0.02665078777720901,0.0006210242505097252,-0.02874086537860149,,,-0.0058489532941619436,0.07313427743933736,,,,-0.027050306857726837,,,,-0.025312745426718557,,-0.032647421571125594,0.07998872193257059,0.034695758250628796,
IL36G,,,,,,,,,,,-0.013752908451636993,,,,,,,,,,
RTN4,0.07311096584112049,0.009975170228988861,0.002923751990059909,-0.018006820316262242,-0.030631989269461948,0.033878494627146274,-0.005315484189420762,-0.11930654244333248,-0.06249583553603981,0.06415663132427162,0.02376431930258546,-0.07556027386964047,0.01616715675925464,-0.0014261718474987252,-0.0018584940644537262,-0.015947657555557573,-0.0696427078500722,0.09370895170373154,0.06094025861008856,0.0012018153281018807,0.038655840130849196
HEBP1,-0.006785025415548807,0.021934894137705337,0.09855705109034993,0.0508823161021577,0.014343700333109864,-0.026884372652455482,0.003236598664168208,0.07003594049746234,0.04891602415335835,-0.03980276790253746,0.0042172649777505984,0.03211852674444095,-0.025793432082379872,0.06584222232047537,0.04947599094099727,0.036611967392521275,0.037563912459192356,-0.03304316322255713,0.029053833327851046,0.04119743395659332,0.050219498246275585
WNT7B,-0.022173375814249746,0.008512472291313187,-0.008709684958356254,-0.009528306979583217,-0.02813302646843028,0.024131869621187057,-0.04879524504534602,-0.017141374095114785,-0.012479995889344406,,-0.015116031292766013,-0.02977974759406946,0.013737191496712525,0.020942271720163008,0.042568528394705575,0.10841247211394786,-0.02036667004510314,0.15484021588480776,0.022466400107228682,-0.022752029895631583,0.23587732990042315
PTMA,-0.07769323272981159,-0.002878890864441198,-0.12298438092758494,-0.009152402442344694,0.06653848818829211,8.657973200945914e-05,-0.00926328598873369,-0.05710802199335942,0.04555601695734677,-0.10089607726209308,0.07510966082172778,-0.017085736754014376,-0.004767419207468103,-0.01704517295697407,-0.04810480737206215,-0.03710976425446818,-0.0577541395134094,0.03673283518725184,0.003427803915604068,-0.05419374104399906,-0.053196381179279606
FASLG,-0.022173382082606285,,,,,,,,,,,,,,,,,,0.11476601520825011,,
CEACAM1,-0.014786688277543033,,0.032027900378422944,0.05469791278393591,-0.026430152696278315,-0.005899002560309117,,0.030917719965415875,,,,,0.06298804682618155,-0.046963291511052045,-0.0062692152141063835,0.017961944252301788,-0.013517655115683194,,0.025743374550564604,,
PDAP1,-0.05279577373938415,-0.010195145648990895,-0.014033644807831439,-0.01592945131786467,0.009474881805176853,-0.05380361249320079,-0.01956180532175115,0.10477338554663941,0.012191069573787197,0.033387096119561754,0.05801478439915622,-0.03862811977584554,-0.04903465419577014,0.03227159929762824,-0.027145359170179975,-0.025674686904165446,0.022293184255375395,0.0027687418150228365,0.009996199397171678,-0.021825208235002745,0.08985938220526092
QDPR,-0.014004622852343726,-0.02285167257543143,-0.02456149011435458,-0.003607292983753206,-0.019192545658600606,-0.03513885043973718,0.14403965094784182,-0.1147278433907248,0.05112655065770762,-0.04781683401914089,0.07296404238582116,0.008087249868499844,0.07826512629505443,0.036719404536674854,0.04527050178353714,-0.033506236206886794,0.09538553655505885,0.16295805328328017,-0.023980988716800267,-0.0746130637822995,0.025810245232597045
POMC,-0.002259409426605277,0.0852045980765208,-0.03895806353853009,0.052653754735490804,-0.008968524449418966,-0.0404034598119435,-0.04892386944976702,0.054125014518486864,-0.03356623713032632,0.005282404196729389,0.04469532740074113,0.002261101966956808,-0.05699123829965718,0.010675957420113234,0.05896902531517253,0.03530621918921063,0.011892388299940406,,0.08312152241888474,0.04456787839492876,-0.05355062898751191
CCL18,,0.08330686218554802,0.004081887186935053,,,,,,,-0.026615118728827023,,,0.05918274240858116,0.0492294693206727,-0.021871413497487446,,-0.036405406099711726,,,,
CCL17,,,,,-0.012928010101284576,,,,-0.015446736419244768,,0.20278947273168316,,,-0.03331818223988742,0.0322498205636178,0.09158312903575068,,,-0.01966733134419415,,
VEGFD,,-0.025400013938122072,-0.02671764748072433,0.025218866086737672,0.00524009093707723,-0.016617551914273356,,0.03337313694893867,-0.011330367967472806,-0.024443821757745843,-0.01346487675938452,,-0.04956380046254274,,-0.007757378451687406,0.03909020241092477,,,,,
