,MGH258,UKF266,UKF296,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,-0.02168418386643182,
BMP1,0.025106942719672842,0.017054512919707117,-0.008314724285854912,-0.00302150842282759,0.007435473722186326,0.013142049107702027,-0.035493478419959645,-0.06376524572807922
NDP,0.03531862147528578,0.03294302745465323,-0.014306431021346518,-0.004036678671127779,0.01252142692087179,0.05308101416179089,0.02773367371602151,0.006644405048913877
TNFSF18,0.03372044010585426,0.17556628469182414,,,,,-0.022362516073128984,
RTN4,-0.014225271503634741,0.0487267226654361,0.0012837037649450565,-0.061932850784333124,-0.07196436267541402,0.053851750899775404,0.054273131685807,0.06272509422294385
HEBP1,-0.04494698233024674,0.013995491950519688,-0.023465775228039214,0.05223508991348634,-0.03190833829076882,0.045404060712315286,0.03209640937812776,0.005740712596121889
WNT7B,-0.01622976003574027,-0.0037561426094568744,0.04059196357554095,-0.03046730404317268,0.03150549692766863,0.05103745833776193,0.02964601259230343,-0.022338912311980718
PTMA,0.012144457603941354,0.007396570055113688,0.012108504000764969,-0.08395761447362607,0.09295546751144228,-0.049628588543551795,0.06130726134720782,0.028807835675083826
FASLG,-0.016229764623851856,,,,,,,
CEACAM1,0.058156290533618454,,,-0.0015855067468860211,-0.022267304783886065,0.011451506734084543,-0.032132600918808554,-0.014826660991910582
PDAP1,0.0540383640152843,-0.06603402227322078,-0.00450962591686985,0.05340996474364329,-0.004933258650137631,-0.04925846708905291,-0.10498537228713602,0.03303177151583607
QDPR,0.009460869866055944,0.020469389803818266,0.011899487995688794,-0.04922287016932969,0.0037873170332396017,0.05089495652714145,0.050702866988016834,0.03731758066111935
POMC,0.005028539336453042,-0.031723166351126784,0.09578230479765673,0.02177720867873454,0.07565055327881082,0.060620629685601814,0.05177028779115335,0.0383830066778961
CCL18,,,,-0.019372857728900673,0.006431765494772418,0.08860869061831816,,-0.051059250181526475
CCL17,,,-0.013513117896291884,,-0.015797574976320332,-0.003581991220074083,0.04660916490391349,
VEGFD,,,-0.00991203539681523,,,-0.015399747435923315,0.021505680994123297,
TNFSF13,,-0.011661297029180017,,,-0.015017760969435237,-0.0068697637471566,-0.030658374006169907,-0.01664934657350659
WNT5A,0.019431867006094724,-0.01878952158128921,-0.012350454977969013,-0.004873173661601475,-0.021550183660644106,-0.019823892423564117,-0.054141346593682645,0.039483859636721505
CXCL8,,-0.016587438682130133,-0.009230518351141763,-0.034108966157087264,-0.06385200407807237,-0.07154186230769809,-0.027735480399876295,-0.04753935538043494
GRN,-0.03763142375574037,-0.0975281886751781,0.04001072125539055,0.01587762762004854,0.01589918100911427,0.06292466944645193,-0.03776873952859346,-0.008133615756809053
