,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.037871181688057386,,,,,,,0.03381143574805336,,-0.0003784096891699336,
BMP1,0.038421667414424224,-0.03415732817555629,-0.004198853214494139,0.0257181563107746,0.051312122635231425,0.15796541402042127,-0.028595863710843154,0.04273529438192814,0.0861544597746838,0.020355124130109512,0.04464703253086237,-0.06881179858653375,0.0275175966412607,-0.001231420867010448,-0.03269364276049036,0.052136834567590704
NDP,0.014936057657917036,0.01287833500827173,0.06339315858566219,-0.04737329535835744,0.06670914380128816,-9.016160024005783e-05,-0.05130717205994183,-0.00335965863302438,0.05175904800897472,-0.09174224476434088,0.049382494172331565,0.07592056741644988,-0.034472128347100076,-0.01369723247580316,0.16345297369737052,0.05598390586343033
TNFSF18,0.04752274619739236,0.02621060589889174,,,0.10069913375256641,0.03979193033213806,-0.02277375510213497,,0.20814648845613173,-0.08381114792232536,,,-0.01946277161696068,,0.0074357482086057445,0.014897942648447368
RTN4,0.052465369644822936,0.042886893750368534,0.019600720302664066,-0.041694298676950944,-0.034558648148606486,-0.2653149886866261,0.027269299415206807,-0.02029936900684122,0.03587629139424351,0.006409549718803957,-0.08650880256906646,-0.06958573308828392,-0.03537841438206964,0.0359007216237107,-0.04096858317326568,-0.04616201949180027
HEBP1,0.032094076062775305,0.017067962862766652,-0.030291877814822166,0.002913433891367874,-0.054196698029898516,0.07443482847212891,-0.004273539897981453,-0.015683897532444344,0.02591060049872039,0.043307258712274574,0.06035741151333471,0.04888467824179703,-0.044586709658175204,0.02909818902894622,0.10697425475215616,0.028862237766768183
WNT7B,0.07797302970143881,0.026536133733071617,-0.03887619035247068,0.07004856768597828,0.05878681161218091,-0.10889065881323139,-0.014624236641290776,-0.03361804934883126,0.2354694837171051,,0.042454014805858586,0.04485456966075853,-0.04069822994831964,0.01874857795407682,0.007606971615378688,0.06750128263512115
PTMA,0.038956105694681324,-0.005674320640209719,-0.04303820992499923,-0.04215736550620478,0.04196416013116033,-0.1377210971153094,-0.0027451437630861596,0.04437809596762279,0.07033828764631823,-0.008253802485308883,-0.06298908324562799,0.03309708442474724,-0.0067144915836861935,0.013620342285411978,-0.08784740920615755,-0.03634154145269931
FASLG,,,,,,,,,,,,,,,-0.007984501569399517,
CEACAM1,-0.015573935997232207,-0.01205589318217162,-0.01190145657367317,-0.022792794923874513,,0.07745218690879693,-0.0028495006133121463,,,0.023233652863853392,-0.03165002381724405,0.03454966856946829,-0.027965970872713467,-0.006675150134961106,0.05476906970056811,
PDAP1,-0.06744214110960839,-0.059288682904441725,0.009537928799937477,0.0031657381560350507,0.07309382854766926,0.18568987455507652,-0.015838917717215885,-0.011540750997189781,0.056316419887085994,-0.027750815027634473,-0.01962237337577062,0.006107882392347071,0.01650416669807644,0.0371381405187405,-0.01923280458901822,-0.06517523527922887
QDPR,0.018353980825736676,0.03045168043145259,-0.00936081994142717,-0.02085309833082408,-0.015939200884966278,-0.2545578057581254,0.012413037498454916,0.02413609498542932,-0.03997108754403007,0.0426189222902354,0.08718949758707094,0.07958432918183446,0.0483312769504459,0.010040322308485363,0.038662477624584426,-0.004451802856057584
POMC,0.12491270483471761,-0.0214213987562046,0.02087986553002173,0.015819403251248795,-0.03367186317848238,0.014276519237266017,-0.02642486451438552,0.03295832174101546,0.016196263690489956,0.034017663423462095,-0.021451703832458313,0.04338291103611611,-0.031300655374580245,-0.027958722919294233,0.004529269274666927,0.04471487080747481
CCL18,-0.019434800636353916,,,,,,,,,,-0.025090378629732357,0.053859318702119914,,0.02036800397960405,,
CCL17,,,0.007194484767535485,,,,-0.028403306526288422,0.04267279560074305,,,-0.022454159994121158,-0.03904614436042056,-0.02488216746401243,,-0.022690582755229248,
VEGFD,-0.0010570704121686363,-0.01726764821725374,0.01929055234440035,0.06067155786929988,,0.039351808092083496,0.01710270403968545,0.030037651324404786,,0.0696247394171749,,-0.027048456026091836,0.09107761676567903,,,
TNFSF13,0.03246030822425162,,-0.020925219721484017,,-0.012377629449219394,,,,,,-0.023408140862740536,0.007282922160462289,0.011460873483599598,-0.026231119620131034,-0.0017929254004164599,-0.016107797015615714
