,MGH258,UKF251,UKF269,UKF275,ZH8812bulk,ZH916T1
IGFL3,,,-0.013609676090504053,,-0.021684181703788736,0.06823326495762715
BMP1,-0.021097440933978022,-0.0030866576832071307,0.08890361940238645,0.05530802631748777,0.05079637199885699,0.0047469013919940566
NDP,0.009245903094582153,-0.03807906916505311,0.020288768873311696,-0.005329519235816431,0.006165527785741529,-0.03125402194197338
TNFSF18,0.1804097549888401,-0.016864905260908645,0.017672301917312845,-0.010176853542847487,0.06789353551596972,0.11852205078882432
RTN4,0.02728857816202835,0.004797422054082513,-0.04462803520360278,-0.05553254665021352,-0.021463868804758042,0.018503845561157205
HEBP1,-0.019790990190726537,0.07888322487487684,0.07027301919064677,0.002896588551180619,0.011858058355108125,-0.002795062864745647
WNT7B,0.12515474135521507,-0.022175835865225767,-0.05633002900700493,-0.029171003341050324,-0.035378739609259455,0.03699403733535973
PTMA,0.10969639741790067,0.005878205642161516,-0.014245457178432095,0.006443827459458881,-0.06556391908777681,-0.0023099566506625865
FASLG,-0.016229755999932448,,,,,-0.016311577354576147
CEACAM1,0.021056920051521297,-0.01701862023984631,0.003525878547237586,0.08648581161405094,0.034787365991559516,-0.004750592777255793
PDAP1,-0.010277032173510007,0.03886674309679903,0.04516057715741362,-0.034519630107182994,0.03416324649629788,0.020058982725100892
QDPR,0.11383485105265752,0.08209216054984741,-0.03612975510159271,0.011395925801569139,-0.009464226016114964,0.026608434519452294
POMC,0.03195044561655854,0.02681484458223866,0.03701110640223663,-0.011808416084498886,-0.06949624703548603,-0.01580158016732637
CCL17,,,,-0.012692517740455695,-0.028589340989275167,0.0687560649947869
VEGFD,,0.015825131586015506,0.13157660053367082,-0.013522804104534826,0.19488039642414193,
TNFSF13,,,,,0.0027001156040454446,-0.00705364995740082
WNT5A,-0.04392655651375325,-0.030497323126977872,0.05754748240409215,0.01741467652049385,-0.04736969327631451,0.06214967798055019
CXCL8,,-0.02282401598514608,0.0290079963943869,0.02596702619878746,0.009521921595220167,-0.01600406143912224
GRN,-0.012456737747099218,0.03202895195788968,0.031694333547314185,-0.005012812551741161,0.03764432267315535,0.066950455309148
