,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.04914389751506632,,,,,,,,,,0.08316373902672883,,
BMP1,0.008569117223283448,-0.03316703552891602,-0.00904029621033289,-0.02371400556522746,-0.009065072841156237,-0.060648783390151985,-0.07676599844133666,-0.2837322812195176,-0.11285216400574055,0.01779616184207109,-0.1111052299725226,-0.26549961727265836,-0.01819997403231788,-0.046859444457653464,-0.03428611936072754,-0.026777933222108807,-0.03649675927035225,-0.034572830273279634,-0.0832878273439521,-0.09905018742260631
NDP,-0.10823486830647255,0.0003537447648795243,-0.05120836859101566,0.0328329062323983,-0.04998334039526097,0.08256374884920278,0.03312265242643319,-0.04326599537663993,0.05244756812800749,-0.05123842982296654,-0.13518405931658395,-0.07366978018254172,-0.07277150165115055,0.07208946616923734,0.11672112014824847,0.011578994478400597,0.03363620139948725,0.054912841077484585,0.15841928699664368,-0.03343863204162118
TNFSF18,-0.03270109768161595,0.00026228917740138234,0.0026007978904023605,,,,-0.01936168913972404,-0.06777904451600784,-0.023846421430939607,,,,-0.04957568470117275,,,,0.031249419455334833,-0.02809125550525498,-0.007922638529872282,
IL36G,,,,,,,,,,,,-0.043987882880002986,,,,,,,,
RTN4,0.2505147260267892,0.03432927396922483,0.0378508622513551,-0.06452995432853165,0.05458974277018836,0.20107800789183572,0.1312632531814579,0.38620843079271255,0.15637354258898395,0.0691105223270903,0.3919831819707493,0.3783130312252102,0.007929400778583711,0.0157341388649427,-0.00891532463387098,0.07989131583173903,0.060951296038847684,0.012851519660796359,0.20339189058010207,0.0525496169611594
HEBP1,-0.03499899513382178,-0.03904094540252154,0.028303587996586957,0.047835003352957206,0.00782589417813297,0.04030084017818377,-0.060907971533214166,-0.15413003334670725,0.01687113939951731,0.009277504955936728,-0.2091500569791521,-0.07896026870741307,0.02752249499487614,0.1256650080500479,0.11189298708561599,0.034944873257951675,0.03349767535718711,0.040359104341761015,0.011312702333879194,-0.049006545856485895
WNT7B,0.39145874722963075,-0.010498135955373366,-0.010312202636076575,0.10077939262898185,0.0008210762685891252,0.011419302068792082,0.05329285551281478,0.2534606364962452,-0.029674024139536685,0.08702516565882251,,0.12476654438845687,,0.008442524330433106,0.04207560606559292,0.06033415997211152,-0.029615113041684356,-0.03554521148680368,0.03149869458613881,0.12088155700874822
PTMA,-0.09197568141729393,0.033217624325166374,-0.06490328259833786,-0.011520171104159595,-0.051951089633174546,-0.10237178970747633,-0.1699197791855339,0.04719905043312546,0.06997749310581357,-0.10051998864797848,-0.46533005864271104,-0.3780974333021467,-0.05277164424871999,-0.052826653005180614,-0.05968949029195616,0.011583001599831754,-0.1621057738413518,-0.09397176223048682,-0.15481629580634515,-0.18188055127939007
FASLG,,,,,,,,,,,,,,,,,,-0.014443460902185623,,
