,MGH258,UKF251,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1019T1
IGFL3,,,,,0.09215721241270733,,,
BMP1,0.06602924024720609,0.031967830970860193,-0.01062225904113572,-0.015222888470525742,0.05317845173602975,0.01287466594140516,0.02000672506788121,0.12689545012199288
NDP,-0.040131082647628276,0.006007334477125899,0.014803697279951926,-0.03349113572064527,-0.039089656799563825,0.03340384938700654,0.04800436365508584,-0.0036800807176938315
TNFSF18,-0.022885138856117614,-0.027720012822806332,,,-0.02155244481276871,-0.010647508906761256,,0.086856066050764
IL36G,,,,,,,0.02216182666711866,
RTN4,-0.03547964652888472,0.012260339851447291,-0.020212360697612012,0.028526366237196378,-0.10296844145699224,0.01577240349440901,-0.024078126402140562,-0.011863711272494852
HEBP1,-0.00283612240002715,-0.01645498681084408,-0.044024813430619814,0.03232838239547031,0.05534440227533637,-0.013619161574203136,0.03118483400560083,0.04653943056609062
WNT7B,-0.020161090549758405,0.0214515790895072,0.036337186678886975,0.010623035145889791,-0.05376674540285383,-0.03052009312950082,-0.01883469616654103,
PTMA,-0.006349055995929082,0.007404538323712594,0.003213629713048141,-0.07020223042598163,-0.033025879324463506,-0.017633243596987508,0.03255725454207321,0.06758854054310129
FASLG,-0.020161096249247057,,,,,,,
CEACAM1,-0.027993858585687675,-0.020694981765090967,-0.024713452367460715,-0.016595307904683027,0.02627774058786639,0.04827214979187495,,-0.03605283695286934
PDAP1,-0.046145340998675524,0.032461644129512655,0.03962330954300101,-0.05895845066068474,0.10209038254855585,0.033908954034845486,0.014366275390343698,0.06335526777306959
QDPR,0.03385373040968928,-0.00018130895370373635,0.0014223487064479662,-0.00509315385695985,-0.07723558264796013,0.010843944762622699,-0.034313876749620734,0.04945279323156724
POMC,0.04979136646463195,-0.0017195087864953298,0.055264348416228244,0.024307260435686113,-0.026263036757991857,0.03279306782657744,-0.0367145653973637,-0.0006949698564751162
CCL17,,,-0.014324222658574253,,,-0.013279516613040892,-0.015654436420215544,
VEGFD,,0.08572854604523374,-0.015958765861555875,-0.01587745100742675,0.007334452252015862,-0.014148201754226626,-0.016777344381676038,-0.011786048659810538
TNFSF13,,,-0.009880528204315035,,,,,
WNT5A,-0.032789760578691006,0.005585914094185982,0.048192311714101564,-0.018507567124034705,0.03725325409127651,0.0029469465345339035,0.03444006745854565,0.05037553076609367
CXCL8,,-0.002966056296674829,-0.01070833981824387,0.016392929254025045,0.035346678022369855,0.006888958299412056,0.03062884385950682,0.02731508601991884
GRN,-0.018984504323910408,0.003955760235526659,-0.0026900304079104137,0.016342861742944456,0.06344846592832057,-0.021661326907563387,-0.015770829021997407,0.13147040291561224
MIA,0.08442582939918973,0.01092832027824836,-2.4227561359059067e-05,0.007396266040481958,0.05373536948595035,0.018573058195315233,0.09681923537246338,0.09720428937340005
COL4A4,-0.02334900607312059,-0.021879239803471017,-0.016199968321525763,-0.03239214889811124,-0.014302197975026484,-0.01386422619461683,0.007685800260313132,-0.0383781769893094
TAC1,0.04847363374032147,-0.011117356305473855,0.05483553501616063,0.017111438147291113,-0.07807227066446114,0.032972839633359834,-0.0030393297251827896,
RARRES2,-0.014765678457613951,0.06583480063164311,0.014497012986139379,-0.04576979666254918,0.06787893731586975,0.012668824011200706,0.05925314576959524,-0.04638777493403401
FGF7,-0.014345205667115384,0.02554364131123517,-0.0005516483895315768,0.05779466809108205,-0.0012556601574339257,0.039682850340849576,0.0029145296369164023,0.011268190861041276
HBEGF,0.010388757734258961,0.022374396265903804,0.010090207820973024,0.008016309718443363,0.0381256121389107,0.06229435925352268,-0.004133203475147255,-0.016008994454719663
CSF3,,,0.08554864494744721,0.053188751027824804,-0.015131450174450889,,,
PI3,,,-0.010153993462956399,0.03375315247156101,0.005543849171735995,,,
PCSK1N,-0.017470184410535525,-0.061489935130242014,0.030512819389406854,0.02196606007876101,0.014286475486281843,0.012722818456711428,-0.05794743499666536,0.09545131482174964
NTS,,,,0.012923346462503725,-0.01859837244719297,0.0013031618625360503,,
