,UKF243,UKF248,UKF255,UKF259,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,0.09170979258476195
BMP1,0.02888715136201325,-0.05239340024939512,0.007619120698861237,-0.01931624727359913,0.007258593817822702,0.013848556717994563,0.020010646791647314,0.09862745201557713,0.01250675680951566,0.08512191060320762
NDP,0.011840355180324277,0.0294377601398307,0.02611983526875784,-0.014210151451981767,0.044693659084619565,0.0170594821478868,0.03941885589340306,0.04133738484909486,-0.017131367867217247,0.013811623524371403
TNFSF18,0.017293176724687297,-0.03151832055434383,,,-0.01262208812981375,,-0.005571172122827108,,,0.07788456512046163
RTN4,0.057971752436224315,-0.016586987988144893,0.018495358922639663,-0.023193860284315634,-0.04238029851914407,0.028273990690429202,-0.04604311304220534,-0.055964470894292816,0.0713786736550803,-0.05328061488576593
HEBP1,0.10469031263858905,-0.05967855813822334,0.09023959601933838,-0.03147339104920765,-0.043879542448501604,0.01960755756465435,-0.00014185090967576086,-0.009548856835079307,0.002932708065410873,0.019777302453968523
WNT7B,-0.0215061959278866,0.028232573738539126,0.011190748244413299,-0.02031425848133843,-0.011968952003566655,-0.018684936123848132,,0.00521217620949211,0.012601945209115109,-0.011903716481302066
PTMA,-0.07154073925021275,0.007180093126747651,0.009674621105182787,-0.004993261561500817,0.014779910802448533,0.0027544016858813995,-0.10632224568135858,-0.08110097181980618,-0.058280978014495444,0.06378994810524491
FASLG,,,,,,,,,,-0.02679787061845287
CEACAM1,,-0.020060547251295177,,-0.00032839828517197076,-0.0198515376171812,,0.028858268084437932,0.057873920778923005,-0.014826658843116418,0.04221490829389475
PDAP1,0.08171551277683256,-0.03277616498601937,0.02622185928552277,-0.06861780721377778,0.0011563357388053007,0.006731558996979639,0.03267677118544033,0.07232349524676335,-0.029891424258421284,0.016544808452254273
QDPR,-0.03640216443446243,0.035609102669007554,0.029721008284854092,-0.03686159864756999,0.00726686792427541,-0.004965856039451318,0.062025598462681006,-0.14673609769494508,0.021332483622579532,0.015788021388756526
POMC,0.036233979371756285,-0.024159508259712924,,-0.023119863029954814,-0.01464567293461824,-0.006312451407459206,0.03576813935219675,0.018415382613054157,-0.024254466153936075,0.05576696134525552
CCL18,0.14429979395998654,0.002481842366108204,,,,,,-0.03684666164758423,-0.015492664148566725,
CCL17,,,,-0.020346441646290295,-0.015742201342953645,0.06166877325297863,,,,0.01025538559189791
VEGFD,0.17889463502407416,0.0027371830919341476,,0.030419547539093927,0.01547958028363181,-0.01696372367499599,-0.06425576886376826,,,
TNFSF13,,-0.018891214871581682,,-0.01403452008080074,,,,,-0.01664934416055476,0.060358404394912434
WNT5A,0.05905279445287072,0.049028235685109986,-0.026425930029485466,0.059598000747066754,-0.026502936913554986,0.03397593062868263,-0.035312680832697584,0.007027309741632214,0.030622835503031555,0.0822669936355931
CXCL8,0.001623101856423732,-0.02837240179355169,0.05394838465351163,0.015556475941678916,0.032494313118326186,0.0023180121712289927,-0.019518962818662625,-0.052301995391360406,-0.0438526259796089,-0.09927039239030895
GRN,0.08556911143289475,0.03742935699632332,-0.03136372478496443,0.009783873833282695,0.07796880671030383,-0.05507265167651884,0.037871391410451434,0.021511939675518336,0.06345169466551799,0.0806440702119429
MIA,0.04067577023213203,0.09754586252268967,-0.03743786291528928,0.03295035659885865,-0.011839267941463167,0.03933092338064179,0.05120169876982689,0.05884452073465618,-0.062489984166532016,-0.04849007651294809
COL4A4,0.10877640268358238,0.09808781858999971,0.017483383609386,-0.0005178296162183285,-0.016435345244839604,-0.03241013980305257,-0.06097517204398564,0.06941031774087981,-0.016595882459312313,0.09494951083250867
TAC1,-0.050345808458615054,-0.006515770586929008,-0.018313759866733965,0.0309215140225429,-0.012592570586678795,0.06373657719016385,,,0.004220191249433783,0.007220895268799157
RARRES2,-0.02261508158043097,-0.000531817060653658,0.09321987740355969,0.029185232997059843,0.0025832314475247916,-0.011489186306816439,-0.10882374507037844,0.06428489330993552,0.013723268683261574,-0.04475581725769504
FGF7,0.0017878279071131598,,0.001401169761349895,-0.001853971585295508,-0.037466470817399955,-0.002559458266325092,0.05992024848006227,0.02348886243108687,0.048130517961190986,-0.020505220803827644
HBEGF,0.0826363170141702,-0.025946966317073605,-0.042084246895344665,0.031696618225185595,-0.013113462658359132,-0.03683642462662868,-0.007081075567489735,-0.031934981918412146,-0.02045975478026494,0.00836672073279071
CSF3,-0.040198724575691826,,0.055943721559596954,0.060462940670233695,,,,,-0.021256040753424917,-0.009093708869494703
PI3,0.02568225995324876,-0.026336473745216568,0.15962309593561871,0.033262609764808174,,,,,-0.08872264128128288,-0.05556129317513651
PCSK1N,-0.04053929626154211,0.03402309380802219,0.04790564151158348,0.02122600581167215,-0.019556073301582943,-0.024297535476064676,0.041190266744202245,0.021917530357788387,0.0185649254351829,-0.02434450150417244
NTS,,,,,-0.01877547145573741,-0.018204338168251344,,,0.00045926161146938064,0.01736371766708437
SFRP1,0.06101232750755032,0.012928710951890526,,-0.0016524512858617014,0.03245430948152612,0.0015498576063200258,0.031172190676442117,0.003534664307890069,0.051105232643827145,0.05770024237672409
CXCL13,,,0.17009378648876525,,,,,,-0.034673025763116365,
MICA,0.09016654507724713,-0.06601337893435023,0.024269744628153796,-0.01056694392568271,-0.013826268707709921,-0.015069793937962877,-0.10440432908049041,0.03402340196996781,0.017853329923603646,0.0687449098610465
TG,-0.03204479967688363,-0.03942195325021923,,-0.004357197284708475,0.01859959623145054,-0.01673670177575049,0.0068784050755014755,-0.0480309728418046,0.06747685359714443,0.01435309476697861
ADA,-0.047389023688036644,-0.019344671684873,-0.039857128276040765,0.028149405333200993,-0.008908510493313815,0.014989098127034323,0.06379323962655209,0.11180513819832377,0.09481304112260414,0.05612560633654185
LAMC3,0.022423648481284593,0.06323514340763316,-0.056342115901437,-0.05911443861962198,-0.015098015424800429,-0.005395024020012448,0.006681832330691942,0.10939395384117616,0.03860684662098479,0.10440974110196068
CCL7,,-0.015923527361746157,,-0.013851464377718004,,,,,,-0.026797861089449943
NGF,-0.023159627937038758,-0.002379025008450941,,0.023003123354393314,,,0.057241225426833235,-0.03954795399457089,0.009325807388105876,0.14826494434169796
TNFSF15,-0.02865135015857255,,,-0.01542428305103348,,,-0.023708805287920937,0.029451431964925095,-0.013199636386683127,0.00448149042145526
HMGB1,0.0166069969785469,0.042830192289472574,-0.012995054924890682,0.03982203239242058,0.02600028274463617,-0.00460532163141285,-0.026518808324916713,0.024790094309248695,0.009623040572992106,-0.0505662193339181
ITGB3BP,-0.005150804634128778,0.02302515613636964,-0.013466237938736544,0.03648935783630644,0.05513214508926929,-0.04010198314782281,0.03430549937393273,0.01378048975377351,0.016130050991463828,0.03434669506981235
AANAT,-0.011943275967500427,-0.008452786767658963,,-0.014034521578678356,-0.014262695815553847,-0.01929266422647394,,-0.017422565521951833,,-0.02835325456181647
RELN,0.020222686763731543,-0.0006016686956647624,-0.01894116674380864,0.02265045682905185,0.005115007673458859,0.05881621942318601,0.022772709142834302,,0.08000479983305717,
IL15,0.09177262245184373,-0.05034974653075699,,0.0058180826544668,0.027261867049374857,0.00847470669396457,-0.03512896544663716,-0.00783330210094015,-0.020770465798567676,0.04152109531304068
BSG,0.0028761155306767164,0.019792328576989173,0.009804872674264845,-0.024768236586143032,0.018081868697031322,0.05056046874721927,0.010381733043285667,0.13406883573028333,-0.019240508818213296,0.0020679915089690643
ADAMTS3,0.02635878656273936,-0.015286390885314458,,0.03679074607276837,-0.020238907014242857,0.04950023282078081,,0.07520827042417913,0.010727891883520461,0.07376482112785658
CD34,-0.03565418298941093,-0.05516661157079681,0.008849693381472255,-0.037073216628216624,-0.04792403103282479,-0.004593520102284123,-0.0049415905041787596,0.13962470467719942,0.07443893658825311,0.10337335405296309
PLAT,-0.059799150646887636,0.053295015414341874,-0.009889228088761226,-0.005365897713840937,0.019442157740599396,0.0005189634244151013,-0.03372622312183042,0.08129824216536798,0.010250795822569091,0.04692604646111308
NTF3,,,,,,0.02755551702128294,,,0.012511802582666234,
LTA,,,,-0.017753055968895686,-0.013736462475744315,,,,,-0.03815920770219164
CKLF,-0.003940909847692864,-0.04303460492596547,-0.01669011095166547,-0.011330855394265163,0.03070213600955082,-0.01426958602577566,-0.08405752352878891,0.08006624574878296,-0.0010487366914822484,-0.012893829947599845
CD24,-0.016931108648295935,0.005810943799370334,-0.03611264204012082,0.030176731704239297,0.009247815262854188,-0.015002501314903128,-0.015745718313806917,0.07035123413731885,-0.0026464127898985527,0.03285558771444215
HSP90AA1,-0.06114868256886733,0.05804559580392289,-0.035621121335430384,0.03303421007995975,0.02533658995742831,-0.008763504000975088,0.11299972433137703,0.0009178756904600935,0.05893342387186148,-0.022398972076943767
BMP4,-0.05012309999946123,0.07780344827431765,-0.024940702809822246,0.019745200507602277,-0.022862364819347423,0.058540740843883894,0.11429924841026962,0.06143519043705243,0.03806628461931253,0.043091168090737035
SCGB3A1,,0.07000631410736814,-0.00016268581835216008,,,-0.01627355097058854,0.06638201495347222,,-0.013714068579946012,0.016763848970521078
IGFBP4,0.02107016746900201,-0.008915022269108737,0.05526098267161909,0.011130294259578932,-0.015750251131195415,0.03244938683481541,-0.004800166872524856,-0.013676569843589184,-0.002085767755669182,0.1324728477608349
RSPO4,-0.028291859937576342,,,0.02768910990071416,0.018768411639032385,0.0008451838096147335,0.024115433614537406,,0.1588133224885369,0.04320917798868077
LEFTY2,-0.04738904840622633,-0.012704509219382298,-0.029986520194508613,-0.023424496504857766,-0.0020261868099557554,0.04504528821111864,,-0.020536537147722057,-0.025105012814629134,0.021311757691291455
PF4,,0.0039037285318984658,,0.035114380389147895,,,,,,0.05604862396022202
ANGPTL2,-0.021536452653454653,0.014538669471058896,-0.07636667760558834,0.011667615730787027,-0.03720880976944107,0.023541823744518974,-0.11224346240649921,0.0756010712523303,0.050257805402873376,0.040634820061219996
LRIG2,-0.04054493969891687,-0.01124912552653548,0.014240024163385311,0.0028346949103930062,-0.0016835588687524254,0.003368440913441721,-0.019812750155411507,0.045550719780379806,0.03757387625163032,0.08713906649288558
ICOSLG,0.004510539736996768,-0.03692209834321253,-0.037435736488759745,-0.01108946022686185,-0.023557611348384976,-0.011927989195326345,-0.009308653726221416,0.05872966539235125,0.048875419611303636,0.05610301405868512
WIF1,-0.02594655616919932,0.06642542524960868,0.0010730036332118192,,-0.01232856479868278,0.006567887768121089,,,-0.017160790347624074,
NPPC,0.06821695206639346,0.060572526622492615,0.010802174458807132,0.08755749442287929,-0.00011694407144527505,-0.022616250057431578,-0.06039792447349467,0.056134086884865764,-0.011786118288285446,
LYZ,-0.011667204716921344,0.02750206100063674,0.005182964568844891,0.019661710410770222,-0.027491968681958093,-0.055537081749244675,-0.026402887268138955,-0.027075520126824036,-0.029463408053087985,0.06103441301511949
EREG,,,0.12954799605659076,,,,,,-0.022992820421396925,-0.05762922935726845
SPTAN1,0.00742593272123675,0.021234371626709554,0.015333078450325908,0.0010132220295776936,-0.03588570746631993,-0.0007464657848062973,0.06470124605632986,0.09839706191200011,0.04322562509718856,0.054020721802272444
PTH2,,,,,,,,,-0.029358289329611844,
LIPC,0.004618789898179431,0.04820925330454406,,-0.021717878282124743,0.021071462942182064,,0.02996405052873155,-0.03198904694324813,,0.03715646313821092
