,UKF248,UKF259,UKF266,UKF269,UKF304,UKF313,ZH8812bulk,ZH916T1
IGFL3,,,,-0.017405931442130027,,,0.07606505046900441,0.1398341316622953
BMP1,0.029941443102037925,0.051113697268044885,0.021137903491355806,-0.07304166519782823,0.03909279907359167,0.014023141182049096,-0.04524387844909443,0.06015228337254866
NDP,-0.028415507051874636,-0.03523625301860679,0.03412049287047572,0.040760906108627676,0.00902446265024958,0.037287577051290106,-0.03596298088035753,0.049036940150110946
TNFSF18,-0.011173461587068488,,-0.01429293425992058,-0.010751566023612193,,,-0.021367658678661104,-0.031029716517385515
RTN4,-0.00665971792485114,-0.040151763234928396,0.04302456746079729,0.04686491724255817,0.0019320942997685853,-0.020950640888336213,-0.008306031557567862,-0.1033071945081588
HEBP1,0.035194368875057176,0.022934149201069627,-0.02846640958904138,-0.03023068354013126,0.10489937045914707,-0.020374301565172514,-0.059259762885593634,0.06629170941472581
WNT7B,-0.032742381595322,-0.025544758834361962,0.036326514561595066,0.07670838073923891,,0.03204331249097232,0.0285467090588802,0.015934537703057763
PTMA,0.018165083395055126,0.0389385405032112,-0.017206396372305123,0.046634898490021816,0.026986376552230292,0.0878275231562044,0.0527290970542326,0.01720977713847802
FASLG,,,,,,,,0.03462861810096435
CEACAM1,0.07845573564998698,-0.007731012341320783,,0.09348982741849657,,,-0.030703094707475995,-0.02219807408625536
PDAP1,0.0701533588352133,-0.0028426712633256605,0.03749223218502641,-0.008624575384155503,0.02393862247584614,0.04541034921477599,0.09706425216844486,-0.047588244863768434
QDPR,0.008069970022950302,0.06376981347909463,-0.06588185605531537,-0.023483383496972324,0.07740858543745661,0.08424810037931936,-0.005322083121217437,0.02148114067690313
POMC,0.0025385296915516084,-0.01702475027632021,0.02511794103296611,0.023717901751076013,0.021913039719033155,-0.02663096534411789,-0.0391540182954683,-0.042360729122440224
CCL18,-0.0261491278790843,,,,-0.02292690060880705,0.10666088276791601,,
CCL17,,-0.017096752353218034,,,,,-0.027317469064528362,0.1826638616455183
VEGFD,0.02642608434735629,-0.01904767011106823,,-0.029159604198145197,0.02266475941857831,-0.01799295670206205,-0.02881149834485923,
TNFSF13,-0.019732977284291055,-0.01179295713663348,-0.013861164557840063,,,,0.005153634820551674,0.13665291749399058
WNT5A,0.024869243511031997,0.0004308227281722363,-0.02511296514674458,-0.06017168886306869,-0.008402022597968475,-0.005037556200980302,-0.014140371880147261,-0.014150090122301466
CXCL8,0.013919185414835163,0.035253860150649616,-0.01971660756009872,-0.016693360323537385,0.034508100094885835,0.014220044135264948,0.012417858717607984,-0.037149173462769
GRN,0.023508755564958243,-0.016027556456494195,-0.016184819194788366,-0.07043510609832739,0.04963462891206943,-0.03583272752802591,-0.009490493555252413,0.03300527060662183
MIA,0.05731039156095269,-0.02708729398351536,-0.025063658801579715,-0.049721649616117025,,-0.02440168177519414,0.010114198892101495,0.06546561909826436
COL4A4,-0.007870283604606992,-0.018828088767784273,-0.013188285684770406,-0.017152253478048773,,,-0.042080352885586474,-0.032468249083483586
TAC1,-0.004451333843049254,0.004727563818683401,0.016313546642442885,0.11201418286682682,-0.026516939643601106,,,-0.019010174636761194
RARRES2,-0.06606329678407304,-0.018129095929138837,-0.03368190684542525,-0.03422837774357196,-0.0016159888108140785,-0.0706992879555647,-0.01379877927899507,0.026857803027245514
FGF7,,-0.030305579831567096,-0.007301781269039416,-0.015702507146596146,0.00951624220211242,-0.009372568974651382,-0.037370593918522696,-0.028350933059619565
