,UKF243,UKF248,UKF259,UKF260,UKF275,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,,,,0.08871716832671515
BMP1,-0.09875089355084135,0.045824770650938096,-0.08719964493365247,0.039544384334994756,0.006515573243728746,0.0001211647661038937,0.052933879661170885,-0.06472054039067848,0.026447638959639714,0.040651854251242424,-0.008643311617773241,0.015387436463216591,0.03176298110085363
NDP,0.04877927679278307,0.04116619448541933,-0.02209490578452048,-0.006801554292298161,0.038890604052682826,0.013136788464409632,0.016295850488348806,0.0255886255714066,0.09520892818000816,-0.007253076079524718,-0.0052220180934336394,0.017144238756405847,0.04922410285568884
TNFSF18,-0.030193548262943286,0.001770014640210182,,,-0.010647509681371023,,,-0.04574512961448324,,,,,-0.0273104752137219
IL36G,,,,,,,-0.01631018900900801,,,,,,
RTN4,-0.05007990675309926,-0.04106723045081003,-0.01800880005932937,0.027062910665083383,-0.042345253562463735,-0.038470797025124154,-0.01713373813388211,0.004967398213183429,-0.12469380362586793,-0.02253188507043512,0.014412484327994416,0.09508806393697761,-0.0006846587113084759
HEBP1,-0.04511843031582016,-0.02470932665967875,0.014674723097421101,0.008026898533805496,0.08955097100004267,0.010106531438499027,0.01250485625068369,0.0497130778593883,-0.046029053285696064,-0.06782433288262422,0.05675074395655588,0.05512166057513943,0.027613663133521486
WNT7B,-0.00746364108997618,-0.019644438375044933,-0.00023499573293053858,-0.0009518973289225488,0.010409104544849031,-0.036664695124047054,-0.01792677732990707,,-0.04037095481271635,0.00038701355155386656,-0.040377198829352236,-0.022872897352031192,-0.008102451099527234
PTMA,0.0646642766833624,-0.03298218016081176,-0.01906871347642858,0.03486883547512116,-0.0466290752052959,-0.07267420996559153,0.03582290068988324,0.00613054302469628,-0.031473961000873504,-0.0047590516424812065,-0.02078314120793693,-0.021162790197339687,-0.07266668079483384
FASLG,,,,,,,,,,,,,0.014706395050334348
CEACAM1,,0.006637912431133721,0.014406781521209644,-0.019762965062094313,-0.016745996129576765,,,-0.043644246808750765,-0.03620531891168565,0.13713390497622144,-0.019560873021978155,0.009439552678117273,-0.0195373989893002
PDAP1,0.023898743820803224,0.0060891119761209336,-0.02934753329469987,-0.027507392730878346,0.014898109510971029,-0.02626760325575985,-0.009614122533255448,0.052260001655023446,0.05315861968019927,-0.02079444673245151,-0.006608329430462292,0.01448494552944314,0.03235436122279135
QDPR,-0.040100280769748115,-0.00666323506760514,-0.002536480175899721,-0.033745011345385795,0.05987405290941488,-0.053427871640867736,0.028485097033119668,0.04459081126199598,-0.0023382833201174313,-0.017321898819053078,-0.0016790838427531722,-0.023778145844111045,0.06011174825974806
POMC,-0.053253986266479585,-0.0019404980959492602,0.010189863293428626,0.07726297804111217,-0.012354528249030876,-0.020848521558645763,0.027583340056015582,-0.05020526237553958,-0.0333024047237265,-0.010547747048957197,0.06773293610599951,-0.02483424382176892,-0.04204472038366759
CCL18,-0.054000817279337684,-0.005363742381611255,,,,-0.03880334954528526,,,-0.025670166380930257,-0.024441441962716776,-0.04776635660594933,0.0415504688994419,
CCL17,,,0.01496805690371598,,-0.013279517579130084,,-0.014899820705837785,,,-0.014246134957664108,0.030249039139291514,,0.40674324103715603
VEGFD,0.010350006451885416,0.029478091476032753,-0.0042405310614376975,-0.01890808602872273,-0.014148202783512946,-0.014086103934252477,-0.015968599347610746,0.00678286490821422,,,-0.019560873021978155,,
TNFSF13,,0.009119214169878322,-0.016084697330772873,,,,,,,-0.02733619318145813,0.03663020143817415,0.06970025354833198,0.040829773559355007
WNT5A,0.049523771344576945,-0.017820427823114306,-0.0005856547301248314,-0.012886994587798413,-0.02568866890488968,-0.033840968118572456,-0.005751504385377323,-0.053524962684813646,0.08083623467710858,0.017979245340729047,0.05374419488178443,0.0025996222291460335,-0.029170408179269823
CXCL8,-0.11023552501681298,-0.012670768431677653,0.039947926311634074,0.05713306158911349,0.03210473629953485,0.02796510946053742,0.05971872014001869,-0.05241049419967027,0.017896033418271562,0.06994281991374411,-0.027909170642101216,-0.06909046943347638,-0.019680475114203882
GRN,-0.07187879431421021,0.056514731883400976,-0.028612707193382585,0.001018842870891238,0.03268501875946728,0.04065992385469451,0.0041507349046282374,-0.12619013208971483,-0.09139916053171988,-0.016529680912711498,-0.03968312927954265,0.009613014465216965,0.023598934507921616
MIA,-0.0009690712054692753,0.0001615865426766169,0.0010993808086214479,-0.01817486148767647,-0.0036904040526134765,-0.019103287544539424,-0.02186972860850165,-0.023533652001175874,-0.0027557734430920747,0.035705173882681775,-0.005464906861095343,-0.04193794449461564,-0.03381337232144407
