,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,,-0.017760868444046396,
BMP1,-0.10936458194442418,0.09018886177884598,0.021723615295469692
NDP,-0.026029866505027793,0.022506327044836173,0.06108690153316731
TNFSF18,-0.04782912520381972,-0.0012195181531856497,-0.02975336482700229
RTN4,0.10786982502704967,0.015747361220776322,-0.051390342278584016
HEBP1,0.16335458931546198,0.020281561560052272,0.07517484117218574
WNT7B,,-0.0035582333430962503,0.0013663587444762634
PTMA,-0.009436925828606993,0.02367954309735746,0.05527871864807116
FASLG,,-0.01540399514231361,
CEACAM1,0.08480872308377212,0.01713145149128003,
PDAP1,-0.08497293095937362,-0.02310838329009406,0.050195399878473324
QDPR,0.043691951851724725,0.04717200402827272,-0.04019430921159623
POMC,-0.033042834331277623,0.033833189460724625,-0.02524600613771178
CCL17,,-0.01396199142564303,
VEGFD,0.04332567873205371,,
TNFSF13,,0.014276121256732225,0.028029924153100155
WNT5A,0.07467096577005063,0.023717474295200793,0.05722975856458603
CXCL8,-0.06405544877455883,-0.039702791758082785,0.0510673859331069
GRN,-0.0512960629883156,0.022243301847137263,0.030601749367304205
MIA,0.015408264554841237,0.053643458480192786,-0.00045830472282856597
COL4A4,-0.035801192427549935,0.0008309916589659901,-0.02239505739662619
TAC1,,-0.01835445744405185,-0.05190210301896763
RARRES2,0.08966063961165369,-0.002414418886285504,0.03556919201458195
FGF7,0.014318246521889398,0.0009300640787504543,0.03196980676359049
HBEGF,-0.06334074122738603,-0.0026970020507555595,0.032696299738163584
CSF3,,-0.014699823079803505,0.019368597004201613
PI3,,-0.03193783201494825,0.0440830547466835
PCSK1N,-0.020895801197355755,-0.020912177613053536,-0.12214877586148014
NTS,,-0.021768433495416996,
SFRP1,-0.0036184890807485046,0.05638055594977257,-0.04747352739805494
CXCL13,,,0.035863101431417486
MICA,-0.003805289581568407,0.028607019205488353,-0.01678218997946525
TG,-0.07302316383395831,0.0003520113250310929,0.09308287061033747
ADA,-0.06850517295092166,0.048918363413256054,0.0175462733119046
LAMC3,-0.13178931360356488,0.07602613773646522,0.01554598884056561
CCL7,,-0.015403989664836804,0.020704438620758617
NGF,0.09932736073942111,0.0163761970083862,-0.04312513431778567
TNFSF15,-0.012740899172879901,0.012927078566052012,-0.042114420833937044
HMGB1,0.030600596082310593,0.015370036733230005,0.031985512146772234
ITGB3BP,-0.08126957553680306,0.014762677580000636,0.05647545077023104
AANAT,,-0.016298063445319273,-0.023234794864048263
RELN,-0.06830125420398077,,-0.04302329724075075
IL15,0.026391918973095528,-0.016178060056083313,-0.02458299740576035
BSG,-0.0288418846529753,-0.002089520330031225,0.0070224560713315065
ADAMTS3,,-0.014675110723398648,-0.031000684132508366
CD34,-0.05701397907188826,0.0681149662977025,0.023157489901800703
PLAT,-0.056976765725688494,0.042056489098531775,0.024524801986235082
LTA,,-0.003232319345464551,
CKLF,0.011249357186387825,0.03435504342118164,0.0683545991583308
CD24,0.07145949083210634,0.025954266129822736,0.01791176628540543
HSP90AA1,0.048574151388155816,-0.06274618671730778,-0.05441090206776639
BMP4,0.08302920460011962,0.0724958283049034,0.05791523313937123
SCGB3A1,-0.04905862746035193,0.12428855283268225,0.045936724112965135
IGFBP4,0.0014762905517548691,0.04607096930757104,-0.053634222166210714
RSPO4,-0.044856942755295226,-0.00048394056101421423,0.03965883178610792
LEFTY2,,0.0314663743065943,-0.05955946196568388
PF4,,-0.02193473214442919,0.1293534925958769
ANGPTL2,-0.04777288143516252,0.05237316863307389,-0.04053002836656516
LRIG2,-0.027043127267660352,0.010275536910356993,-0.027745614880785818
ICOSLG,-0.06668046143860684,0.029822134517486835,-0.0030485751889158825
WIF1,,,-0.028716501163871932
NPPC,-0.009008691380749622,,-0.046152690480071035
LYZ,-0.08199218605380328,0.0029591672502300107,-0.0031785302868931396
EREG,,-0.033126526421220964,-0.026423288623770937
SPTAN1,0.0166711010761013,-0.014018783962682864,-0.053776672203219925
LIPC,-0.010075476140074213,-0.012712002406144942,-0.035790560035264526
COL8A1,0.004771481072245454,0.01550160070647142,0.005598994373443419
GSTM2,0.011102247302618327,0.07268270785076929,-0.04476786326248841
SPX,,0.013669465122422357,0.024705485859763263
MFGE8,-0.08974981221140103,0.0393549551155646,-0.0010462226870439533
TGFA,0.016001682169116578,0.01448399067773782,0.06175676926239389
SLIT2,-0.03735489961331079,-0.02594881314382849,-0.06285818492529913
PLTP,0.14594039693021668,0.017591606381012436,0.06176935724147004
APOD,-0.09855279228984527,-0.036338933694329535,-0.04033120192295847
B2M,-0.08625957494811647,0.03725972538254127,0.02757296434780641
