,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.08468023651282298,,,,,,-0.0245449269601045,-0.027873562615777343,
BMP1,-0.06497116023193843,0.026639586855555997,0.005727720955728525,-0.01689407368060161,0.11607015267956027,0.10789688115229208,-0.0098655358629473,0.07320235383703325,0.027724155345211866,0.049402338006780885,-0.016567512413895244,-0.006690544813668065,0.006064203729214701,0.07605759514744279
NDP,0.053140284847533095,0.047267281225388216,-0.010723218299442295,0.014235242286655847,0.008768824844086068,-0.013039840814526893,0.06728761873179079,-0.06169078275170973,0.04686916418424624,-0.03478843880022742,0.06560945836574418,-0.02426096228483071,0.07552477512890995,0.025615324954567607
TNFSF18,-0.02645431198058015,0.06693555350343089,0.028189058606021798,,,0.02789271474488344,-0.021438991817743613,,,,,0.05632358277803623,0.0645365467574993,0.023792466459872718
RTN4,0.019202065721394053,-0.0086966007623523,-0.020797802390402628,-0.002828709163558115,-0.0464902212704416,-0.1684490703548961,0.03459826611394975,-0.026633763250203942,-0.04744952227585496,-0.051847656474291966,0.023078810818306365,0.039875793825059486,0.024201916005565847,-0.05918029826425723
HEBP1,-0.03203996372845078,0.08108101784206806,0.03346226857467966,0.02276825192784423,0.013848121579369321,0.039177882519557616,-0.0035114012112313136,0.018866097509511296,0.007998282014090268,0.01234693370015884,0.031778053809564354,0.06651889661462293,0.03283660648381041,0.032261674751510504
WNT7B,-0.023305420282799003,0.009859793225488715,-0.02047358512754458,-0.00550937871336779,-0.020628977544812327,-0.061863764242174865,-0.052170031949087994,-0.01666802178326674,-0.025112642879190697,-0.011624365602171793,0.010222283617837329,-0.05293100785297195,0.050746103082001455,0.024952342836352708
PTMA,0.048113276088904776,0.054526780838966046,-0.04127468348603956,-0.05857854136108042,0.04088566927110298,-0.055346895946282254,-0.00032100289555565646,0.025819622615758944,0.08474039484584102,0.0002354486175602256,0.07273337340926202,0.11217277882277223,-0.07188448043406517,-0.036833626182733906
FASLG,-0.023305426871181614,,,,,,,,,,,,-0.007469265548475529,
CEACAM1,0.010177749994284575,-0.011962966246967717,0.005262232189656381,0.010514060463701055,-0.017709628550421297,0.0783448494096683,0.00849003651325744,,,-0.020334241754943826,0.07385319618972871,-0.02136777763229612,0.04467921466921612,
PDAP1,0.04889677687024107,0.06028479887467371,-0.016504089438871102,-0.02308280608519296,-0.03547113554168048,0.09370223578492043,-0.06042651681940222,0.032705689290360565,0.08282987178429596,0.022925314652463308,-0.05213418398718322,-0.053897146591138013,0.00024112950175554567,0.047418853389497695
QDPR,0.053488506122645184,0.03337952923642491,0.008818875272246673,0.02771124769433332,0.018412431983048854,-0.13432448548075793,0.02259072727651071,0.0006677138741967491,0.06472673871216846,-0.050634235896209454,-0.008491981937755117,0.15817216511316973,0.057682436481183194,-0.008406361617516497
