,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,-0.034863029659619744,,,,,,-0.01929671488079377,0.04251143924904505,
BMP1,-0.028425364875676186,0.06401259338554678,0.13365461166586007,-0.05072836929942692,0.04171066208336214,-0.015156953512982905,0.09948373359083919,-0.006076361272995427,0.10357076331693477,-0.039505103647734026,0.00531588455883811
NDP,0.007692436836707555,-0.04066730997709096,-0.049961544039637526,0.06192389241800976,0.02925823961210398,0.02930390797756161,0.10307053213089043,0.04394293722029422,0.07669658143049067,0.2267343824783531,0.08579854383893347
TNFSF18,,,-0.00573610056932487,-0.04367163652413864,,-0.08023944242993497,,,-0.019900361449542808,-0.020218053433292485,0.07206822111225274
RTN4,0.026950646455806214,0.013752487135796408,-0.16073249178901786,0.05795694391257311,-0.10294577894339002,0.03558366915773821,0.00413777726838073,0.016878225133233775,-0.0765522485019799,-0.12989691747422435,-0.03388585935823115
HEBP1,-0.04203271904769012,0.0849952972806726,0.09415526220768096,0.07645528732347799,-0.01512045006330859,0.0524861653645659,-0.006348064065045088,0.022710576420102314,0.03414014086070387,0.21900243012915205,0.0585298735820571
WNT7B,0.013379704277103197,0.033248344833074046,-0.07887551480715317,-0.007897595033757228,-0.04820624682589006,,0.04461506091874948,0.06511819952438996,0.0074756742816620494,-0.010127078802164622,0.09200678407337756
PTMA,0.04725350260619056,0.07470805911076243,-0.09553809180009766,0.00037625062557198723,0.041216740646959044,-0.015173685824518593,-0.1482922254611746,-0.052810275899155545,-0.059487995383007475,-0.1729361405389298,-0.0628814838702549
FASLG,,,,,,,,,,-0.030175895593149135,
CEACAM1,0.040482990934627136,0.04758176987383392,-0.005451561579184272,-0.024126185022524442,,-0.045773670827012836,-0.0015560772980577134,-0.014716199236324596,0.04008306921604198,0.03242408241793417,
PDAP1,0.05500610306116877,-0.05279597339816861,0.11607699722847171,0.050312193673144864,-0.015089460923928339,-0.04202070044673516,0.06653616685441413,-0.009282016556876367,0.01834742806439028,0.04449022837602647,-0.08838599620067764
QDPR,-0.021364844013875058,-0.08480779996156053,-0.13978131412824402,0.055071354684504706,-0.05711816545982969,-0.017747489454578134,-0.16350090671210016,0.06805724372327429,-0.07275330167513112,0.096121242824149,0.05699753615097191
POMC,0.058369869434608375,-0.005667850414264494,0.035322787726246946,0.04209827935696757,0.012690712084800273,0.06792355727126276,-0.02496821675308446,0.08382871230313538,-0.004966171830967423,-0.0027804147805391166,0.053320933655794454
CCL18,,,,,,,-0.03395031672717456,-0.035935984033875844,,,
CCL17,-0.012398896544483241,,,-0.01735118393295766,0.04165417594735131,,,-0.021243757472291663,0.01608049969110165,0.002709980448898477,
VEGFD,0.017260577201734337,0.07032882367637851,0.03701148522770767,0.004308944786419224,-0.059992413151612474,0.06506989934064472,,-0.014716199236324596,-0.026833039575748677,,
TNFSF13,-0.03480601816561373,,,,,,,-0.005408589253232706,0.010141441702296743,0.1156088554865334,-0.040946137277619574
WNT5A,0.008540319495470435,-0.07316547858475973,0.17149112424173069,0.05383393532582798,0.01848407465189083,0.06329667344016816,0.11330346435988292,0.03713610687825444,0.033121962547995654,-0.005189569361649612,0.042807537942172624
CXCL8,-0.04843409397724127,0.02445172245474583,0.02392617445453415,-0.04108510037819806,0.005031031821856486,-0.09589738676032955,0.023219647007865152,-0.07992311554598613,0.018217070873454273,-0.052219261297372116,-0.03727820982153576
GRN,-0.004887294707863437,0.07000874839060682,0.14455166441053677,0.054671444053904394,0.007914243298433687,-0.046938202843892905,0.07964161516585307,-0.04075340966189711,0.12704809862905014,-0.1601062824439973,-0.06242054040419866
MIA,-0.01611169284123628,0.015106327172305225,0.0680623165937051,0.03742897363541434,0.0462598832163488,-0.06378803127731471,-0.03969754248554849,0.0365219104779626,0.022277634302271556,0.10971042645241096,-0.007955690135378645
COL4A4,-0.062641679251595,-0.07012039293370645,0.022539228883955344,-0.022430856095206564,0.025169456296908317,0.029678174082671004,-0.006344727206473949,0.04565008432022102,-0.039190734227881024,0.016379913302170382,0.01321843360264459
TAC1,0.02556845027469186,-0.013081604585224357,-0.0668462087064613,0.03807246759366223,-0.06696337968821078,,,,,-0.035955749556112866,0.04405887375449361
RARRES2,0.08185591968257495,0.1096422536302564,0.15570111271006964,0.1446307650647388,0.010487205938707922,0.014492353242206688,0.07870228832122944,-0.006633868690481683,-0.018761447610488976,0.0676002219233942,-0.08113287205509111
FGF7,-0.009387443473033918,-0.02213380710335568,-0.027946001524118875,-0.012020388672294548,0.030152539777261553,0.026689221469032097,0.09866532395065014,0.005986039109275118,0.03649942004156174,0.07751071427058895,-0.06787848012809469
EFNA2,,,,,,,,-0.01398676252078928,,,
HBEGF,0.009775729826453182,0.10405694802355363,0.15623812803028916,-0.002586570777933386,-0.007904750926568706,0.0323811406631894,0.1214769595989309,-0.015719289602711923,0.0028850572259239123,-0.14694046411144962,-0.021530408924318366
CSF3,0.009055537779003243,0.001583965066054218,0.04525576402413518,,,,,-0.0422071321581373,,-0.028796446791614003,-0.005499222795539873
PI3,0.007107747558961859,0.0277940929335667,0.08183337754717279,,,,,-0.06156946731990167,0.18517612931422373,-0.06256511219659232,-0.022116636112247585
PCSK1N,0.02908848955474138,-0.09787396799517599,-0.055715288675148196,-0.007997755994728626,-0.11579551515974137,0.06415757591433846,0.02573321418239004,0.025426522268131496,0.06005406319422695,0.16809887596690987,0.027332341428133594
NTS,,0.208550560526734,-0.035761892495366425,0.06530492572387095,0.010586193146532608,,,-0.01704021595563752,,0.11874783895111582,
SFRP1,0.01600826099637706,0.017086475146279805,-0.016221185083951185,0.03460226741795978,-0.005382086849893721,-0.014544799471473035,0.037066047648943105,0.010565974355835795,-0.013215906979666578,0.05141264336172381,0.06259519805530676
CXCL13,,-0.01432818103926112,,,,,,-0.03593598012303453,,,-0.03904643653070203
MICA,-0.0294096995254274,0.08727594312160145,0.10208210391068186,-0.004523875373825507,0.05248064388403415,0.026871612493004453,0.02917492199705186,0.044978124131086525,0.07583069689485046,0.014077626662392026,0.0653716049283675
TG,0.0036805782110765177,0.0046301643189443145,-0.043867399196806114,-0.014133920057563299,0.011957633351463302,-0.027930312592688862,-0.02782596163039528,-0.020986888724875644,,-0.023927947368471106,0.005250834278386079
ADA,-0.00578439084302844,-0.018433046844483436,0.12167917671841731,-0.05522393509131306,0.004405159868534235,-0.05784129036528182,0.06569258474063638,-0.0334852421842221,0.03556455188623331,-0.02071251475071903,0.06381517211494456
LAMC3,-0.03156997022753935,0.026490378594869708,0.15514513345240502,-0.03007467833825603,0.036119317826068004,0.02768698191929933,0.10672324564422654,-0.012896788226146913,0.023467174560464463,-0.08754465080586153,-0.024417385312801833
CCL7,-0.034352034695560266,0.018823850841240088,,,,,,,,-0.030175884862960852,-0.05422572920563447
NGF,-0.025865738818591166,0.011746288000716053,,,,-0.0020166207548602613,0.0370781652912165,0.04417304998294104,,-0.06106487195387667,-0.054555100093194246
TNFSF15,-0.038252670770001045,-0.03102486748765051,,,,-0.01834563131311068,-0.03663282910809617,,,-0.005455051278749434,-0.05327650522852476
HMGB1,0.0939990030220388,-0.006884737675525378,0.06259922250993658,-0.012423233719077251,0.0025492541560168222,0.0440758192194746,-0.030161745336292876,-0.014935775248940936,-0.09686843148178377,0.0337828819580497,-0.05232491700222162
ITGB3BP,0.029492879693459914,0.01897020705335511,0.08177252541504672,0.009633079943221252,0.03421908296508346,0.017068617348348206,0.051437453269729004,-0.03587818717748344,0.10323505484935694,0.04276525916052671,-0.009924164798035744
AANAT,0.037572880892979554,-0.0009511854700069853,0.016059184244440656,0.0614081236362423,0.03156357524494253,,-0.03536067800549317,-0.01882239409941616,0.06254358318698187,0.023360581356064638,-0.029392988091638584
RELN,0.04584510695716072,-0.013199827840380162,-0.07657862920334993,0.028114280583524675,-0.023509975693745383,-0.0629249359569509,,,-0.011042563032250045,,-0.012213449637409092
IL15,0.06900449065396794,-0.006546704834277923,0.02412152759122024,0.017917150346406483,0.007740678336526512,-0.03575401243090458,0.023205173246806324,0.014583303962437164,-0.03919072926138095,0.00037872231282260084,0.0012234353283252048
UTS2,,,0.03129094977773212,,,,,,,,
BSG,-0.0870159646615108,-0.09002329726717123,-0.03645471557160373,-0.08197902088583568,0.06660532599418166,0.035148824426808715,0.038262587202494924,0.009829790904619464,0.11057515988735159,-0.04764499983879065,-0.05477455868244885
ADAMTS3,-0.035261869394519633,0.019576134922062186,0.20993153666441713,-0.021809929933766802,-0.010948240735698403,,-0.04234081204533593,0.08326201988589094,0.0029458775940695387,0.09685982690645134,0.05164280772232377
CD34,-0.0633247683199047,0.03878082766776395,0.1428297921713891,0.029094479970791457,-0.0394051201380603,0.00542904666396549,0.1170074946269696,0.02561834170645704,0.033358541311211194,-0.02921583713213242,-0.08871412258540434
CCL23,,,0.019218760869063364,,,,,,,,
PLAT,-0.030205675490043906,0.059860544058781696,0.1590000042909632,-0.0910438485909532,0.060539744148073046,-9.693930487916057e-05,0.09495182807087317,0.07897136885757619,0.05531584892191827,-0.06052546009308062,-0.0650499372810811
NTF3,,,,,-0.001321715105090768,,,0.03538472632433805,,,
LTA,-0.029077409669701758,,,0.01199641411182639,,,,,,-0.021748880859770368,
CKLF,0.0038269726642730056,0.010300632996142119,0.1550981802619646,0.06252121327304665,0.05114106330594638,0.016095613451225455,0.0029794651675613556,0.06753928367202401,-0.004056614421528542,0.08939976309494169,0.01687576542100737
CD24,0.06136360721184437,0.01677264949676114,0.057299915081606395,0.15101268419239128,0.19476487562705705,0.0782612501047154,0.07285724866557382,0.03547051911751747,-0.0447867550392929,-0.006589323955786365,0.04568029413137891
HSP90AA1,0.002493797825156378,-0.05944233319370564,-0.23103232983965272,0.04471110425337582,-0.02446877620813501,0.040186112251462514,-0.10737515218437962,-0.0815256957108362,-0.03232201032126835,-0.08239480389176242,-0.1056847411338238
BMP4,-0.042506081549613474,0.01210705949652415,0.038596373851369686,0.028168078523473705,0.04648322335480188,0.030352114560336697,0.13145769565397983,-0.008355868505625795,0.05897244717469644,-0.06761743480041095,0.012288511194069261
SCGB3A1,,-0.011957850001595131,,,0.03382888101406609,-0.039016390054365295,,-0.02677425776144803,,-0.049159974245845686,0.018659225463060473
IGFBP4,-0.07511248624688638,0.057374422670700025,0.18174611110802827,0.011080238285682859,0.015463052216514771,0.01909619507291668,0.06631889962761163,-0.019768618600320108,0.05277059650270168,-0.09700869835405408,-0.020696032696033043
RSPO4,-0.02996144805166227,0.05942569774158472,,-0.02161335540457056,0.005664345939963665,0.09883264525131552,,,,0.08984675718078418,0.017316929285027857
LEFTY2,0.015394900625667434,0.05641727450612342,0.1278185347251292,0.012397918512402836,0.01423103173229531,,-0.04518794967946707,0.08415416761898747,0.09612892741265294,-0.06024617618470101,-0.0811602174382617
PF4,-0.02997147349643825,,,,,,,-0.012819836198983673,,0.005519616985413799,0.03867405518870603
ANGPTL2,0.04484159419461634,0.008074408852745718,0.10040090903178764,0.06169131892802729,0.053807297253337924,-0.08885260288270413,0.11896996210208131,0.10528110183943284,-0.02051832905586676,-0.07762807012797776,-0.07319306487598153
LRIG2,-0.018192138898132627,-0.01622216543819569,0.05952705991280392,0.03904649788826801,0.0070278905687724685,0.03243028341296481,0.1041414374582887,0.0199821823748574,0.08715520987098163,0.054049325906359844,0.02090198756551277
ICOSLG,-0.005373640271860794,-0.01073567266597693,0.1322576163014954,0.0293523027336481,-0.006864753376773015,0.017807645477127022,-0.045019124021832495,0.042597368721227234,0.009820856084139242,0.033574831326705606,-0.07175560185228892
WIF1,,0.017281469886871726,-0.10842646921754918,-0.028846725005405898,-0.03455452962723626,,,,,,0.028324526260442615
NPPC,0.03283698672969636,-0.021484856561059505,-0.05307244012378949,-0.04263200104070064,0.009521299921325041,-0.02745906981027672,-0.04234073072727096,-0.02425598953036732,0.0030462291935764605,,-0.01828604615861383
LYZ,0.004679836668771803,0.11324740386268631,0.14904090286429955,-0.04799008017667788,-0.0030629559740117714,-0.005111194268347889,-0.00048167285457478414,-0.0005941842088084751,0.055794646394545275,-0.045980199071296905,-0.04212805850801653
EREG,,0.1054139637455276,,,,,,-0.04073557955562449,,-0.003972293750726375,-0.033426566165306315
SPTAN1,0.08833464043148818,0.03213485264138884,-0.055287678690729834,0.07189173765912783,0.059099939679039565,0.06347773087503482,0.08009699264215901,0.014155532017323018,0.037806286058958194,0.18957428362700882,0.08751747498682998
LIPC,0.05589341271613553,-0.0074280071258540775,0.10541587915731744,0.04663618896016642,,0.04924484153877151,0.05668642707528015,,-0.036647073909802604,-0.029447550644247197,0.009495653068617228
COL8A1,0.00037405594620715764,0.02882909866085607,0.07570755391951034,-0.01670708555644995,0.020963075768233037,0.05319107934241834,-0.034859944639944525,0.019912394870808453,0.04710805966046493,-0.1418568412127874,-0.018630245019633025
GSTM2,0.02076399487781182,-0.015016580133860598,0.04203703908208293,-0.0550671977750588,-0.03664919705790491,-0.015388043441837354,0.04048957549147126,0.019538783429571577,0.0024084560633612193,0.10944089333742212,-0.028475831769510747
SPX,0.00038995617367287497,-0.06098882384453625,-0.028158665750414504,0.050511423609408065,0.0442575953660451,,-0.04099639837860073,0.08620584332792335,-0.060279576002027255,0.30852857718769255,0.2438205714756149
