,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.014860838551327266,,,,,,,-0.021872564869975665,,-0.02743972810584591,,
BMP1,0.025948018714043095,-0.0403528855559286,-0.08082045348398381,-0.09696246045087589,0.030960788135894514,0.022530754982629606,-0.013662632401084798,0.03968181369892366,0.04466077319031184,0.017843741327467254,-0.011308198628582462,-0.1011063403612306,0.031668982316747855,0.00522056048380716,0.005973361251850831,-0.13132199649347634,0.016693744631916252
NDP,-0.024812154591861518,0.012229902905194644,0.03742304927227216,-0.07692061201125153,-0.0014901046869056872,-0.012048752709799172,-0.009871362932684983,-0.012466436777378385,0.0429046518892785,-0.01262093541044749,0.02795806589585037,0.0600703811204912,0.06532873191402612,-0.046094672982627635,0.028245536487911706,0.06233788335852157,0.10448684060324424
TNFSF18,0.03132622893995932,-0.03094006401687515,,,,0.013038442841877525,-0.013506324514173523,,,,,,0.021351015577974117,,-0.007367036375279892,-0.030045459496468193,
IL36G,,,,,,,,,,-0.013552788157901018,,,,,,,
RTN4,-0.10369888224460966,0.03293087279406545,-0.11022163606986306,-0.03382082878753175,0.008019642574134088,-0.047557444974004055,-0.03380991461752938,-0.03317683763545494,-0.009734098401772934,-0.06856912779616932,-0.05615483244669633,-0.0656548023680299,-0.0368343053423373,4.048402373485271e-05,-0.02570521406087394,0.05071921100315792,0.058964952816522156
HEBP1,-0.05707879972422641,0.027431245562578564,0.0969147998445469,-0.019390857634314893,0.05751087324787513,0.044321119845305845,-0.005784728168721186,0.006270955354640919,-0.03436260218759035,0.03827391242165617,0.06963773952569048,0.016632558117495613,0.02078008109909245,-0.01884502589504795,-0.020803420546424478,0.014183707665351748,0.03103367217658052
WNT7B,-0.023873337728447838,0.03598114563732318,0.01598052689593821,0.050342226204775964,0.04977709611541304,0.002690485857427719,0.0069076308770239314,-0.010917753188812065,,-0.014896076027807462,0.14397695448745604,0.061350686654635334,-0.005565027928447791,-0.025144468859753903,0.014243572542354609,-0.0044249264193806795,0.0638516359366326
PTMA,0.033216647666528515,-0.04234610022753977,-0.10507327481273214,0.09010290570522618,0.07889947784206996,-0.05280514115667073,-0.0552210910583589,0.0029425992052504574,0.07750613957108532,0.059805116781020275,-0.08158680167616957,0.048174019329963055,-0.10404036865443912,0.04502437897095787,-0.022739231120295116,-0.032780081413803175,0.08845229201396138
FASLG,,,,,,,,,,,,,,,0.01218604753234847,,
CEACAM1,,-0.019692502812719843,,0.008252933821386593,-0.022376498940622883,-0.029040098340632654,0.005161640716656626,,,,-0.019300582200306157,-0.02256677477833779,0.029801101776379645,0.07429414929030216,-0.033112071228445665,,
