,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.0322808037931175,,,,,,,,,0.04757967943279796,
BMP1,0.05733988316182656,0.04852971688815586,0.017268771919290275,-0.02059067124224958,-0.06312373391448974,-0.07233598084724317,-0.12085910254636589,0.039396696914012035,-0.03403275264930315,-0.01672594046821582,-0.07200142502418204,0.030449791055539892,-0.015551574487628264,-0.05093299677989942,-0.07152121349377,-0.019212543426691524,-0.06207978722137935
NDP,-0.054529995677629985,0.031859206369103193,-0.010772364066730161,-0.006721296037057545,0.13594602549695445,0.017789822048504933,-0.07082138886300927,0.07137681838759331,-0.02498843932411206,0.05194525520624142,0.0071884215302703905,-0.017809587899489086,0.06343232159460574,0.05493572012522277,-0.014128768797744795,-0.011731782027983195,-0.13735975617341556
TNFSF18,0.023293673190870525,-0.020895541856395573,-0.01369606625958874,,,-0.003900918373676932,-0.04793602453649344,-0.018156244240641783,,,,0.02457916281753453,,,,-0.038901773743029854,-0.010796940552581647
IL36G,,,,,,,,,,,-0.01729702091913899,,,,,,
RTN4,0.07293015789947535,-0.030605500139024012,-0.00044926670592472767,0.0402236322681795,0.14215570169332045,0.31711644389142657,0.1698081256281611,0.035151386466165176,0.08390809039854588,-0.07404713086084774,0.06595754225086226,-0.05241718225929066,0.03922661982689999,-0.10743937308674589,0.12685703211064547,0.020234800000947517,0.06468613089311016
HEBP1,-0.003959166027691371,0.005228583187916204,-0.028147453658172294,0.04325573275905325,-0.007448184512188116,-0.08519094316670994,-0.03791989480026837,-0.01934673148759515,-0.04059124075814805,-0.006605007233252486,0.021043332195956534,0.022630686121030464,0.024309927839382683,0.06794189763934325,-0.06732855218763022,0.03822196536542524,0.04466879050065071
WNT7B,0.045851509393924704,0.005684304190723351,-0.01659310088150524,-0.0028515155265460695,0.05217385570725142,0.18912772103948988,0.22677647569723106,0.049244859867459675,0.08655497146251544,-0.044655364608779745,0.017218808829601237,,0.0019176524707356357,-0.01386007712616589,0.022809123906821074,0.022354576383376686,0.00845323436418512
PTMA,-0.028765698900023177,-0.003418750211052446,0.001274858882843632,-0.011001427852605543,-0.1126191012444454,-0.294534131838939,0.09730895175862002,0.049958035488067674,-0.0811511710224523,0.0062867901747705665,-0.05299526407770824,0.009192929455723657,-0.03745603579448927,-0.009590183341848383,-0.0012175354450166015,-0.041874435609229016,-0.07603268812402986
FASLG,,,,,,,,,,,,,,,,-0.012361375355310454,
CEACAM1,,-0.014102299041329274,-0.012734206918739825,-0.00562221199481016,-0.0074877570779216815,,-0.056733804029696897,-0.028555446755159697,,,,-0.036443146233903795,0.040776229116119875,-0.017989091896822268,0.006045333616718308,0.005615518612832271,
PDAP1,0.018983667221631136,0.013651350879983473,0.04255984338221519,-0.01890039482710005,-0.05538784653769356,-0.01174003988572127,-0.09626190304374074,-0.03878806714465536,-0.00934760497659536,0.09182128911026499,-0.007662262525825959,-0.036006320272353384,-0.013464562242386943,-0.025647685537130045,0.009949569602324973,0.04140261573529948,-0.06530917124187693
QDPR,-0.0006645376212240364,0.019181383163950478,0.007776576510428553,-0.001142552495454747,0.16564377689885876,-0.10819774574390002,-0.07414869577507462,-0.009720892575799792,-0.02695407503452602,0.008215065412800794,0.022605243565015316,-0.029337222235524273,0.02180783090602292,0.10340324445647166,0.026223535965284265,-0.006868779658265927,-0.02792120283743161
POMC,-0.02934044437144381,-0.013076544580354111,-0.0226266540461508,-0.0025822783564919635,0.08917886909932933,0.029633654588410396,0.0698422673552387,0.005484591096838359,0.012725107631314332,0.04257348165955801,0.001575855722874292,-0.04677996491940565,-0.0004676557541270638,0.08295207958457661,-0.021388719496168856,0.0023286762680223994,-0.025857802705162074
CCL18,-0.03056409094493601,-0.018455809291916297,,,,,,,,0.045961038985401055,,,-0.007102124970513578,0.05753290084609258,-0.02262486809144122,,
CCL17,,,,0.010008849830417247,,,,-0.02264437148025546,-0.020491299829343407,,0.005340258317947626,,-0.025316513974941397,-0.009237373977010964,,-0.025409103351156162,
VEGFD,0.042711160815002494,-0.023501672940133556,-0.018239196555232703,0.0496050996289936,0.07715422148676258,,-0.01800734896157103,-0.024125662524921238,-0.015030616234832156,-0.01615154888205154,0.10162305577770425,0.028743988572991156,,0.09702873958221034,,,
TNFSF13,,0.0397831821347274,,-0.020355190530850227,,-0.031363449416148804,,,,,,,-0.03954639182138274,0.03285291495110003,0.054533831837793194,0.07789623781031618,-0.02967766926246009
WNT5A,0.006415575124199033,-0.04235183657537415,0.024575808068236667,0.007860358136002532,-0.08048313922755511,-0.09126754878055196,-0.10302930958247292,-0.007865906262931252,-0.040889872558173834,0.06437648090306017,-0.026862997945406215,-0.02727548773918266,-0.032896074521899764,0.018559851616222343,0.028156516119454095,0.022487344925778363,-0.003586773532699184
CXCL8,-0.12446720341442852,0.04130784452824265,-0.01707810258266274,-0.03801894254694476,-0.06471429489317199,-0.03797286695746644,-0.06353624672344682,-0.05602261134367329,-0.01399716339079714,-0.019437605839575118,0.0007785751126192788,-0.00035418709928178164,-0.02126415327701797,-0.100933603945008,-0.028380495651366827,0.04373791094219853,0.020550867421232896
GRN,-0.02239524544096887,-0.019007935463509,0.012379216914368198,-0.0025334020726690246,-0.06852691549027792,-0.13821990839156972,-0.13071007493162148,0.006578408926583666,0.0026321209137641346,0.020901340666698263,0.03227543772928644,0.039187314627664185,-0.01900820428411548,-0.08318526875557142,0.017814012876992164,-0.034212829463337285,-0.044198477726742
MIA,0.0707464972253696,0.02391471113252241,0.003479970657835108,0.034256342117586686,-0.03328429379595842,-0.06314247551581019,-0.019636480141663526,-0.03737098109179219,-0.01709416054881659,0.014338776568661287,0.005536837823728979,0.02432196896409919,0.06275048635717481,0.12997750102158442,-0.03718758541366216,0.07648414142958128,-0.015682358578343658
COL4A4,0.08356124929362596,0.021808613222855155,0.04578332963080387,0.06346622047448156,-0.09897908918302814,-0.03424693510820307,0.016243748836005194,-0.02364142441215719,-0.01803542873254998,,0.007871834486945468,-0.014024530320519956,0.016318226164785597,-0.009316410283002603,0.0670155851998569,-0.015715010573168427,-0.011254798452547768
TAC1,0.054145830401354615,0.05497869267196886,-0.043803959051907385,0.025424593981258025,0.18053178086753452,0.1412904171191193,0.17614235356033517,0.0027044040544043574,0.04990565409619378,,0.069944891039825,,,,-0.0428948419012029,0.0433654691961251,0.11587687942731982
RARRES2,-0.028880628506694615,0.0038670902146109355,0.05415923625146858,0.016578368319799305,-0.15381341318459482,-0.05005226206974514,-0.11330539402418464,0.04119401234164757,0.05089315490274581,0.04283098724698331,-0.013950536906151754,-0.04193215945812137,0.005967456856058253,-0.02259852624080406,-0.01916754532711097,0.06392616666054358,-0.07289062048181189
FGF7,-0.0008756131419362241,,0.04076513188062283,-0.009781039461632179,0.13740981842153246,-0.021598676408364742,-0.012945245934050683,-0.004379683833961202,-0.011468785670899045,0.0984440099853779,0.04932829162245269,0.08358829845979449,0.007343057798887856,0.01890659095147273,-0.0336148703224162,0.03219579800625301,0.04762866254273234
EFNA2,,,,,,,,,,,,,,-0.030565094056504274,,,
HBEGF,0.0027514990797040764,-0.005320466658280017,-0.04193821575100902,-0.03609477631404482,-0.04997064589062378,-0.08617676241175395,-0.031071077537205765,-0.00352141336416311,-0.006303646642166256,0.043068746082029014,0.03479692812374267,0.07116495902720134,0.05741795287305252,0.07634703076072474,-0.004342101887591691,-0.022194042947390785,0.014900031830990614
CSF3,-0.05909734049292143,,,-0.010163348103428595,0.0034883520806047613,,-0.03365472331034474,,,-0.024264895689976515,,,0.033563554255843564,-0.08416030717476511,-0.035643745486666496,0.035523891733040394,0.004991026618891605
PI3,0.007455832295546685,0.03672116593201862,,-0.05033368416293125,-0.018966629819481478,,0.03373877803904434,,,,,,-0.01635152401825295,-0.1421324821341661,-0.020365616564712204,0.09998390143400442,-0.003678571342208337
PCSK1N,0.023672567256143345,-0.0011937790279529076,-0.011923637793049755,-0.023241480552437067,0.05782663936548327,0.12951016523263112,0.06115506746658791,-0.02583761596649671,0.08659810540780505,-0.0026025575915617077,0.04963928646146705,-0.031067386520830687,-0.012621935862768907,-0.03084322940611757,0.08350119910399582,0.06447757560077035,0.072918900289703
NTS,,,,,-0.07446971894206918,0.086890175119033,-0.022615305828228557,-0.027007579251357727,0.005674825959080242,,,,-0.03342145787446364,-0.025906523093184967,-0.0024290009154584857,-0.01779569353033556,
SFRP1,0.12194432282811733,0.019968561594124436,-0.04694192637053568,0.00978446561957366,0.06239002326616439,-0.060791680520827694,0.08152152546116626,0.0035599534090519935,0.09231386053825796,0.017360824671198854,0.06024208572643848,0.06888158929389844,0.12344909554612997,0.019150206547850004,0.05088448718189933,-0.03869529329350557,-0.07003962948953876
CXCL13,,,-0.03079240483806712,,0.00397247892997839,,,,,-0.015923212027637197,,,-0.03455685429991642,-0.03141065133058416,-0.010644561897842457,,0.07640730267893267
MICA,-0.0505993664380964,0.03515164513283953,-0.04558003250013377,0.004328353819960409,-0.01982506506488235,-0.07503234791347606,-0.05353356799967907,-0.03480856447189682,-0.025138270040955646,0.00031196720723993167,-0.037266485946967735,0.045804001983485665,0.042096829997629134,0.03243760182104877,0.02161338352336353,0.027243570681069997,-0.027287014495585144
TG,0.06664541209647389,0.031442664495546245,-0.017315955666653005,-0.02778663507799756,0.03929006117752435,0.01263937794412603,0.0888411215637848,-0.02281334732423609,-0.01482946470054423,-0.03447440761534928,0.03312118973451704,0.04295773029211297,0.17647852102414144,-0.03668530907997854,-0.016238032239494042,-0.03535711651650074,0.02313490107000595
ADA,0.01808935761610938,-0.026252080824030112,0.004347244111729186,-0.013877060218931177,-0.017423851833514584,-0.05005338645817495,-0.09281189804833781,0.004464205776217139,-0.024084243260028816,0.08919168376049616,-0.008764144495996056,0.030771269276502845,0.023129477495448216,0.013207338427855046,-0.03807500674385789,-0.026727938229582672,0.016230762197219695
LAMC3,0.026547758924717717,0.010971242035425235,0.056243078240427374,-0.012706547660963387,-0.02806169530656642,-0.08724360750511168,-0.1024974737233696,0.018300820482902085,-0.03192977939831037,0.04997404732533749,-0.017509171631700043,-0.06284826166481278,-0.01662311630023347,0.0211482463542089,-0.021477537074944538,-0.02614967153177534,0.03566533904970393
CCL7,,0.036904024841549476,,-0.020089692765871057,-0.03332213018307237,,,,,,,,0.019606925252878386,,,0.10948203945337218,0.01639895469604127
NGF,0.0944686329229717,0.041103349998201734,,-0.04603061727505785,0.00476201896624874,0.04837609310860771,,,,0.018048831428672626,,0.14579494691868997,0.016272112100649026,-0.03015424777011436,0.03755936857300637,-0.06287870219921952,0.02674233356376177
TNFSF15,0.07186694079431195,,,-0.02237085546908399,0.07666405605498948,-0.027751761164961287,,,,-0.015452362517563744,,0.0157616189740715,0.011969187926299566,,0.027523973668544692,-0.010656516982272182,0.05608990096332774
HMGB1,-0.021377986142347954,-0.05389758414289878,0.04374194587209796,-0.03520174013084113,0.013812033531089105,-0.03213752533561215,-0.0826929215441005,0.028477723624998185,0.037992658960691414,0.0178077774885287,-0.011190083451926035,0.00030895381086668006,-0.031101745868502638,-0.0511399854294879,0.010872577698501069,-0.05611089571570164,0.005349959368432803
ITGB3BP,-0.05018504886327028,0.025681349537823698,0.030878973678919078,0.0362843776593922,0.029623492565120493,-0.0919145597825837,-0.12314205633414967,-0.0017542498027509543,-0.020486781232662614,0.013153700765975782,-0.02181196264491339,0.10270665813266538,-0.03542986850006743,0.03777433524568959,0.03819343641566194,0.006805536507699683,-0.06792163304000404
