,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,0.15597166821451558,,
BMP1,0.026425586371578293,-0.027694937449122242,0.02727805817496694,-0.039978985098035706,0.02030616788270315
NDP,-0.08924049914194782,0.013597736587273547,0.025736108582714218,-0.017617984165249515,0.05429996770225554
TNFSF18,,,0.07778708468429228,,-0.039049668865803536
RTN4,0.07429014899367652,0.04234848447603904,-0.026732005228465416,0.07558234933164396,0.06713012169591955
HEBP1,0.022150878235982142,-0.025159178377061463,0.06866191431469695,0.009810723222420313,-0.018243017255853484
WNT7B,-0.03762465182338632,0.02197911455823392,-0.04251035348650772,-0.03298766345451362,0.036144425527219914
PTMA,-0.04944346657919078,-0.005174261546444363,-0.026794233092002816,0.03863045308590287,-0.0878990687419084
CEACAM1,-0.030265275859197537,-0.005792433710347792,0.04180801491793178,0.04649152212403861,
PDAP1,-0.010553847921526317,0.015055523703766675,0.10181171677567528,-0.01956329179601751,0.06105172372616367
QDPR,-0.017684812588343004,0.05834838898404204,-0.061441900326688566,0.00024197489903612945,0.03369027232168841
POMC,0.021812380841152595,-0.05467730188961504,0.004104490049149488,-0.035816349137207014,-0.0026499503410316507
CCL18,-0.03107899566957919,0.014484117609259058,,0.034932596282636924,
CCL17,-0.021471748341572314,-0.03369276454270324,-0.025990067276852716,,
VEGFD,,-0.023340006422108074,-0.027411499160518965,,
TNFSF13,0.032024219177641144,-0.03662288313894714,0.0450343139720872,0.08316290007805813,0.12130046328300902
WNT5A,0.028349301454998276,-0.057595170291100485,-0.07583376696710933,-0.003933613173554321,-0.03817182478603583
CXCL8,-0.03064697269431186,3.9971060995910295e-05,-0.022283600771652815,0.052019838730571,-0.06258712853032329
GRN,0.004201718470316802,0.04411476640560371,0.054068271397248895,-0.03484249938520061,0.01707442870587986
MIA,0.016366724677240846,-0.07690852285154813,0.04264702667715029,0.02878401510237064,0.0031424946779895734
COL4A4,-0.023823344101190712,-0.015468242316295764,0.012769773959620917,0.054021719130784886,-0.03713901596823077
TAC1,,,,-0.027799784700433386,0.08447528931361059
RARRES2,-0.038243198026776955,-0.04707885755924959,0.03470352852558079,0.03358087141313276,-0.04015058382945048
FGF7,-0.004566098511003856,-0.007657268369005426,0.0021738331700292537,0.034916356572114456,0.11741893392405274
EFNA2,,-0.022183114119162618,,,
HBEGF,0.036811453440663965,-0.02235175149086975,0.052076007119771964,0.06781120690708319,0.0030473600534316023
CSF3,0.002055812013492724,-0.03379661863817205,,0.04105402848839367,-0.049941799479009945
PI3,-0.044272901877551424,0.02847100285781302,-0.02208280103589453,0.005343196706811506,0.01707742704793988
PCSK1N,0.016622079322996332,0.0005510530609811382,0.048216995952758725,0.08636114881971545,0.08758846184699695
NTS,-0.0018421284018769976,0.03321768486563477,,0.02570018563700756,
SFRP1,-0.04419254533427497,-0.007713140943742395,-0.06701280512268856,-0.051142670031933034,0.00623736594784657
CXCL13,0.018778081519325578,-0.001834971786125514,,0.0112206052238387,-0.01619242623212948
MICA,-0.004969085624685253,-0.020183421405683244,0.026816321345428756,-0.04274487456120923,-0.00861968341559875
TG,-0.02853058530120032,0.01670343442051427,,0.03415140123355259,0.028656827397189572
ADA,-0.0002957775633026191,0.010505175472688604,0.006371836617921323,0.017330964356988596,0.008992901291000065
LAMC3,0.052846397638563095,-0.016234012798887667,0.009361506104946373,-0.008154399457447194,0.022720922436110468
CCL7,-0.03218120151267172,,,,-0.035453646907438324
NGF,-0.03716671144716225,0.07116402186512971,,-0.009130511974875107,0.09045445246032933
TNFSF15,0.05014334404076644,,,-0.019491782763188276,0.041146626287746735
