,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.10184091711386939,,,,,,,,,,,-0.08668611955328849,,,-0.026588069675427612,
BMP1,0.038345217219600033,-0.00043681198816966215,0.2989230717057553,-0.014223690125572133,0.15629688627909877,0.04592463600360114,0.07527797230727136,0.2408787877212137,0.4852816158546744,0.09305496882952424,0.012006299600694213,0.08095618782015429,-0.11371183942276679,-0.009486364498050208,0.011533939346958367,0.116638023463876,0.08713250527163303,0.0209632512664407,0.05617413845603906,0.3040388952843592,0.020141675861628242,0.024399180577577458,0.21463133236257975,0.1712787043375093
NDP,0.07710680311644044,0.10601690715238203,0.1124874090668416,-0.031094189811111946,0.09504549684057921,0.04518805147541165,-0.0037530905095765708,0.01656611795807815,0.07750533216405094,0.014718552145230709,0.05106185218736979,0.012114881784542278,0.006121150781560707,0.07895215197385412,0.04474037656971731,0.13287768315462173,-0.026689582165833354,0.033433655573824626,0.054311744384551004,0.19507083161929753,0.060682801245128044,0.01730014070915996,-0.0009235732107944057,0.03522195709116131
TNFSF18,-0.023358158909861922,0.03476453653312805,0.05315507364968315,-0.027734215053584452,,,,0.10064265020067105,0.18458244623605205,0.1682858150617034,,,,,-0.12877111396596108,,,,,0.0716939347704321,,-0.0022965887838378675,0.08962174873221541,-0.0010509556227526157
IL36G,,,,,,,,,,,,,,0.11090298692067825,,,,,,,,,,
RTN4,0.0029494905842727508,-0.07326896189585648,0.13394074484383986,0.04012680137001123,0.08083089104405441,-0.044981850901572626,-0.017825451879971917,-0.2068190106991501,-0.5325705319268964,-0.04366023723645248,-0.049224765745892594,-0.03877187516549815,-0.006452630038178527,0.02015197409058912,0.2625487473865219,-0.032596212203073655,0.013413014523327901,-0.03640810050905738,-0.018225714230890522,-0.3773891649914149,-0.06935692205019811,-0.12011281563703596,0.040685458301530135,0.11556668356446757
HEBP1,0.011142102880514372,-0.00141510048849193,0.12526707674524257,0.04937557571410412,-0.03270743896004268,-0.0410128568539575,0.08498659303132536,0.03818127115643849,0.19827523971754935,-0.0014055383650259348,0.05710263172499243,-0.016078719551238786,-0.11900069794301907,-0.0583698000643531,0.13747356080003847,-0.04893819409801005,-0.04611189275193525,-0.0021988750545732447,-0.03673789955065737,-0.01058338935869183,0.028873342716459492,-0.06681113846233808,0.026162935432553037,-0.060585046215882774
WNT7B,0.0030999811285364804,-0.03254648913023181,0.044678884579105974,-0.017227634665107655,0.19520727026241685,-0.03977043697478746,-0.08649139369585129,0.05319054124838777,-0.15516796242442965,0.0017782103753363095,-0.012332312690747553,,-0.08228773223221737,0.0847923713889915,0.027773680229111943,-0.09572134108956579,-0.03447723750979499,0.04626692036205824,-0.003906592015053105,-0.02144072316359331,0.006495640600717553,-0.0030273487327681994,0.1014344977394496,0.0753717591174414
PTMA,0.06755600286751164,-0.10835900082275111,0.05126791015570082,0.00967641087921948,0.16368025872926292,0.011610366170696291,0.046230962957751386,0.2517298430823398,-0.2700804171534708,-0.09484856452617256,0.04311451607244245,0.08471689546826743,-0.10296037774251328,-0.0002060215351836301,0.1481823796281144,-0.07153149036624493,-0.013647784275306201,0.026040185620306754,-0.06348212107203503,-0.3692043598059256,-0.11897135814946953,-0.09831374322900867,0.009156124516435557,0.051040739044673496
FASLG,0.0714321546403361,,,,,,,,,,,,,,,,,,,,,,0.04521569023856376,
